INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
113	10284002	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
114	10284003	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
115	10284004	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
116	10284011	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
117	10284012	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
118	10284013	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
119	10284014	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
120	10284021	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
121	10284022	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
122	10284023	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
123	10284024	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
124	10284031	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
125	10284032	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
126	10284033	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
127	10284034	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
128	10284041	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
129	10284042	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
130	10284043	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
131	10284044	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
132	10284051	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
133	10284052	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
134	10284053	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
135	10284054	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
136	10284071	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
137	10284072	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
138	10284073	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
139	10284074	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
140	10284075	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
141	10284076	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
142	10288018	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
143	10288019	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
144	10288020	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
145	10288021	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
146	10288022	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
147	10288023	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
148	10288024	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
149	10288025	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
150	10288026	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
151	10288027	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
152	10288028	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
153	10288029	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
154	10288030	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
155	10288031	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
156	10288032	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
157	10288033	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
158	10288034	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
159	10288035	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
160	10288036	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
161	10288037	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
162	10288038	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
163	10288039	国传君主戒指	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	58	28	8	123779|126075|129079|132075|138664|141030	1
164	10288040	神传君主戒指	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	68	28	8	123779|126075|129079|132075|138664|141030	1
165	10288041	天传君主戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
166	10288048	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
167	10288049	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
168	10288050	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
169	10288051	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
170	10288052	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
171	10288053	天赐金牌戒指	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	84	28	8	123779|126075|129079|132075|138664|141030	1
172	10288100	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
173	10288101	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
174	10288102	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
175	10288103	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
176	10288104	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
177	10288105	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
178	10288106	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
179	10288107	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
180	10288108	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
181	10288109	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
182	10288110	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
183	10288111	冥传君主戒指	1	1	5	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	104	28	8	123779|126075|129079|132075|138664|141030	1
184	10294001	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
185	10294002	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
186	10294003	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
187	10294004	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
188	10294011	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
189	10294012	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
190	10294013	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
191	10294014	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
192	10294021	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
193	10294022	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
194	10294023	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
195	10294024	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
196	10294031	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
197	10294032	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
198	10294033	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
199	10294034	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
200	10294041	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
201	10294042	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
202	10294043	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
203	10294044	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
204	10294051	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
205	10294052	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
206	10294053	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
207	10294054	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
208	10294071	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
209	10294072	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
210	10294073	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
211	10294074	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
212	10294075	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
213	10294076	天赐金牌手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
214	10298018	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
215	10298019	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
216	10298020	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
217	10298021	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
218	10298022	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
219	10298023	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
220	10298024	神传君主手镯	1	1	5	3	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	66	29	8	123779|126075|129079|132075|138664|141030	1
221	10298025	天传君主手镯	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	29	8	123779|126075|129079|132075|138664|141030	1
222	10298026	世传君主手镯	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	36	29	8	123779|126075|129079|132075|138664|141030	1
223	10298027	国传君主手镯	1	1	5	2	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	56	29	8	123779|126075|129079|132075|138664|141030	1
