INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10097850	10	9	7850	4	1	18	752	101	52	91	2400	240	-1	0	0	7	2	-1	0	-1	72	-1	-1	-1	-1	2	140	22	1200	14	25	53	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10097851	10	9	7851	4	1	2	764	101	52	91	2400	240	-1	0	0	7	2	-1	0	-1	72	-1	-1	-1	-1	22	1250	14	71	50	5	53	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10097852	10	9	7852	5	1	2	752	101	52	91	2400	240	-1	0	0	7	2	-1	0	-1	72	-1	-1	-1	-1	2	140	22	1200	14	25	53	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10097853	10	9	7853	5	1	2	764	101	52	91	2400	240	-1	0	0	7	2	-1	0	-1	72	-1	-1	-1	-1	22	1250	14	71	50	5	53	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098000	10	9	8000	4	1	1	122	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098001	10	9	8001	4	1	1	521	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098002	10	9	8002	4	1	1	520	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098003	10	9	8003	4	1	1	660	81	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098004	10	9	8004	4	1	1	666	81	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098005	10	9	8005	4	1	1	672	91	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098010	10	9	8010	5	1	1	122	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098011	10	9	8011	5	1	1	521	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098012	10	9	8012	5	1	1	520	62	-1	-1	21000	150	-1	0	0	7	2	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098013	10	9	8013	5	1	1	660	81	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098014	10	9	8014	5	1	1	666	81	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10098015	10	9	8015	5	1	1	672	91	-1	-1	29400	195	-1	0	0	7	2	-1	0	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
####	以下是	火枪副手							-1	-1																																																				
10100010	10	10	10	3	1	1	-1	2	-1	-1	100	50	-1	0~1	0	7	3	-1	0	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100020	10	10	20	3	1	1	-1	12	-1	-1	120	62	-1	0~2	0	7	3	-1	0	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100030	10	10	30	3	1	1	-1	22	-1	-1	140	74	-1	0~3	0	7	3	-1	0	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100040	10	10	40	3	1	1	-1	32	-1	-1	160	86	-1	0~3	0	7	3	-1	0	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100050	10	10	50	3	1	1	-1	42	-1	-1	180	98	-1	0~3	0	7	3	-1	0	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100060	10	10	60	3	1	1	-1	52	-1	-1	200	110	-1	0~3	0	7	3	-1	0	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100070	10	10	70	3	1	1	-1	62	-1	-1	220	122	-1	0~3	0	7	3	-1	0	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100080	10	10	80	3	1	1	-1	72	-1	-1	240	134	-1	0~3	0	7	3	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100090	10	10	90	3	1	1	-1	82	-1	-1	260	146	-1	0~3	0	7	3	-1	0	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100091	10	10	91	3	1	1	-1	46~50	-1	-1	280	158	-1	0~3	0	7	3	-1	0	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100092	10	10	92	3	1	1	-1	51~55	-1	-1	300	170	-1	0~3	0	7	3	-1	0	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100093	10	10	93	3	1	1	-1	56~60	-1	-1	320	182	-1	0~3	0	7	3	-1	0	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100094	10	10	94	3	1	1	-1	61~65	-1	-1	340	194	-1	0~3	0	7	3	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100095	10	10	95	3	1	1	-1	66~70	-1	-1	360	206	-1	0~3	0	7	3	-1	0	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100096	10	10	96	3	1	1	-1	71~75	-1	-1	380	218	-1	0~3	0	7	3	-1	0	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100097	10	10	97	3	1	1	-1	76~80	-1	-1	400	230	-1	0~3	0	7	3	-1	0	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100098	10	10	98	3	1	1	-1	81~85	-1	-1	420	242	-1	0~3	0	7	3	-1	0	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100099	10	10	99	3	1	1	-1	86~90	-1	-1	440	254	-1	0~3	0	7	3	-1	0	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100201	10	10	201	5	1	1	-1	10	-1	-1	50	50	-1	0	0	7	3	-1	0	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100202	10	10	202	5	1	1	-1	20	-1	-1	100	62	-1	0	0	7	3	-1	0	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100203	10	10	203	5	1	1	-1	30	-1	-1	150	75	-1	0	0	7	3	-1	0	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100204	10	10	204	5	1	1	-1	40	-1	-1	200	87	-1	0	0	7	3	-1	0	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100205	10	10	205	5	1	1	-1	50	-1	-1	250	100	-1	0	0	7	3	-1	0	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100206	10	10	206	5	1	1	-1	60	-1	-1	300	112	-1	0	0	7	3	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100207	10	10	207	5	1	1	-1	70	-1	-1	350	125	-1	0	0	7	3	-1	0	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100208	10	10	208	5	1	1	-1	80	-1	-1	400	137	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100209	10	10	209	5	1	1	-1	90	-1	-1	450	150	-1	0	0	7	3	-1	0	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10100210	10	10	210	5	1	1	-1	100	50	90	500	162	-1	0	0	7	3	-1	0	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101101	10	10	1101	1	1	21	-1	10	-1	-1	50	50	-1	0	0	7	3	-1	0	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101102	10	10	1102	1	1	21	-1	20	-1	-1	100	62	-1	0	0	7	3	-1	0	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101103	10	10	1103	1	1	21	-1	30	-1	-1	150	75	-1	0	0	7	3	-1	0	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101104	10	10	1104	1	1	21	-1	40	-1	-1	200	87	-1	0	0	7	3	-1	0	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101105	10	10	1105	1	1	21	-1	50	-1	-1	250	100	-1	0	0	7	3	-1	0	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101106	10	10	1106	1	1	21	-1	60	-1	-1	300	112	-1	0	0	7	3	-1	0	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101107	10	10	1107	1	1	21	-1	70	-1	-1	350	125	-1	0	0	7	3	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101108	10	10	1108	1	1	21	-1	80	-1	-1	400	137	-1	0	0	7	3	-1	0	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101109	10	10	1109	1	1	21	-1	90	-1	-1	450	150	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10101110	10	10	1110	1	1	21	-1	100	50	90	500	162	-1	0	0	7	3	-1	0	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102201	10	10	2201	5	1	2	-1	10	-1	-1	50	50	-1	0	0	7	3	-1	0	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102202	10	10	2202	5	1	2	-1	20	-1	-1	100	62	-1	0	0	7	3	-1	0	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102203	10	10	2203	5	1	2	-1	30	-1	-1	150	75	-1	0	0	7	3	-1	0	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102204	10	10	2204	5	1	2	-1	40	-1	-1	200	87	-1	0	0	7	3	-1	0	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102205	10	10	2205	5	1	2	-1	50	-1	-1	250	100	-1	0	0	7	3	-1	0	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102206	10	10	2206	5	1	2	-1	60	-1	-1	300	112	-1	0	0	7	3	-1	0	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102207	10	10	2207	5	1	2	-1	70	-1	-1	350	125	-1	0	0	7	3	-1	0	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102208	10	10	2208	5	1	2	-1	80	-1	-1	400	137	-1	0	0	7	3	-1	0	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102209	10	10	2209	5	1	2	-1	90	-1	-1	450	150	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10102210	10	10	2210	5	1	2	-1	100	50	90	500	162	-1	0	0	7	3	-1	0	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10103001	10	10	3001	4	1	18	-1	50	-1	-1	250	100	-1	0	0	7	3	-1	0	-1	21	-1	-1	-1	-1	2	10	50	4	53	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10103002	10	10	3002	4	1	18	-1	80	-1	-1	400	137	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	2	10	14	5	50	4	53	2	54	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10103003	10	10	3003	4	1	18	-1	100	50	90	500	162	-1	0	0	7	3	-1	0	-1	36	-1	-1	-1	-1	2	15	14	5	50	4	53	2	54	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10104001	10	10	4001	4	1	18	130	22	-1	-1	150	75	-1	0	0	7	3	-1	0	-1	12	-1	-1	-1	-1	2	5	14	10	53	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	256217	-1	0	0	1
10104002	10	10	4002	4	1	18	131	42	-1	-1	300	112	-1	0	0	7	3	-1	0	-1	18	-1	-1	-1	-1	2	10	14	20	53	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10104003	10	10	4003	4	1	18	132	62	-1	-1	450	150	-1	0	0	7	3	-1	0	-1	24	-1	-1	-1	-1	2	20	22	70	14	30	53	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10104004	10	10	4004	4	1	18	661	81	-1	-1	2000	195	-1	0	0	7	3	-1	0	-1	60	-1	-1	-1	-1	2	30	22	250	14	15	53	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106010	10	10	6010	2	1	2	-1	1	-1	-1	5	50	-1	0	0	7	3	-1	0	-1	5	-1	-1	-1	-1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106020	10	10	6020	2	1	2	-1	90	-1	-1	450	132	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	2	6	22	70	14	18	53	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106030	10	10	6030	2	1	2	-1	90	-1	-1	450	132	-1	0	0	7	3	-1	0	-1	30	-1	-1	-1	-1	2	6	22	70	14	18	53	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106040	10	10	6040	2	1	2	-1	20	-1	-1	150	72	-1	0	0	7	3	-1	0	-1	6	-1	-1	-1	-1	2	7	6	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106050	10	10	6050	2	1	2	-1	30	-1	-1	150	72	-1	0	0	7	3	-1	0	-1	12	-1	-1	-1	-1	2	6	6	7	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106060	10	10	6060	2	1	2	-1	45	-1	-1	450	89	-1	0	0	7	3	-1	0	-1	17	-1	-1	-1	-1	2	9	14	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106070	10	10	6070	2	1	2	-1	40	-1	-1	450	82	-1	0	0	7	3	-1	0	-1	15	-1	-1	-1	-1	2	8	14	5	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106080	10	10	6080	2	1	2	-1	50	-1	-1	50	92	-1	0	0	7	3	-1	0	-1	18	-1	-1	-1	-1	2	11	14	11	50	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10106090	10	10	6090	2	1	2	-1	55	-1	-1	50	97	-1	0	0	7	3	-1	0	-1	20	-1	-1	-1	-1	2	13	14	14	50	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
