INT	INT
10288138	3
10288139	3
10288140	3
10288141	3
10288142	3
10288143	3
10288144	3
10288145	3
10288146	3
10288147	3
10294003	1
10294004	2
10294013	1
10294014	2
10294023	1
10294024	2
10294033	1
10294034	2
10294043	1
10294044	2
10294053	1
10294054	2
10294061	1
10294062	1
10294063	1
10294064	1
10294065	1
10294066	1
10294071	2
10294072	2
10294073	2
10294074	2
10294075	2
10294076	2
10295001	2
10295002	2
10297003	1
10297013	1
10297023	1
10297033	1
10297043	1
10297053	1
10297061	1
10297062	1
10297063	1
10297064	1
10297065	1
10297066	1
10297072	1
10297073	1
10297074	2
10297082	1
10297083	1
10297084	2
10297100	2
10297101	2
10297102	2
10297103	2
10297104	2
10297105	2
10297110	2
10297111	2
10297112	2
10297113	2
10297114	2
10297115	2
10298020	1
10298021	2
10298024	1
10298025	2
10298028	1
10298029	2
10298032	1
10298033	2
10298036	1
10298037	2
10298040	1
10298041	2
10298042	1
10298043	1
10298044	1
10298045	1
10298046	1
10298047	1
10298048	2
10298049	2
10298050	2
10298051	2
10298052	2
10298053	2
10298056	1
10298059	1
10298062	1
10298065	1
10298068	1
10298071	1
10298072	1
10298073	1
10298074	1
10298075	1
10298076	1
10298077	1
10298078	2
10298079	2
10298080	2
10298081	2
10298082	2
10298083	2
10298084	2
10298085	2
10298086	2
10298087	2
10298088	2
10298089	2
10298100	3
10298101	3
10298102	3
10298103	3
10298104	3
10298105	3
10298106	3
10298107	3
10298108	3
10298109	3
10298110	3
10298111	3
10298112	3
10298113	3
10298114	3
10298115	3
10298116	3
10298117	3
10298118	3
10298119	3
10298120	3
10298121	3
10298122	3
10298123	3
10298124	3
10298125	3
10298126	3
10298127	3
10298128	3
10298129	3
10298130	3
10298131	3
10298132	3
10298133	3
10298134	3
10298135	3
10298136	3
10298137	3
10298138	3
10298139	3
10298140	3
10298141	3
10298142	3
10298143	3
10298144	3
10298145	3
10298146	3
10298147	3
10354003	1
10354004	2
10354005	3
10354100	1
10354101	2
10354102	3
10354200	1
10354301	1
10354302	1
10354303	1
10354401	2
10354402	2
10354403	3
10355003	1
10355004	2
10355005	3
10355100	1
10355101	2
10355102	3
10355200	1
10355301	1
10355302	1
10355303	1
10355401	2
10355402	2
10355403	3
10364003	1
10364004	2
10364005	3
10364100	1
10364101	2
10364102	3
10364200	1
10364301	1
10364302	1
10364303	1
10364401	2
10364402	2
10364403	3
10365003	1
10365004	2
10365005	3
10365100	1
10365101	2
10365102	3
10365200	1
10365301	1
10365302	1
10365303	1
10365401	2
10365402	2
10365403	3
10374003	1
10374004	2
10374005	3
10374100	1
10374101	2
10374102	3
10374200	1
10374301	1
10374302	1
10374303	1
10374401	2
10374402	2
10374403	3
10375003	1
10375004	2
10375005	3
10375100	1
10375101	2
10375102	3
10375200	1
10375301	1
10375302	1
10375303	1
10375401	2
10375402	2
10375403	3
10384003	1
10384004	2
10384005	3
10384100	1
10384101	2
10384102	3
10384200	1
10384301	1
10384302	1
10384303	1
10384401	2
10384402	2
10384403	3
10385003	1
10385004	2
10385005	3
10385100	1
10385101	2
10385102	3
10385200	1
10385301	1
10385302	1
10385303	1
10385401	2
10385402	2
10385403	3
10394003	1
10394004	2
10394005	3
10394100	1
10394101	2
10394102	3
10394200	1
10394301	1
10394302	1
10394303	1
10394401	2
10394402	2
10394403	3
10395003	1
10395004	2
10395005	3
10395100	1
10395101	2
10395102	3
10395200	1
10395301	1
10395302	1
10395303	1
10395401	2
10395402	2
10395403	3
10404003	1
10404004	2
10404005	3
10404100	1
10404101	2
10404102	3
10404200	1
10404301	1
10404302	1
10404303	1
10404401	2
10404402	2
10404403	3
10405003	1
10405004	2
10405005	3
10405100	1
10405101	2
10405102	3
10405200	1
10405301	1
10405302	1
10405303	1
10405401	2
10405402	2
10405403	3
10414003	1
10414004	2
10414005	3
10414100	1
10414101	2
10414102	3
10414200	1
10414301	1
10414302	1
10414303	1
10414401	2
10414402	2
10414403	3
10415003	1
10415004	2
10415005	3
10415100	1
10415101	2
10415102	3
10415200	1
10415301	1
10415302	1
10415303	1
10415401	2
10415402	2
10415403	3
10424003	1
10424004	2
10424005	3
10424100	1
10424101	2
10424102	3
10424200	1
10424301	1
10424302	1
10424303	1
10424401	2
10424402	2
10424403	3
10425003	1
10425004	2
10425005	3
10425100	1
10425101	2
10425102	3
10425200	1
10425301	1
10425302	1
10425303	1
10425401	2
10425402	2
10425403	3
10434003	1
10434004	2
10434005	3
10434100	1
10434101	2
10434102	3
10434200	1
10434301	1
10434302	1
10434303	1
10434401	2
10434402	2
10434403	3
10435003	1
10435004	2
10435005	3
10435100	1
10435101	2
10435102	3
10435200	1
10435301	1
10435302	1
10435303	1
10435401	2
10435402	2
10435403	3
10444003	1
10444004	2
10444005	3
10444100	1
10444101	2
10444102	3
10444200	1
10444301	1
10444302	1
10444303	1
10444401	2
10444402	2
10444403	3
10445003	1
10445004	2
10445005	3
10445100	1
10445101	2
10445102	3
10445200	1
10445301	1
10445302	1
10445303	1
10445401	2
10445402	2
10445403	3
10454003	1
10454004	2
10454005	3
10454100	1
10454101	2
10454102	3
10454200	1
10454301	1
10454302	1
10454303	1
10454401	2
10454402	2
10454403	3
10455003	1
10455004	2
10455005	3
10455100	1
10455101	2
10455102	3
10455200	1
10455301	1
10455302	1
10455303	1
10455401	2
10455402	2
10455403	3
10464003	1
10464004	2
10464005	3
10464100	1
10464101	2
10464102	3
10464200	1
10464301	1
10464302	1
10464303	1
10464401	2
10464402	2
10464403	3
10465003	1
10465004	2
10465005	3
10465100	1
10465101	2
10465102	3
10465200	1
10465301	1
10465302	1
10465303	1
10465401	2
10465402	2
10465403	3
