INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING			
128025	铁虎	\t我就是这新兵营的教官！\n\t凡是想加入王国军队的人，得先过了我这一关。	-1		3311				-1				
128026	楼兰教官	\t初级的技能学习起来很简单，但是想要将它们修炼到精通就不是一件容易的事情了。	-1		3343				-1				
128028	绍布	\t今天跟安童摔跤又输了。我明天一定要赢回来！	-1						-1				
128029	陶如格	\t今天阿爸夸我漂亮，漂亮是什么意思呢？	-1						-1				
128030	珠兰其其格	\t猎场很久没有这么热闹过了，听说王城的将军都亲自来到了这里呢。	-1						-1				
128031	护卫	\t木华黎家族的男儿都是铁铮铮的汉子。	-1						-1				
128032	护卫	\t木华黎家族的男儿都是铁铮铮的汉子。	-1						-1				
128033	岱钦	\t这次将随将军远征西土，一去不知几年归来，才回家看看亲人。	-1						-1				
128034	航新	\t爷爷说今天不能教我骑马了，好无聊啊。	-1						-1				
128035	安童	\t阿爸说，等我再长大一点就教我骑射技巧，其实我已经不小了，我们蒙古人天生就会骑马和弓射。	-1						-1				
128037	牧场守卫长	\t守卫猎场是我的责任，这是保护我的家园和家人。	-1		3395				-1				
128051	新兵蛋子	\t虽然这段时间的训练，我们每个人都累的筋疲力尽，身上伤痕累累，但我们每辛苦一分，天山就会安全一分。	-1						-1				
128052	新兵蛋子	\t昨天负重五十斤绕王城跑了十圈，累的我都虚脱了。今天不知道又要训练什么？	-1						-1				
128053	新兵蛋子	\t听说再过几天，新兵要徒步穿越大沙漠，征兵校尉说这是增强新兵的野外生存能力……天啊，吾命休矣！	-1						-1				
128054	新兵蛋子	\t我比较喜欢马术训练，骑在马上感觉威风凛凛的，非常拉风，嘿嘿。	-1						-1				
128055	新兵蛋子	\t昨天征兵校尉夸我的枪棒练得不错，是不是要提拔我当伍长了？	-1						-1				
128056	新兵蛋子	\t在入伍之前，我的箭术已经是十里八乡的第一名了。在明日的射箭训练中，一定能大出风头，伍长一定非我莫属，哈哈。	-1						-1				
128057	老兵痞子	\t最近海都的细作活动频繁，要严防他们潜入我们王城。所以每个人进城之前都要检查，你也不例外。	-1						-1				
128058	老兵痞子	\t我们天山王城墙高十丈，护城河宽三丈，可谓固若金汤。海都的叛军能攻进去吗？	-1						-1				
128059	老兵痞子	\t欢迎来到我们天山王城，不过请先接受检查。	-1						-1				
128060	老兵痞子	\t天山有我们这些精锐御卫守护，任何敌人休想跨入天山一步。	-1						-1				
128061	老兵痞子	\t听说皇上已经任命真金太子为大元兵马统帅，前去剿灭海都，四个王国都要抽调精锐前往助战。如果国王把我们这些精锐抽调走了，谁来守卫天山王城呢？	-1						-1				
128062	老兵痞子	\t如果海都胆敢侵犯我们天山王城，我们御卫营一定让他有来无回。	-1						-1				
128063	老兵痞子	\t天山王城因为有我们这些御卫守护，所以国王才能高枕无忧，人民才能安居乐业，天山王国才能繁荣昌盛。	-1						-1				
128064	老兵痞子	\t我们这些御卫是天山王国的万里长城，只要有我们在，天山王国定能永享安宁。	-1						-1				
128065	老兵痞子	\t这些新兵个个身强体壮，训练认真，假以时日，功夫一定在我们之上。真是长江后浪推前浪啊！	-1						-1				
128066	老兵痞子	\t看到这些新兵，就想到我们当年的稚嫩模样。如果他们能够咬牙坚持度过这段训练时间，就能像我一样成为一名合格的老兵。	-1						-1				
128067	天山牧场	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550173					4				
128068	孙俪	\t我负责《成吉思汗》中礼包的发放，如果你还没有领取礼包，别忘了来我这里看看哦。	-1	561101|561100|561103|585001					17	949			
#	天山边境	128500	128999										
128500	边塞玉门关传送	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550571|550562|550566|550568	1502|4027|4031				4				
128501	边塞河西走廊传送	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550572	1503				4				
128502	[异国夺旗]发布人	\t根据我这些天的观察，敌国的军旗防护非常薄弱。你如果能潜入敌国，斩将夺旗，必能重挫敌军士气。	-1	300890|300902	7697|1462|3140				-1				
128503	[异国除奸]发布人	\t有一个敌国间谍潜入我国，窃取了大量的情报后逃走，如果不将其斩杀，我国将损失惨重！	-1	300888|300900	7684|1463|3139				-1				
128504	[异国情报]发布人	\t明安将军不愧为名将之后，不仅骁勇善战，而且足智多谋指挥有度，颇有先祖之风。	-1	300889|300901	7685|3141|4067				-1				
128505	[异国刺杀]发布人	\t我的职责就是抵御外敌入侵！任何风吹草动都别想瞒得过我！	-1	300887|300899	7683|1464|3138				-1				
128506	药品商人	\t这兵荒马乱的年月，什么时候能结束啊？	-1	560303					-1				
128507	装备特修大师	\t最近生意越来越难做了，我这存货都发了霉了……	-1	800002					-1				
128508	玉门关守将	\t现在的战势对我们越来越有利，这一仗胜利之后，说不定我能接任大将军的位置……	-1						-1				
128509	玉门关守将	\t这几天我一听见那奇怪的琴声就觉得自己有点控制不住情绪，总想抄起兵器就砍人……是不是我最近太累了？	-1						-1				
128510	元朝大将	\t食君之禄，忠君之事。乱贼海都不思忠君报国，反起叛逆之心，真该千刀万剐！	-1		7569|1461				-1				
128511	博尔术家族	\t年轻人，你真的想要到其他国家去么？那里的人们可不一定都欢迎你！\n\t嘿嘿……，初生之犊不畏虎！	-1	550400|550401|550402|550403|310152					-1				
128512	边防将军	\t我只接受大将军对我下达的命令！	-1	300624					-1				
128513	边境掌旗使	\t一面大旗在狂风中猎猎作响！	-1	300779					-1				
128514	大掌柜	\t我潜伏敌国数十年，为本国搞到了无数情报，获得了无数的金银财宝，但每天过着心惊胆战的日子。现在终于熬到了退隐的时候了，再过几天我就要远走高飞去享清福了，哈哈！	-1	300611					-1				
128515	中转商	\t运镖不仅能锻炼你的能力，还会增加你的经验和金钱。	-1	300611					-1				
128516	朝贡使者	\t大哥在朝管理国库，我在这里管理各地的进贡，都是美差，嘿嘿……	-1						-1				
128517	天山戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128518	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128519	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128520	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128521	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128522	天上戍边军	\t如果我们天山被敌国占领了，大都也就不远了。保卫天山就是保卫大都！	-1						-1				
128523	天上戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128524	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128525	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128526	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128527	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128528	天上戍边军	\t如果我们天山被敌国占领了，大都也就不远了。保卫天山就是保卫大都！	-1						-1				
128529	天上戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128530	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128531	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128532	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128533	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128534	天上戍边军	\t如果我们天山被敌国占领了，大都也就不远了。保卫天山就是保卫大都！	-1						-1				
128535	天上戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128536	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128537	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128538	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128539	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128540	天上戍边军	\t如果我们天山被敌国占领了，大都也就不远了。保卫天山就是保卫大都！	-1						-1				
128541	天上戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128542	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128543	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128544	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128545	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128546	天上戍边军	\t如果我们天山被敌国占领了，大都也就不远了。保卫天山就是保卫大都！	-1						-1				
128547	天上戍边军	\t在这里，似乎隐隐能听到敌军的擂鼓声，吓得我腿直打哆嗦。	-1						-1				
128548	天上戍边军	\t大元朝廷和其他三国的军队还没来会师吗？如果他们不来，单凭我们一个天山王国与敌军作战，无异于以卵击石啊！	-1						-1				
128549	天上戍边军	\t忽必烈大帝刚刚一统天下没几年，本以从此老百姓要过上幸福的日子了，孰料战端又起，唉。	-1						-1				
128550	天上戍边军	\t谁要扰乱我们天山王国安宁的生活，谁就是我们的敌人！	-1						-1				
128551	天上戍边军	\t敌军已经兵临城下了，我们不拼死反抗，难道坐以待毙吗？	-1						-1				
128552	边塞主将	\t我们是应该老老实实防守边境好呢，还是应该派一支奇兵直击敌国老巢好？	-1		2609				-1				
128553	边防将军	\t我只接受大将军对我下达的命令！	-1	300624					-1				
128554	边塞守卫（农夫）	\t传说女娲补天时剩下的一块补天石，为了不被凡人所得，就藏在四国的神秘入口中，并用其他宝物掩盖其光芒。\n\t多少年来无数壮士都是有去无回。	-1						-1				
128555	边塞守卫（和尚）	\t阿弥陀佛\n\t老衲在此守护，只为看一眼女娲补天时留下的唯一一块补天石，究竟这补天石是何神物，能让人舍命而得之？\n\t不知这宝物是不是在此处。	-1						-1				
128556	王城守卫（将军）	\t本将军奉命在此看守此禁地，传说仅存的一块女娲补天石有可能就藏在此处。无数人为寻此物葬身其中。\n\t闲杂人等不得靠近。	-1						-1				
#	昆仑王城	129000	129999						-1				
129000	探宝人	\t古迹中的宝贝又多又好又值钱，只可惜怪物太多太凶太可怕。咱们做个交易怎么样，你帮我除去那些怪物，我给你分给你一些金银财宝，如何？	-1						8				
129001	津贴管理人	\t有所付出就会有所收获。\n\t无论你是荣耀的王者卫队成员，还是普通的国民，只要你的等级不低于60级，我都会根据你做出的贡献，定期在每周发放津贴。	-1	300637|300638|300636|300631|300658|300659|300829|300792|300793|300794|300795|300796|300799					5				
129002	昆仑国王兀良哈台	\t忽必烈陛下此次将心爱的小女儿下嫁于我，这是王国无上的荣耀。但海都大王和忽必烈陛下的明争暗斗，已经影响到了整个大元的未来。\n\t虽然这几年我国国势日渐强盛，但与四大汗国和海都大王的势力相比却相差甚远。为了王国的未来，我要正确地选择自己的方向。	-1						-1				
129003	杂货商人	\t我这里的很多货物你一定没见过，包括从东方运来的一些上等丝绸！	-1	560906|560907					7				
129004	大元丞相刘秉忠	\t大元兴盛，百姓和睦，这都是皇上的功劳。	-1	300744|300745|300741|300742|300743					-1				
129005	骑乘驯养大师	\t嘿，嘿！看看我的这匹马怎么样？我有办法让你的骑乘恢复到最佳的状态，就像我的马一样！	-1	800051					2				
129006	骑乘繁殖大师	\t我最近发现把大宛良驹和我们蒙古的矮脚马杂交后，能培育出一个新品种，它的耐力和奔跑速度都要高过原来的这两种马。	-1	800050|570051					2				
129007	骑乘恢复商人	\t我是王城里最好的骑乘恢复师，任何马儿在我这里都可以恢复生命。	-1	800048	4362				2				
129008	金矿洞传送人	\t藏宝洞，各地的宵小恶徒们觊觎已久，近日，许多胆大妄为之徒竟已闯入其中，试图盗取宝物，破坏这千年来的平静祥和之地。\n\t不过，据说这群恶徒们自身携带的宝物也颇为丰厚，如果你能找几名志同道合的勇士进入藏宝洞铲除他们，所获一定颇丰。	-1	700081|414028					8				
129009	轮回台传送人	\t不能让那些通过时空之门进入轮回台的怪兽威胁到王国的安危，我十分需要一些勇士去阻止它们的脚步。\n\t勇士，如果你有这样的信心和勇气，我可以将你送到轮回台。	-1	700081	2645				8				
129010	永夜天牢传送人	\t传说中的不死魔君扎兰丁，当年被成吉思汗亲手关在永夜天牢之中并以十大萨满之力将他封住。百余年过去后，他的力量非但没有削弱反而越来越强，最近甚至企图挣脱封印的控制。我们急需一些勇士阻止他逃出监牢危害一方。\n\t勇士，如果你有这样的信心和勇气，我可以将你送到永夜天牢之中。	-1						8				
129011	囚龙岛传送人	\t“霹雳神火诀”记载了最厉害的火器制作方法，一旦落入欧洲诸国手中，不久的将来，西方人将手持火器而来，中原大地将受到灭顶之灾。我奉郭侃将军之命，在此召集一批勇士，前往囚龙岛调查郭宝玉将军当年战败的原因，并取回遗失的“霹雳神火诀”。\n\t勇士，如果你有这样的信心和勇气，我会带你前往囚龙岛。	-1	700081					8				
129012	战神墓传送人	\t伟大的蒙古战神旭烈兀之墓最近受到了盗墓贼的破坏，我急需一支精英队伍，进入战神墓去惩罚那些入侵的盗墓贼。\n\t如果你做好了准备，我可以将你送到战神墓。	-1						8				
129013	王国戍边军统领	\t朋友，如果你删除角色，你所有的武器装备将全部消失而且永不能恢复！\n\t朋友，你真的确定要这么做吗？请三思而后行！	-1	561102					-1				
129014	征税官	\t我有足够的理由怀疑那些商人是故意不缴税、甚至是偷税漏税的。税收关系国防民生，我可以赋予你征税的特权！	-1		1417				-1				
129015	狩猎人	\t城外那些小小的动物们，也能被称为“野兽”？它们完全不配让我这个王国的首席猎手出马！	-1		1363				-1				
129016	王城贤者	\t那些阴魂不散的十八魔君，又一次积蓄了邪恶的力量，将他们触手伸向了大元帝国的各地，我正在召集勇士们前去铲除他们。\n\t#Y@myname#W，若你实力足够，我会指引你去那里。	-1	305003|305004	2725|2729|2733|2737|2852|2856|2685|3680|3684|3688|3692|3953|3959|3968|3980|3984|4000				-1				
129017	免费治疗医师	\t嘿！勇士，你受伤了么？我家世代在这里行医，我的医术可是远近闻名的。如果你需要，我可以免费为你治疗，不收取任何报酬！	-1	211023					-1				
129018	帮战发布人	\t有人的地方就有江湖，有江湖的地方就有恩怨，江湖不相信眼泪，只有凭实力说话。\n\t想要解决帮派之间的恩怨，你可以来找我。	-1	300634|300641|300642|300746|300747|300748|300749|300615					6				
129019	国战发布人	\t不要轻易发动对其他国家的侵略，除非你有成吉思汗那样的领导才能和天才的战略头脑。当然，如果能为国家带来巨大利益的话除外。	-1						5				
129020	帮会任务发布人	\t毫无疑问，你一定预感到了长生天给你的使命，在我们的字典里，“征服”这两个字永远是你们的使命！做好了准备，就踏上这条光荣、神圣的道路吧。\n\t我们需要像你这样的年轻人，去完成各种任务。	-1	300766|300767|300768|300770|300771|300772|300773|300774|300704|300836|300784|300804|300830	1371|7022|7003|7710|7741|7698|7786|7028|2606|4064				6				
129021	国家管理员	\t天下兴亡，匹夫有责！个人的荣辱与国家的兴衰密切相关。\n\t你希望为国家分忧的话，那就来找我吧。	-1	300657|300815|310100|300316|300661|310200|310201|300305|310152|310158|300315|300649|300651|310153	7559|7744				5				
129022	帮会管理员	\t在江湖行走靠的是什么？不外乎三点：钱多，兄弟多，够义气！\n\t如果你想要创建帮会或者加入帮会可以随时来找我。	-1	300972|300839|211000|211035|300632|300633|300634|300715|300828|300785|300786|300787|300788|300789|300790|300791|300719|570052|570053	2614|2637				6				
129023	师徒管理员	\t我可以帮你完成拜师和收徒的重要仪式，不过我要提醒你，拜师就像混黑社会，最重要的就是找一个好老大。	-1	300361|300362|300363|800039|800040|800012|800011|300360|920007|300358	9342|4288|4289|4290|4291|4292|4293|4294|4295|4296|4297|4298|4299|4044|4072|4078				-1				
129024	声望商店	\t这些装备多少钱我都不卖，如果你确实需要，想办法提升自己的声望，我每天都会在这里。	-1	560086|560125|560111|560112|560147|560148|560149	4218|2697				7				
129025	药店商人	\t江湖上打打杀杀，难免受伤流血。如果不及时医治，后果不堪设想！我这里的药可是物美价廉，我建议您多买几包，以备不时之需。	-1	560110	3457				0				
129026	防具店	\t拥有一身精良的防具，可以更多的减少在战斗中遇到的伤害！我会为你提供最精良的防具！	-1	560105	3654				7				
129027	武器店	\t挑选武器的宗旨在于得心应手，或锐利无比，或厚重无锋。\n\t我这里没有什么神兵利器，但都很实用，你随便挑。	-1	560100	3458				7				
129028	金币商人	\t我这里只买卖那些不会受次贷危机和通货膨胀影响的东西。	-1	560150|560909|560914|560916|560917|560918					7				
129029	领双管理员	\t如果想让你的效率变得更高就要来找我，但是机会是有限的哦！	-1	561002|570056	3063|4384				-1	951			
129030	装备铭刻大师	\t在装备上铭刻着属于自己的标志，还能让装备更加结实，想想都让人向往。如果你想铭刻你的装备，不妨考虑一下我这里。	-1	800001|800017|800117|800119|560202|561251|800079|800080|800118|800120|800121					15				
129031	装备保值大师	\t换装备就像过日子，要精打细算，打星、麻将、铭刻这些是装备的精华，我可以帮你把它们完美无缺的复制到同级的新装备上。	-1	800061|800066|561254|800086|800087					15				
129032	骑乘道具商人	\t骑乘实现新的能力，学会或忘记技能，各种道具的使用，都要经过驯养。最专业的驯养师，就在你面前，不要错过哦！	-1	560146					2				
129033	荣誉商店	\t荣誉就像是勇士身上的伤疤，虽然看起来残酷，却总是散发着耀眼的光芒。\n\t我这里有为真正的勇士准备的上等装备。	-1	560020|560021|560022|560160|560136|800109	1467				7				
129034	帮会商店	\t凡是为帮里做过贡献的兄弟都会获得帮贡值，只有用帮贡值才可以在我的店里兑换物品！	-1	560155|560156|560157|560158|560159|560167|560168					7				
129035	装备升星大师	\t做好远行的准备了吗？把你的装备给我，我可以让你的装备实力上升到新的高度。	-1	800047|800072	4226|2634|2721				1				
129036	装备镶嵌大师	\t宝石是不可多得的宝物，拥有了宝石就如同掌握了自己命运前进的方向。\n\t如果你有幸获得宝石，我可以把宝石镶嵌在你的装备上，霞光异彩，漂亮极了。\n\t如果有需要，我也可以帮你拆解下来。	-1	800000|800028|800058|800064|800062|800063|561256|800073|800074|800075|800076|800077|800078	4234|4238|3676				12				
129037	印度珠宝大师	\t每件装备都有它独特的属性，能不能发挥它的最大潜能就要看它的主人懂不懂得合理的利用了。	-1	560131|890002|540011	1479|3176				-1				
129038	中原草药大师	\t如果你掌握了中原制药术，就能将草药制成各种药丸，除了能替自己祛病消灾外，还能解救他人的病痛，何乐而不为呢？	-1	560132|890001|540010	1481|3172				-1				
129039	骑乘技能大师	\t骑乘的技能至关重要，拥有杰出技能的骑乘可以让你在作战的时候更加勇猛！我可以提供各种骑乘的技能书，提升骑乘的能力！	-1	560145|256001	4336|4337|4338|4339|4340|4341|4342|4343|4344|4345|4346|4347				2				
129040	材料收集人	\t我正在为了王国收集物资！如果你愿意有所捐赠，我们不会忘记你的功劳！	-1	300502	8053				-1				
129041	高奖副本传送人	\t只要你和几个志同道合的朋友一起组队，我就可以送你们进入副本，获得高额经验值，还有可能获得极其稀有的异形坐骑。\n\t此外，我这里还有单人副本（试炼）和三番副本供你选择。但是，高倍奖励的三番副本，每天最多只能进入3次！	-1	700081	2649|2653|2657|2661|2665|2669|1392|2641				8				
129042	内政任务发布人	\t很多时候，传奇的人生就是在日复一日的平凡生活中铸成的。	-1	300521	10302				-1				
129043	龙眼石兑换	\t本店的特殊装备，需要用龙眼石来兑换，而不是用金钱来购买。如果你想得到这些装备，那就快去寻找龙眼石吧。	-1	570001|570002|570003|570000	1424|3110|2602|4230				7				
129044	武士技能大师	\t没有了征战的日子，我只能在这里训练新兵为乐。\n\t虽然看起来其它十一个职业的功夫都很花哨，但是在武士面前一切都是没用的，当然有一个萨满做朋友的话，我可以省去很多疗伤的时间。	-1	800041	3474				-1				
129045	剑侠技能大师	\t我不喜欢贬低别人来抬高自己，不过在我眼里，所谓的勇猛都是蛮力，武学的最高境界应该是轻灵飘逸，潇洒自如。	-1	800042	3475				-1				
129046	火枪手技能大师	\t火枪是最省力的职业了，你要做的只是把枪对准目标。不管其他职业功夫如何了得，只要你够准，绝对能在他接近你之前干掉他。	-1	800045	3477				-1				
129047	骑射手技能大师	\t火枪的重点在于把握好射击距离和装弹的时间，而骑射最重要的是要懂得如何灵活地运用各种陷阱，始终把敌人操纵在你的股掌之中，这一点是任何职业都望尘莫及的。	-1	800043	3476				-1				
129048	萨满技能大师	\t没有武士和十字军那样强健的体魄，火枪和近卫军那样巨大的破坏力，剑侠和圣火使风一般的轻灵，也没有先知和僧侣绚丽的法术，骑射和刺客的敏捷，但我们却是所有职业最坚实的后盾，我们的存在，驱散了死亡的阴影。	-1	800046	3479				-1				
129049	先知技能大师	\t刀斩肉身，心斩灵魂。在肉体的比试之前，精神上已经决定了成败。	-1	800044	3478				-1				
129050	十字军技能大师	\t响应教皇的号召，奔赴遥远的异域，夺回我们的圣城，让十字旗飘扬在耶路撒冷！	-1	800103	3480				-1				
129051	圣火使技能大师	\t熊熊圣火，怜我世人苦难多；明明亮光，为我消灾去祸。加入我们圣火使，向世人传播光明教义，让更多的人摆脱苦难，飞升光明之国。	-1	800104	3481				-1				
129052	刺客技能大师	\t毙敌于无形，杀人于无影，来去无影踪，取人首级于千军万马之中。这就是我们——刺客！	-1	800105	3482				-1				
129053	近卫军技能大师	\t火铳的威力相当于一门小火炮，没有任何人能够抵挡。只要精通火铳的操作之法，将无敌于天下。	-1	800106	3483				-1				
129054	僧侣技能大师	\t别看我们平日慈眉善目，吃斋念佛，但对于那些恶人是绝对不会手软的。只有罗刹手段，方显菩萨心肠。	-1	800108	3485				-1				
129055	隐修士技能大师	\t有主的圣光庇护，有光芒四射的圣十字架在手，还怕这世间的魑魅魍魉吗？	-1	800107	3484				-1				
129056	万事通	\t王城里没有我不知道的事情，如果你有什么不清楚的，尽管来问我。	-1		3658|4210|4262|1575|4258|3170|3091|2630|4214|3293|2626|1579|6202|2673|2701|2705|2713|4222|3697|4250|3416|3650|4393|4040|4052				-1				
129057	好友管理员	\t千万不要为那些浮云一般的金钱和名望，放弃一份真挚的友情。	-1		1202|4048				-1				
129058	新手领奖大使	\t任何一个新来的朋友，欢迎到我这里来领取奖励。	-1	561101|561100|561103|585001|350014|561110|350007|310900|310910|310911	4056				17	949			
129059	银票兑换	\t想要把银票兑现成银卡吗？随时来找我，而且分文不少哦。	-1	800056					-1				
129060	宝箱活动使	\t最近王城各处都出现神秘的宝箱，这一定是长生天感应到了我们虔诚的祈祷！	-1		1367				-1				
129061	千佛窟传送人	\t我正在召集人手保护藏宝洞，佛祖的真身舍利绝不能落在那些败类手中！	-1						8				
129062	仓库管理员	\t你可以把多余的东西存在仓库里面，不过，我只能有限提供免费服务，如果你需要扩展仓库，我需要点手续费，只是一点点而已！	-1	561000|561001|561004|561005	4242|4206				-1				
129063	仓库管理员	\t你可以把多余的东西存在仓库里面，不过，我只能有限提供免费服务，如果你需要扩展仓库，我需要点手续费，只是一点点而已！	-1	561000|561001|561004|561005					-1				
129064	免费治疗医师	\t人吃五谷杂粮，难免头痛脑热。要是身体感到不舒服，我可以给你把把脉。	-1	211023					-1				
129065	免费治疗医师	\t我自幼师从名师，读遍古今中外的万卷医书，望闻切问无一不精。你来找我看病，算是找对人了。	-1	211023					-1				
129066	王国押运官	\t我正在招收人手，押运王国的物资。如果你对自己的实力有信心，不妨一试。\n\t每次成功的押运都会为你带来巨大的回报，当然，风险也是并存的。\n\t所以，我必须提醒你：物资有风险，押运需谨慎！	-1	300850	7614|7615|7616|7617|7618|7619|7632|7633|7634|7635|7636|7637|7645|7648				-1				
129067	钱庄	你在我这里开户后，钱庄交易操作。钱庄交易以银子作流通货币，以金子为交易对象，约定一两金子为最小交易单位。\n\t#G请注意：如果您的钱庄账户已持续30天没有任何交易操作，将被系统自动删除，账户内资金直接返还进您的背包中。请记得及时进行交易哦。	-1	310351|310350					-1				
129068	王国采集大师	\t我在王城里是出名的慷慨，只要你愿意学，我一定能教会你采集技能。	-1	540000|540200	3171|4372				-1				
129069	王国采矿大师	\t这采矿没有什么捷径可走，只有辛苦的挖掘才能换来丰厚的回报。	-1	540001|540202	1480|3175|4380				-1				
129070	王国捕捉大师	\t任何活着的东西都有它的价值，想要做一个捕捉好手，理解这一点很重要。	-1	540002|540201	1478|3173|4376				-1				
129071	蒙古驯马大师	\t这驯马之术，讲究的是耐心和细心，一味的用暴力不可能驯出优秀的马匹。	-1	540009|540012|560113	1477|3174				-1				
129072	威望值商人	\t只有那些乐于帮助新手的好心人才会获得威望值，你可以用你的威望值来换取你所需的物品。	-1	560908|920007|103000|300359					7				
129073	战车	\t想护送王国战车赚钱吗？其实很简单，你从我这里购买战车然后护送到外城就可以了。虽然战车的价格昂贵，但回报也很丰厚哦。	-1	300913	7033				-1				
129074	删除任务道具人	\t您身上是否有多余的任务道具，如果您觉得对您没有价值，就把它交给我这个收集废品的老人吧。	-1	800057					-1				
129075	装备鎏金大师	\t极品的装备就像是女人的脸，四分天生，六分要靠妆扮。\n\t如果你有那些传说中的神石，我可以帮助你将装备的等级大大提升。	-1	800059|800088|800060|800089|561253|800083|800090|800084|800091					15				
129076	王城卫兵	\t王城最近气氛紧张了不少。	-1						-1				
129077	突厥锻造大师	\t我的技艺虽不比中原古代的铸剑大师欧冶子，但在王城铸造兵器的匠人中，我的技艺无人可敌。	-1	540005|540013|560830|560831|560832	3178				-1				
129078	罗马铸甲大师	\t罗马所铸盔甲曾是西方无数贵族竞相追逐的物品，我的先人曾远行罗马学习铸甲术，如今到我，此技艺已相传四代。	-1	890000|540014|560836|560837|560838|560839|560840|560841	3177				-1				
129079	波斯工艺大师	\t好的工艺品不仅要有质地好的原材料，制作完成后还要再精心的打磨。	-1	540006|540015|560848|560849|560850|560851|800004|800065|561255	3068				-1				
129080	装备回收	\t人生如白驹过隙，又如朝露，每一分努力都值得珍惜和回顾。\n\t想要将过去的努力拿回来再利用就来找我吧，我不能让你穿越时空回到过去，但是却可以让你拿回曾经的付出。	-1	800037|800109|800069|800112					7				
129081	王城游商	\t王城里的富人多，生意好做。	-1	300672					-1				
129082	昆仑禁卫军	\t想去哪里其实很简单，前提只要与该城市的传送人有过交互，他都可以帮你。	-1						-1				
129083	昆仑禁卫军	\t中心广场的管理员孙俪人很好，她每周都会赠予你5个小时的双倍经验时间。而前提只要你到了20级。	-1						-1				
129084	昆仑禁卫军	\t剧场穿送人有一个神奇的力量，通过记忆之门将你送往往昔的世界。	-1						-1				
129085	昆仑禁卫军	\t王城的贤者巫贤来自海都藏身之所夜密丽，对海都现复活的十八魔君较为熟悉。	-1						-1				
129086	昆仑禁卫军	\t海都？当然怕啊！不过我的老婆孩子都生活在楼兰，只是为了我的家人，也要战斗到最后！	-1						-1				
129087	昆仑禁卫军	\t知道天降宝箱的好事么？宝箱中有着各种惊奇宝物，详细情况可以去找阿琳娜问问。	-1						-1				
129088	昆仑禁卫军	\t如果你接受了国家的内政任务，请尽量完成。会有不菲的经验奖励！	-1						-1				
