INT	STRING	STRING	STRING	FLOAT	FLOAT	INT	INT	STRING	STRING	STRING	INT					
129712	86	屠城战传送石	屠城战传送石	215.261505	30.114248	1	1	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129713	86	屠城战传送石	屠城战传送石	187.299408	226.799606	1	1	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124500	86	那哈出	那哈出	102.909294	123.625793	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124501	86	勃列格	勃列格	104.449364	121.586838	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124521	86	剌哈答	剌哈答	109.945511	32.165295	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124525	86	查干	查干	54.987232	216.044983	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124526	86	阿来夫	阿来夫	66	211	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124527	86	木阔图	木阔图	53.145065	216.57608	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124528	86	乌兰图娅	乌兰图娅	41.564396	205.330521	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124529	86	乌山	乌山	41.996719	206.165863	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124530	86	阿茹娜	阿茹娜	43.823437	205.290115	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124534	86	苏日娜	苏日娜	168.593643	115.835045	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124535	86	阿拉图	阿拉图	171.362823	131.77037	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
124536	86	拉克申	拉克申	173.945084	126.772537	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
29077	86	马匪营地	马匪营地	68	67	0	-1	风景	z		0					
29078	86	金刀	金刀	53	77	0	-1	风景	z		0					
29080	86	前方战线	前方战线	91	190	0	-1	风景	z		0					
125513	86	佐盛伊	中转商	166	135.5	1	1	功能	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
#	楼兰边塞										0					
125500	51	阿史那行	[敌国夺旗]发布人	42.609463	112.842949	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125501	51	阿史那慎	[敌国除奸]发布人	42.247189	129.055893	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125502	51	阿史那谨	[敌国情报]发布人	38.464619	124.508148	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125503	51	阿史那言	[敌国刺杀]发布人	38.498791	117.458504	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125504	51	边塞商人	药品商人	28.647236	105.64975	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125543	51	真金太子	真金太子	40.356308	121.00679	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125544	51	边塞召集人	边塞召集人	118.6	191	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125509	51	拓道	敌国传送人	126.627419	182.952255	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125510	51	边塞召集人	边塞召集人	134.8	191	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125511	51	边境掌旗使	边境掌旗使	126.8	130	1	1	功能	a	set:UI_MainUI_6 image:UI_MainUI_6_duoqi	1					
125512	51	张五常	大掌柜	36	203.4	1	1	功能	a	set:UI_MainUI_6 image:UI_MainUI_6_chujian	1					
125514	51	桑素	朝贡使者	235	53	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
125506	51	口温不花	楼兰守将	122.562561	161.431763	1	2	任务	b	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
125507	51	阿巴哈	楼兰守将	130.55838	161.431839	1	2	任务	b	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
125508	51	明安	楼兰大将	126.468018	165.073212	1	2	任务	b	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
125515	76	密报	密报	150	129	1	1	功能	m	set:UI_MainUI_6 image:UI_MainUI_6_mibao	1					
125516	51	边塞主将	边塞主将	215	177	1	1	功能	b	set:UI_MainUI_6 image:UI_MainUI_6_cisha	1					
#	成2天山王城										0					
126000	150	中心广场驿卒	传送·中心广场	127.949997	118	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
138053	150	天山国王	天山国王	128.004929	57.772263	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
138054	150	天山朱雀之主	天山朱雀之主	131.658463	59.16629	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
138055	150	天山青龙之主	天山青龙之主	124.452972	58.985878	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126002	150	万事通	万事通	128	83	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101701	150	黎宪升	[离线代练]黎宪升	97	134.671753	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126004	150	都由乾	[津贴管理]都由乾	194.255081	34.790863	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126006	150	撒都尤	[杂货商人]撒都尤	77.8	95.8	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126008	150	马哈孜	[骑乘繁殖]马哈孜	200.141159	150.485077	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126009	150	伊斯马里	[骑乘恢复]伊斯马里	162.784653	126.623413	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126010	150	保备多	[产出副本]保备多	81.939514	191.205658	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126011	150	祖堆莱	[轮回台]祖堆莱	107.727768	102.739349	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126016	150	巫贤	贤者巫贤	117.49678	27.906319	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126017	150	伊盛	[免费治疗]伊盛	162.71582	130.699097	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126018	150	篾筹迪	[帮战发布]篾筹迪	190.562943	186.560181	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126019	150	都据吉	[国战发布]都据吉	187.995392	31.639687	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126020	150	壹其座	[帮会任务]壹其座	190.378983	173.745407	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126021	150	固库	[国家管理]固库	194.250198	43.009987	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126022	150	杰伊	[帮会管理]杰伊	185.938553	179.967972	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126023	150	拜答戈	[师徒管理]拜答戈	178.788864	199.379807	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126024	150	乾不幻	[声望商人]乾不幻	55.080627	136.355804	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126025	150	忽饰	[药品商人]忽饰	83.845291	96.003738	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126026	150	谢帖伊	[防具商人]谢帖伊	89.898796	95.966591	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126027	150	麻扎	[武器商人]麻扎	95.51828	96.144852	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126028	150	孙俪	[双倍经验]孙俪	104.44606	134.671753	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126029	150	江克尔	[装备铭刻]江克尔	178.376114	98.592651	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126030	150	布奎	[装备保值]布奎	178.228104	104.982758	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126031	150	马依力	[骑乘道具]马依力	203.145599	145.905197	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126032	150	吾买尔	[荣誉商人]吾买尔	55.17202	126.260086	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126033	150	吉雅德	[帮会商人]吉雅德	58.024651	140.045914	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126034	150	羌力	[装备升星]羌力	187.820023	106.044495	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126035	150	音莱	[装备镶嵌]音莱	204.884567	102.910843	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126036	150	宝珠	[印度珠宝大师]宝珠	80.417938	157.688751	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126037	150	黄柏	[中原草药大师]黄柏	56.570335	160.917221	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126038	150	马穆多尔	[骑乘技能]马穆多尔	194.557617	150.823425	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126040	150	景彦多	[三环副本]景彦多	71.91803	191.303635	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126041	150	金常佐	[内政任务]金常佐	141.067184	78.012337	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126042	150	龙嫣	[龙眼石兑换]龙嫣	55.399475	131.14212	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126043	150	武士技能大师	[武士技能大师]	65	33	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126044	150	剑侠技能大师	[剑侠技能大师]	62	35	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126045	150	火枪手技能大师	[火枪手技能大师]	62.002014	43	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126046	150	骑射手技能大师	[骑射手技能大师]	62	39	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126047	150	萨满技能大师	[萨满技能大师]	62	51	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126048	150	先知技能大师	[先知技能大师]	62	47	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126049	150	十字军技能大师	[十字军技能大师]	71	33	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126050	150	圣火使技能大师	[圣火使技能大师]	74	35	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126051	150	刺客技能大师	[刺客技能大师]	74	39	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126052	150	近卫军技能大师	[近卫军技能大师]	74	43	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126053	150	僧侣技能大师	[僧侣技能大师]	74	51	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126054	150	隐修士技能大师	[隐修士技能大师]	74	47	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126055	150	朋多尔	[好友管理]朋多尔	185.793594	199.406754	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126056	150	孙俪	[领奖大使]孙俪	157.058456	100.136459	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126057	150	金焕音	[银票兑换]金焕音	150.021088	100.136459	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126058	150	阿琳娜	[宝箱活动]阿琳娜	115.20491	77.896172	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126060	150	藏储	[仓库]藏储	105.985199	156.878067	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126061	150	藏备	[仓库]藏备	153.78447	162.134979	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126062	150	娜斯	[免费治疗]娜斯	153.875427	171.947845	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126063	150	脱麻彻	[王国押运]脱麻彻	62.257675	170.05748	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126064	150	金绔	[钱庄]金绔	143.676178	100.136459	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126065	150	卜卓	[王国采集大师]卜卓	56.562943	165.666061	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126066	150	瓦旷	[王国采矿大师]瓦旷	65.175629	156.293442	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126067	150	达烈	[王国捕捉大师]达烈	88.760368	160.046753	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126068	150	牧仁	[蒙古驯马大师]牧仁	84.415176	157.750992	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126069	150	代辛仁	[威望商店]代辛仁	62.875275	139.935806	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126070	150	约赛芙	[排行榜挑战赛]约赛芙	154.115463	138.618927	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126071	150	善途	[删除任务道具]善途	103.617065	186.249985	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126072	150	成紫	[装备鎏金]成紫	201.722076	91.80056	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126073	150	达乌其	[突厥锻造大师]达乌其	56.920525	156.438034	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126074	150	达奎甲	[罗马铸甲大师]达奎甲	60.833679	156.118698	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126075	150	美珠	[波斯工艺大师]美珠	90.930779	164.526215	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126076	150	载力雍	[装备回收]载力雍	174.924454	91.704056	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126080	150	筹岚妆	[外装]筹岚妆	207.825272	96.707016	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126126	150	拉古尔	王城御卫长	229.279663	108.298111	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126130	150	马来亚	[战马征集]马来亚	14.575478	101.325272	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126134	150	鲁布	[城东商人]鲁布	226.053894	143.512512	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126135	150	马柯	[城西商人]马柯	50.924004	90.106689	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126136	150	刀勒	王城游商刀勒	95.994476	101.65892	0	0	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126137	150	条曹	[转职管理]条曹	164.477203	67.938454	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126131	150	脱占彻	[战车押运]脱占彻	62.200935	177.856445	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126138	150	呼蚩满	[新兵速成]呼蚩满	138.67131	28.59412	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126139	150	阿史那战	[领地争夺]阿史那战	181.181549	34.790863	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126142	150	呼恪守	[守护管理]呼恪守	181.181549	42.225647	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126128	150	阿什楚戈	[军需武备]阿什楚戈	162.784653	106	1	2	任务	j	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126144	150	钥匙老人	钥匙老人	127.844727	26.900215	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
126145	150	观任武	[删除角色]观任武	248.492218	143.464172	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101228	150	廉集	迷宫指引人	232	150	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
59601	150	领取双倍经验	领取双倍经验	104.44606	134.671753	0	-1	风景	d		0					
59605	150	升级到3星	升级到3星	187.820023	106.044495	0	-1	风景	d		0					
59609	150	打孔	打孔	204.884567	102.910843	0	-1	风景	d		0					
59613	150	镶嵌	镶嵌	204.884567	102.910843	0	-1	风景	d		0					
59655	150	升级到5星	升级到5星	187.820023	106.044495	0	-1	风景	d		0					
59656	150	比力克孜	比力克孜	190.378983	173.745407	0	-1	功能	a		0					
82057	150	天山记忆之门	记忆之门	128	12	0	-1	风景	f		0					
82058	150	通往王国草原罕难河	通往王国草原罕难河	11	82	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0					
59910	150	三环通缉令	三环通缉令	71.91803	191.303635	0	-1	风景	f		0					
59911	150	王城摆摊区	王城摆摊区	128	163	0	-1	风景	f		0					
59912	150	[产出副本]藏宝洞	[产出副本]藏宝洞	81.939514	191.205658	0	-1	风景	f		0					
59913	150	技能大师	技能大师	68	45	0	-1	风景	f		0					
60050	150			68	28	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_jinengxuexi	1					
60051	150			128	21	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_jiyizhimen	1					
60052	150			188	26	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_guojia	1					
60053	150			190	87	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_zhuangbeiqianghua	1					
60054	150			149	95	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_qianzhuang	1					
60055	150			87	90	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_putongshangdian	1					
60056	150			71.5	130	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_duihuanshangdian	1					
60057	150			73.5	151.5	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_shenghuojineng	1					
60058	150			72.5	174	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_yayun	1					
60059	150			78	198	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_fuben	1					
60060	150			128	113	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_chuansong	1					
60061	150			200	157	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_qichengdaoju	1					
60062	150			184	205	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_shituhaoyou	1					
60063	150			198	180	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_banghui	1					
60064	150			128	168	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_yinbibaitan	1					
60065	150			164.5	63	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_zhuanzhi	1					
60066	150			97	141.671753	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_dailian	1					
60067	150			104.44606	127.671753	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_lingshuang	1					
60068	150			152.5	128	0	1	风景		set:UI_placetext_1 image:UI_placetext_1_zhiliao	1					
#	成2天山外城															
101121	158	天山外城	传送·天山外城	128	76	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
126129	158	阿鲁图	运镖回复人	172	165.3	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127550	158	耶律虞	50级圣山地宫	103.784058	54.180328	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127551	158	耶律潭	60级圣山地宫	104.126221	67.078323	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127552	158	耶律修	70级圣山地宫	104.764923	79.918518	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127553	158	耶律英	75级圣山地宫	105.26358	93.970711	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127554	158	耶律杰	80级圣山地宫	149.132202	55.28466	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127555	158	耶律睿	85级圣山地宫	148.60347	67.063828	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127556	158	耶律德	90级圣山地宫	147.897827	80.828934	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127557	158	耶律勇	95级圣山地宫	148.60347	93.970711	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127558	158	耶律辉	100级圣山地宫	159.388245	93.970711	1	1	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129721	158	图抵	屠城战传送石	64	173	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129756	158	国昭	[王国召集]国昭	89	26	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
#	成2天山古道										0					
127500	186	天山古道	传送·天山古道	94	141.699997	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
129720	186	国昭	[王国召集]国昭	204.850296	132.62973	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129722	186	屠城战传送石	屠城战传送石	22	29	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129723	186	屠城战传送石	屠城战传送石	69	228	1	2	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
127509	186	曹布德	曹布德	80.561218	145.00441	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127510	186	浩吉格日	浩吉格日	93.813499	159.255203	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127523	186	阿日斯兰	阿日斯兰	205.949188	85.190697	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127524	186	扎娜	扎娜	204.806427	86.462372	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127525	186	伊日毕斯	伊日毕斯	207.315323	69.53035	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127526	186	孛日帖赤那	孛日帖赤那	212.510452	78.967491	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127527	186	查干巴日	查干巴日	201.724335	77.969528	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127533	186	米妮娅	米妮娅	203.831375	231.39386	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127501	186	忽察	忽察	92.688332	137.236664	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127540	186	吾依古尔	吾依古尔	94.370865	148.485077	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127541	186	沙木沙克	沙木沙克	94.400055	132.133743	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
127545	186	塔吉古丽	塔吉古丽	206.405594	70.905373	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
128515	186	佐盛伊	中转商	97	124	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
#	成2天山边塞										0					
128500	151	玉门关	传送·玉门关	126.699997	63.799999	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
128501	151	河西走廊	传送·河西走廊	127	209	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
128502	151	顿英祁	[敌国夺旗]发布人	219.851089	113.514061	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128503	151	阿那思律	[敌国除奸]发布人	222.328537	116.755569	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128504	151	必兰忽	[敌国情报]发布人	222.140564	123.072411	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128505	151	摩尼罗杰	[敌国刺杀]发布人	219.660858	126.540703	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128506	151	边塞商人	药品商人	210.015076	146.19455	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128552	151	真金太子	真金太子	220.591324	120.164017	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128553	151	边塞召集人	边塞召集人	118.6	191	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128508	151	口温不花	天山守将	121.229767	161.734009	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128509	151	阿巴哈	天山守将	131.900391	161.678528	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128510	151	明安	天山大将	126.766594	164.430069	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128511	151	拓道	敌国传送人	126.506111	183.278778	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128512	151	边塞召集人	边塞召集人	134.9	191	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128513	151	边境掌旗使	边境掌旗使	126.8	130	1	2	任务	z	set:UI_MainUI_6 image:UI_MainUI_6_duoqi	1					
128514	151	张五常	大掌柜	215.2	216	1	2	任务	z	set:UI_MainUI_6 image:UI_MainUI_6_chujian	1					
128516	151	桑素	朝贡使者	22	36	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
128517	176	密报	密报	111	133	1	1	功能	m	set:UI_MainUI_6 image:UI_MainUI_6_mibao	1					
128518	151	边塞主将	边塞主将	31	186	1	1	功能	b	set:UI_MainUI_6 image:UI_MainUI_6_cisha	1					
#	成2昆仑王城										0					
129169	250	中心广场	传送·中心广场	128.050003	138	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
138056	250	昆仑国王	昆仑国王	128.191177	188.95047	1	1	任务	j	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
138057	250	昆仑朱雀之主	昆仑朱雀之主	132.722992	187.711441	1	1	任务	s	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
138058	250	昆仑青龙之主	昆仑青龙之主	123.359146	187.934647	1	1	任务	q	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101702	250	黎宪升	[离线代练]黎宪升	157.657074	122.826752	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
129001	250	都由乾	[津贴管理]都由乾	59.857712	218.921158	1	1	骑乘	q	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
