INT	INT	STRING	STRING	INT	INT	INT	INT	INT
16005	-1	盗墓守卫		-1	-1	-1	-1	5
16006	-1	嗜血监工		-1	-1	-1	-1	1
16007	-1	狼人布鲁斯		-1	-1	-1	-1	1
16008	-1	古察		-1	-1	-1	-1	1
16009	-1	地穴恐惧魔		-1	-1	-1	-1	1
16010	-1	扎兰丁		-1	-1	-1	-1	1
16011	-1	噬灵		-1	-1	-1	-1	1
16012	-1	陈理		-1	-1	-1	-1	1
16013	-1	勃鲁合		-1	-1	-1	-1	1
16014	-1	独眼石人		-1	-1	-1	-1	1
16015	-1	地宫狂魔		-1	-1	-1	-1	1
16016	-1	幼鲨		-1	-1	-1	-1	50
16017	-1	东瀛浪人		3238	-1	-1	-1	20
16018	-1	东瀛将军		3241	-1	-1	-1	1
16019	-1	三头凶蛟		-1	-1	-1	-1	1
16020	-1	飓风恶灵		-1	-1	-1	-1	2
16021	-1	完颜洪烈		-1	-1	-1	-1	1
16022	-1	陈理		-1	-1	-1	-1	1
16023	-1		条顿之王	-1	-1	-1	-1	1
16024	-1	大友贞亲		-1	-1	-1	-1	1
16025	-1	沙陀罗		-1	-1	-1	-1	1
16026	-1	扈三娘		-1	-1	-1	-1	1
16027	-1		狂沙部落	-1	-1	-1	-1	8
16028	-1		红巾部落	-1	-1	-1	-1	8
16029	-1		追风部落	-1	-1	-1	-1	8
16030	-1		雪隼部落	-1	-1	-1	-1	8
16031	-1	幽黑之蛛		-1	-1	-1	-1	18
16032	-1	幽黑之蛛		-1	-1	-1	-1	18
16033	-1	幽黑之蛛		-1	-1	-1	-1	18
16034	-1	幽黑之蛛		-1	-1	-1	-1	18
#	新兵速成							
16050	34	高等级怪		9500	-1	-1	-1	10
#	钧窑							
16055	-1	怒炎之锤		-1	-1	-1	-1	1
#	成2王国迷宫							
16061	-1	幽蛰之蜂		-1	-1	-1	-1	12
16062	-1	幽蛰之蜂		-1	-1	-1	-1	12
16063	-1	幽蛰之蜂		-1	-1	-1	-1	12
16064	-1	幽蛰之蜂		-1	-1	-1	-1	12
16065	-1	幽纹之豹		-1	-1	-1	-1	12
16066	-1	幽纹之豹		-1	-1	-1	-1	12
16067	-1	幽纹之豹		-1	-1	-1	-1	12
16068	-1	幽纹之豹		-1	-1	-1	-1	12
16069	-1	幽面之魈		-1	-1	-1	-1	12
16070	-1	幽面之魈		-1	-1	-1	-1	12
16071	-1	幽面之魈		-1	-1	-1	-1	12
16072	-1	幽面之魈		-1	-1	-1	-1	12
16073	-1	幽暗之瞳		-1	-1	-1	-1	12
16074	-1	幽暗之瞳		-1	-1	-1	-1	12
16075	-1	幽暗之瞳		-1	-1	-1	-1	12
16076	-1	幽暗之瞳		-1	-1	-1	-1	12
#	成2楼兰王国	17000	17099					
17000	-1	神秘山匪		2306	-1	-1	-1	10
17001	-1		马匪首领	2304	-1	-1	-1	1
17002	-1	阔克汗		2322	-1	-1	-1	1
17003	-1	花剌子模魔军		2323	-1	-1	-1	10
17004	-1	阔克汗		2322	-1	-1	-1	1
17005	-1	海尔汗		2321	-1	-1	-1	1
17006	-1	摩诃末		2320	-1	-1	-1	1
17007	-1	白垩虎		2310	-1	-1	-1	15
17008	-1	阔克汗侍卫		2313	-1	-1	-1	10
#	成2天山王国	17100	17199					
17100	-1	黄脊虎		2339	-1	-1	-1	2
17101	-1	灵女		2373	-1	-1	-1	4
17102	-1	天山女巫		2366	-1	-1	-1	1
17103	-1	西辽魔军		2306	-1	-1	-1	2
17104	-1	西辽步兵		2324	-1	-1	-1	2
17105	-1	豁里速别赤  		2320	-1	-1	-1	1
17106	-1	西辽魔军		2323	-1	-1	-1	4
#	成2昆仑王国	17200	17299					
17200	-1	女真黑衣人		2813	-1	-1	-1	2
17201	-1	黑衣看守		2834	-1	-1	-1	2
17202	-1	密宗喇嘛		2811	-1	-1	-1	3
17203	-1	密宗法师		2810	-1	-1	-1	1
17204	-1	火灵		2812	-1	-1	-1	2
17205	-1	金国魔兵		2802	-1	-1	-1	8
17206	-1	忙谷		2804	-1	-1	-1	1
17207	-1	迷仆		2805	-1	-1	-1	1
17208	-1	抹然尽忠		2806	-1	-1	-1	1
17209	-1	神兵之灵		2817	-1	-1	-1	2
17210	-1	魔兵守卫		2807	-1	-1	-1	1
17211	-1	女真黑衣人		2813	-1	-1	-1	2
#	成2敦煌王国	17300	17399					
17300	-1	官府衙差		2377	-1	-1	-1	3
17301	-1	西夏魔军		2314	-1	-1	-1	2
17302	-1	阿沙敢不		2321	-1	-1	-1	1
17303	-1	野山羊		2374	-1	-1	-1	5
17304	-1	西夏骑兵		2304	-1	-1	-1	2
17305	-1	哨兵		2314	-1	-1	-1	2
17306	-1	籍辣思义		2322	-1	-1	-1	1
17307	-1	看守		2314	-1	-1	-1	2
17308	-1	阿绰		2321	-1	-1	-1	1
#	楼兰葱岭牧场							
17499	87	捣乱的幼狐		11953	-1	-1	-1	3
17500	87	成年狐狸		11971	-1	-1	-1	5
17501	87	草原棕熊		11970	-1	-1	-1	8
#	天山和田牧场							
17502	187	草原狼		11971	-1	-1	-1	5
17503	187	草原棕熊		11970	-1	-1	-1	8
17504	187	铁尾狼		12496	-1	-1	-1	5
17505	187	幼狐		12473	-1	-1	-1	3
#	成2昆仑牧场	18400	18409					
18400	287	草原棕熊		11970	-1	-1	-1	8
18401	287	毒爪狼		13469	-1	-1	-1	5
18402	287	野猪		12971	-1	-1	-1	5
18403	287	斑犬		12948	-1	-1	-1	3
#	成2敦煌牧场	18406	18410					
18406	387	草原棕熊		11970	-1	-1	-1	8
18407	387	毒爪狼		13469	-1	-1	-1	5
18408	387	幼狐		13453	-1	-1	-1	3
18409	387	草原狼		13471	-1	-1	-1	5
#	成2泰山	18411	18415					
18411	2	李璮叛兵		-1	-1	-1	-1	5
18412	2	利齿虎		3660	-1	-1	-1	5
18413	2	泰山饿狼		3667	-1	-1	-1	5
18414	2	李璮		3652	-1	-1	-1	1
#	成2秦岭	18420	18430					
18420	7	狂野山魈		5925	-1	-1	-1	5
18421	7	青龙寨山贼		5926	-1	-1	-1	5
18423	7	沈府武师殷克沙		5928	-1	-1	-1	1
#	成2蔡州城	18431	18440					
18431	6	天风堂弟子		5971	-1	-1	-1	5
18432	6	风卷云	天风堂堂主	5972	-1	-1	-1	1
