INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
59246	1	12052711	1	-1	-1	-1								
59247	1	12052541	1	-1	-1	-1								
59248	1	12052601	1	-1	-1	-1								
59249	1	12052631	1	-1	-1	-1								
59250	1	10010040	1	-1	-1	-1								
59251	1	10020040	1	-1	-1	-1								
59252	1	10030040	1	-1	-1	-1								
59253	1	10040040	1	-1	-1	-1								
59254	1	10050040	1	-1	-1	-1								
59255	1	10060040	1	-1	-1	-1								
59256	1	10200040	1	-1	-1	-1								
59257	1	10230040	1	-1	-1	-1								
59258	1	10250040	1	-1	-1	-1								
59259	1	10260040	1	-1	-1	-1								
59260	1	10270040	1	-1	-1	-1								
59261	1	10280040	1	-1	-1	-1								
59262	1	10290040	1	-1	-1	-1								
#		新帮会内政	（50-59）											
59270	1	12010202	1	-1	-1	-1								
59271	1	12010302	1	-1	-1	-1								
59272	1	12041062	1	-1	-1	-1								
59273	1	12041082	1	-1	-1	-1								
59274	1	12041072	1	-1	-1	-1								
59275	1	14030002	1	-1	-1	-1								
59276	1	14030007	1	-1	-1	-1								
59277	1	14030012	1	-1	-1	-1								
59278	1	12052511	1	-1	-1	-1								
59279	1	12052621	1	-1	-1	-1								
59280	1	12052651	1	-1	-1	-1								
59281	1	12052661	1	-1	-1	-1								
59282	1	12052671	1	-1	-1	-1								
59283	1	12052681	1	-1	-1	-1								
59284	1	12052691	1	-1	-1	-1								
59285	1	12052701	1	-1	-1	-1								
59286	1	12052711	1	-1	-1	-1								
59287	1	10010050	1	-1	-1	-1								
59288	1	10020050	1	-1	-1	-1								
59289	1	10030050	1	-1	-1	-1								
59290	1	10040050	1	-1	-1	-1								
59291	1	10050050	1	-1	-1	-1								
59292	1	10060050	1	-1	-1	-1								
59293	1	10200050	1	-1	-1	-1								
59294	1	10250050	1	-1	-1	-1								
59295	1	10270050	1	-1	-1	-1								
59296	1	10200060	1	-1	-1	-1								
59297	1	10250060	1	-1	-1	-1								
59298	1	10270060	1	-1	-1	-1								
59299	1	10280050	1	-1	-1	-1								
59300	1	10290050	1	-1	-1	-1								
59301	1	10280060	1	-1	-1	-1								
59302	1	10290060	1	-1	-1	-1								
#		新帮会内政	（60-69）											
59310	1	12010203	1	-1	-1	-1								
59311	1	12010303	1	-1	-1	-1								
59312	1	12041062	1	-1	-1	-1								
59313	1	12041082	1	-1	-1	-1								
59314	1	12041072	1	-1	-1	-1								
59315	1	14010002	1	-1	-1	-1								
59316	1	14010007	1	-1	-1	-1								
59317	1	14010012	1	-1	-1	-1								
59318	1	12052611	1	-1	-1	-1								
59319	1	12052641	1	-1	-1	-1								
59320	1	12052521	1	-1	-1	-1								
59321	1	10010070	1	-1	-1	-1								
59322	1	10020070	1	-1	-1	-1								
59323	1	10030070	1	-1	-1	-1								
59324	1	10040070	1	-1	-1	-1								
59325	1	10050070	1	-1	-1	-1								
59326	1	10060070	1	-1	-1	-1								
59327	1	10200070	1	-1	-1	-1								
59328	1	10230070	1	-1	-1	-1								
59329	1	10250070	1	-1	-1	-1								
59330	1	10260070	1	-1	-1	-1								
59331	1	10270070	1	-1	-1	-1								
59332	1	10280070	1	-1	-1	-1								
59333	1	10290070	1	-1	-1	-1								
#		新帮会内政	（70+）											
59340	1	12041063	1	-1	-1	-1								
59341	1	12041083	1	-1	-1	-1								
59342	1	12041073	1	-1	-1	-1								
59343	1	14040006	1	-1	-1	-1								
59344	1	14010003	1	-1	-1	-1								
59345	1	14010008	1	-1	-1	-1								
59346	1	14010013	1	-1	-1	-1								
59347	1	12052551	1	-1	-1	-1								
59348	1	12052571	1	-1	-1	-1								
59349	1	12052581	1	-1	-1	-1								
59350	1	12052591	1	-1	-1	-1								
59351	1	10010080	1	-1	-1	-1								
59352	1	10020080	1	-1	-1	-1								
59353	1	10030080	1	-1	-1	-1								
59354	1	10040080	1	-1	-1	-1								
59355	1	10050080	1	-1	-1	-1								
59356	1	10060080	1	-1	-1	-1								
59357	1	10200080	1	-1	-1	-1								
59358	1	10230080	1	-1	-1	-1								
59359	1	10250080	1	-1	-1	-1								
59360	1	10260080	1	-1	-1	-1								
59361	1	10270080	1	-1	-1	-1								
59362	1	10280080	1	-1	-1	-1								
59363	1	10290080	1	-1	-1	-1								
#		帮会内政	（20-39）											
59501	1	11000200	1	-1	-1	-1								
59502	1	11020001	1	-1	-1	-1								
59503	1	11020002	1	-1	-1	-1								
59504	1	11030001	1	-1	-1	-1								
59505	1	12010001	1	-1	-1	-1								
59506	1	12010100	1	-1	-1	-1								
59507	1	12010001	1	-1	-1	-1								
59508	1	12010300	1	-1	-1	-1								
59509	1	11990201	1	-1	-1	-1								
59510	1	11050001	1	-1	-1	-1								
#		帮会内政	（40-59）											
59511	1	11000200	1	-1	-1	-1								
59512	1	11020001	1	-1	-1	-1								
59513	1	11020002	1	-1	-1	-1								
59514	1	11030001	1	-1	-1	-1								
59515	1	12010001	1	-1	-1	-1								
59516	1	12010100	1	-1	-1	-1								
59517	1	12010001	1	-1	-1	-1								
59518	1	12010300	1	-1	-1	-1								
59519	1	11990202	1	-1	-1	-1								
59520	1	11050001	1	-1	-1	-1								
#		帮会内政	（60+）											
59521	1	11000201	1	-1	-1	-1								
59522	1	11020001	1	-1	-1	-1								
59523	1	11020002	1	-1	-1	-1								
59524	1	11030001	1	-1	-1	-1								
59525	1	12010001	1	-1	-1	-1								
59526	1	12010100	1	-1	-1	-1								
59527	1	12010001	1	-1	-1	-1								
59528	1	12010300	1	-1	-1	-1								
59529	1	11990203	1	-1	-1	-1								
59530	1	11050001	1	-1	-1	-1								
#		好友任务采集												
59600	2	13013700	1	420	1	-1								
59601	2	13013701	1	421	1	-1								
59602	2	13013702	1	422	1	-1								
59603	2	13013703	1	423	1	-1								
59604	2	13013704	1	424	1	-1								
59605	2	13013705	1	425	1	-1								
#		成2楼兰王国	（59700-59799）											
59700	1	13010025	1	-1	-1	86		马匪首领	2304	-1	-1	-1	100	1
59701	1	13810202	1	-1	-1	89	摩诃末		2320	-1	-1	-1	100	1
59702	0	13013004	1	-1	-1	-1								
59703	0	13060012	1	-1	-1	-1								
#		成2天山王国	（59800-59899）											
59800	1	13010002	1	-1	-1	-1	薛吾撒八剌		2320	-1	-1	-1	100	1
59801	1	13810259	1	-1	-1	-1	野牛		2376	-1	-1	-1	100	1
59802	1	13810250	1	-1	-1	-1	野猪		2375	-1	-1	-1	100	1
59803	1	13810251	1	-1	-1	-1	野山羊		2374	-1	-1	-1	100	1
59804	1	13010002	1	-1	-1	-1	屈出律		2320	-1	-1	-1	100	1
#		成2昆仑王国	（59900-59549）											
59900	1	13010002	8	-1	-1	289	青塘棕熊		2816	-1	-1	-1	100	1
59901	1	13810259	1	-1	-1	289	蒲鲜万奴		2803	-1	-1	-1	100	1
59902	2	13810250	1	820	1	-1	金锭							
59903	1	13810251	1	-1	-1	286	黑衣看守		2813	-1	-1	-1	100	1
59904	0	13810253	1	-1	-1	-1	满水囊							
59905	2	13810258	1	830	1	-1	契丹金戈							
59949	1	13020440	3	-1	-1	287	恶狼		12972	-1	-1	-1	80	1
#		成2敦煌王国	（59950-59999）											
59950	1	13010002	2	-1	-1	386	官府衙差		2377	-1	-1	-1	50	1
59951	1	13010002	2	-1	-1	386	哨兵		2314	-1	-1	-1	50	1
59952	1	13010002	1	-1	-1	389	嵬名令公		2321	-1	-1	-1	100	1
59953	1	13810398	3	-1	-1	387	豺狗		13487	-1	-1	-1	100	1
59954	1	13020437	3	-1	-1	387	草原熊		13470	-1	-1	-1	80	1
#		成2秦岭												
59960	1	13810410	1	-1	-1	7	狂野山魈		9515	-1	-1	-1	80	1
#		成2秦岭												
59970	0	11020002	1	-1	-1	-1								
59971	0	11020001	1	-1	-1	-1								
59972	0	11030401	1	-1	-1	-1								
59973	0	11030001	1	-1	-1	-1								
