INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	CNC	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING
10882	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10883	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10884	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10885	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10886	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10887	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10888	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10889	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10890	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10891	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10892	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10893	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10894	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10895	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10896	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10897	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10898	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10899	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_7	4086	10	1	0	3000	2000									3		50	10000	1	1	216	0	0	0	0	0	22136	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
10900	1		1	1	-1	200	100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_9	4001	10	1	0	3000	2000									3		80	10000	1	1	468	0	0	0	0	0	81979	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	-1	100	-1		怪物	
#		楼兰5张图占用		11500	11999																		1		1050-1499										#N/A																																			
11949	1	天山新兵	1	1	-1	200	100	set:HAN2_Monster_touxiang_7 image:HAN2_Monster_touxiang_7_10	2646	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11950	1	昆仑新兵	1	1	-1	200	100	set:HAN2_Monster_touxiang_7 image:HAN2_Monster_touxiang_7_11	2647	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11951	1	敦煌新兵	1	1	-1	200	100	set:HAN2_Monster_touxiang_7 image:HAN2_Monster_touxiang_7_12	2648	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11952	1	牧场守卫长	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_11	2512	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11953	0	2级幼年狐狸	1	1	-1	200	100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_14	4024	10	1	0	2000	1000									3		2	10000	1	6	4	0	0	0	0	0	27	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	1	100	-1		怪物	
11954	1	牧场守卫长	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_11	2512	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	248	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11955	1	绍布	1	1	-1	200	100	set:CJSH_NPC_touxiang_14 image:CJSH_NPC_touxiang_14_13	2030	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11956	1	陶如格	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_8	2730	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11957	1	珠兰其其格	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_11	2083	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11958	1	马	0	0	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2 _5	2246	10	0	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		景	
11959	1	苏哈	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_14	2131	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11960	1	卫兵队长	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_14	2515	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11961	1	马车	0	0	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_7	1018	10	0	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		景	
11962	1	护卫	1	1	-1	200	100	set:HAN2_Monster_touxiang_7 image:HAN2_Monster_touxiang_7_9	2645	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11963	1	护卫	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_14	2515	10	1	0	2000	1000									1		20	10000	10	0	0	0	0	0	0	0	1633	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11964	1	岱钦	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_12	3040	10	1	0	2000	1000									1		20	10000	10	0	0	0	0	0	0	0	1633	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11965	1	航新	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_7	2031	10	1	0	2000	1000									1		20	10000	10	0	0	0	0	0	0	0	1633	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11966	1	安童	1	1	-1	200	100	set:CJSH_NPC_touxiang_17 image:CJSH_NPC_touxiang_17_16	2029	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11967	1	王城御卫长	1	1	-1	200	100	set:CJSH_NPC_touxiang_7 image:CJSH_NPC_touxiang_7_9	2074	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11968	1	凯勒	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_13	2130	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11969	0	8级狼	1	1	-1	200	100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_9	4001	10	1	0	2000	1000									3		8	10000	1	22	10	0	0	0	0	0	86	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	2	100	-1		怪物	
11970	0	9级熊	1	1	-1	200	100	set:HAN2_Other_touxiang_5 image:HAN2_Other_touxiang_5_16	4031	10	1	0	2000	1000									3		7	10000	1	20	9	0	0	0	0	0	94	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	2	100	-1		怪物	
11971	0	6级草原狼	1	1	-1	200	100	set:HAN2_Other_touxiang_1 image:HAN2_Other_touxiang_1_14	4300	10	1	0	2000	1000									3		4	10000	1	11	6	0	0	0	0	0	70	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	1	100	-1		怪物	
11972	0	6级银狐	1	1	-1	200	100	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_3	4025	10	1	0	2000	1000									3		6	10000	1	17	8	0	0	0	0	0	70	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	2	100	-1		怪物	
11973	1	萨那才恩	1	1	-1	200	100	set:HAN2_Monster_touxiang_11 image:HAN2_Monster_touxiang_11_16	3304	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11974	1	新手马_黑_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2 _5	1099	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11975	1	新手马_白_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_16	1100	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11976	1	新手马_栗_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2 _10	1101	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11977	1	新手马_黄_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_1	1102	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11978	1	新手马_红_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_11	1103	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11979	1	新手马_青_01	1	1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_6	1104	10	0	0	1000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11980	1	武士之刀	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_2	2527	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11981	1	剑侠之剑	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_6	2531	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11982	1	火枪之枪	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_8	2533	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11983	1	骑射之弓	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_3	2528	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11984	1	萨满之槌	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_1	2526	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11985	1	先知之杖	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_9	2534	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11986	1	十字军之矛	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_7	2532	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11987	1	圣火使之令	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_4	2529	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11988	1	刺客之弩	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_11	2536	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11989	1	近卫军之铳	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_12	2537	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11990	1	僧侣之幡	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_10	2535	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11991	1	隐修士之圣十字	1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_5	2530	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11992	1	雄鹰长老	1	1	-1	200	100	set:CJSH_NPC_touxiang_13 image:CJSH_NPC_touxiang_13_7	4154	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11993	1	哈达	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_2	2503	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11994	1	苍狼长老	1	1	-1	200	100	set:CJSH_NPC_touxiang_13 image:CJSH_NPC_touxiang_13_8	4161	10	1	0	2000	1000									1		9	10000	1	25	9	0	0	0	0	0	161	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	0	-1	20	0	-1	-1	20	1	320	100	-1		怪物	
11995	1	雄鹰长老	1	1	-1	200	100	set:CJSH_NPC_touxiang_17 image:CJSH_NPC_touxiang_17_2	2423	10	1	0	2000	1000									1		9	10000	1	25	9	0	0	0	0	0	161	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	0	-1	20	0	-1	-1	20	1	2	100	-1		怪物	
11996	1	白鹿长老	1	1	-1	200	100	set:CJSH_NPC_touxiang_15 image:CJSH_NPC_touxiang_15_3	4162	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
11998	1	俄日和木	1	1	-1	200	100	set:CJSH_NPC_touxiang_24 image:CJSH_NPC_touxiang_24_8	2080	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
11999	1	格根	1	1	-1	200	100	set:CJSH_NPC_touxiang_2 image:CJSH_NPC_touxiang_2_12	2079	10	1	0	2000	1000									1		10	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		任务	
12000	1	智者哈达	1	1	-1	200	100	set:HAN2_Monster_touxiang_4 image:HAN2_Monster_touxiang_4_2	2503	10	1	0	2000	1000									1		9	10000	1	25	9	0	0	0	0	0	161	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	0	-1	20	0	-1	-1	20	1	320	100	-1		怪物	
#	12000-12499 天山王城（5张地图）																																																																					
12473	0	2级幼年狐狸	1	1	-1	200	100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_14	4024	10	1	0	2000	1000									3		2	10000	1	6	4	0	0	0	0	0	27	0	0	0	100	0	5	0	0	0	0	0	0	0	0	0		400	3600	3600	1	-1	0	-1	21	0	-1	-1	20	1	1	100	-1		怪物	
12474	1	牧场守卫长	1	1	-1	200	100	set:HAN2_Monster_touxiang_11 image:HAN2_Monster_touxiang_11_14	3307	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
12475	1	绍布	1	1	-1	200	100	set:CJSH_NPC_touxiang_14 image:CJSH_NPC_touxiang_14_13	2030	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
12476	1	陶如格	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_8	2730	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
12477	1	珠兰其其格	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_11	2083	10	1	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
12478	1	马	0	0	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2246	10	0	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		景	
12479	1	马车	0	0	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_7	1018	10	0	0	2000	1000									1		20	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		景	
12480	1	航新	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_7	2031	10	1	0	2000	1000									1		20	10000	10	0	0	0	0	0	0	0	1633	0	0	0	100	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
