INT	STRING	STRING	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
147	声望商店	声望锻造配方	1	4	1	0	0	0	100000	40	0	0	0	12221100	1	-1	600	100	12221101	1	-1	600	100	12221102	1	-1	600	100	12221103	1	-1	600	100	12221104	1	-1	600	100	12221105	1	-1	600	100	12221112	1	-1	600	100	12221113	1	-1	600	100	12221114	1	-1	600	100	12221115	1	-1	600	100	12221116	1	-1	600	100	12221117	1	-1	600	100	12221400	1	-1	4800	100	12221401	1	-1	4800	100	12221402	1	-1	4800	100	12221403	1	-1	4800	100	12221404	1	-1	4800	100	12221405	1	-1	4800	100	12221413	1	-1	4800	100	12221414	1	-1	4800	100	12221415	1	-1	4800	100	12221416	1	-1	4800	100	12221417	1	-1	4800	100	12221418	1	-1	4800	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
148	声望商店	声望铸甲配方	1	4	1	0	0	0	100000	40	0	0	0	12222100	1	-1	600	100	12222105	1	-1	600	100	12222110	1	-1	600	100	12222115	1	-1	600	100	12222120	1	-1	600	100	12222125	1	-1	600	100	12222201	1	-1	1200	100	12222301	1	-1	2400	100	12222400	1	-1	4800	100	12222405	1	-1	4800	100	12222410	1	-1	4800	100	12222415	1	-1	4800	100	12222420	1	-1	4800	100	12222425	1	-1	4800	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
149	声望商店	声望工艺配方	1	4	1	0	0	0	100000	40	0	0	0	12223200	1	-1	2400	100	12223300	1	-1	4800	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
151	银币商店	王城铸甲配方店	1	1	1	0	0	0	100000	40	0	0	0	12222000	1	-1	-1	100	12222001	1	-1	-1	100	12222002	1	-1	-1	100	12222003	1	-1	-1	100	12222004	1	-1	-1	100	12224017	1	-1	-1	100	12222103	1	-1	-1	100	12222104	1	-1	-1	100	12222108	1	-1	-1	100	12222109	1	-1	-1	100	12222113	1	-1	-1	100	12222114	1	-1	-1	100	12222118	1	-1	-1	100	12222119	1	-1	-1	100	12222123	1	-1	-1	100	12222124	1	-1	-1	100	12222128	1	-1	-1	100	12222129	1	-1	-1	100	12222202	1	-1	-1	100	12222204	1	-1	-1	100	12224018	1	-1	-1	100	12222302	1	-1	-1	100	12222304	1	-1	-1	100	12222403	1	-1	-1	100	12222404	1	-1	-1	100	12222408	1	-1	-1	100	12222409	1	-1	-1	100	12222413	1	-1	-1	100	12222414	1	-1	-1	100	12222418	1	-1	-1	100	12222419	1	-1	-1	100	12222423	1	-1	-1	100	12222424	1	-1	-1	100	12222428	1	-1	-1	100	12222429	1	-1	-1	100	12224019	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
152	银币商店	王城工艺配方店	1	1	1	0	0	0	100000	40	0	0	0	12223000	1	-1	-1	100	12223001	1	-1	-1	100	12224021	1	-1	-1	100	12223100	1	-1	-1	100	12223101	1	-1	-1	100	12223102	1	-1	-1	100	12223103	1	-1	-1	100	12223104	1	-1	-1	100	12223105	1	-1	-1	100	12223106	1	-1	-1	100	12224022	1	-1	-1	100	12223302	1	-1	-1	100	12223400	1	-1	-1	100	12223401	1	-1	-1	100	12223402	1	-1	-1	100	12223403	1	-1	-1	100	12223404	1	-1	-1	100	12223405	1	-1	-1	100	12224023	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
153	银币商店	王城锻造配方店	1	1	1	0	0	0	100000	40	0	0	0	12221000	1	-1	-1	100	12221001	1	-1	-1	100	12221002	1	-1	-1	100	12221003	1	-1	-1	100	12221004	1	-1	-1	100	12221005	1	-1	-1	100	12221006	1	-1	-1	100	12221007	1	-1	-1	100	12221008	1	-1	-1	100	12221009	1	-1	-1	100	12221010	1	-1	-1	100	12221011	1	-1	-1	100	12224013	1	-1	-1	100	12221200	1	-1	-1	100	12221201	1	-1	-1	100	12221202	1	-1	-1	100	12221203	1	-1	-1	100	12221204	1	-1	-1	100	12221205	1	-1	-1	100	12221206	1	-1	-1	100	12221207	1	-1	-1	100	12221208	1	-1	-1	100	12221209	1	-1	-1	100	12221210	1	-1	-1	100	12221211	1	-1	-1	100	12221212	1	-1	-1	100	12224014	1	-1	-1	100	12221300	1	-1	-1	100	12221301	1	-1	-1	100	12221302	1	-1	-1	100	12221303	1	-1	-1	100	12221304	1	-1	-1	100	12221305	1	-1	-1	100	12221306	1	-1	-1	100	12221307	1	-1	-1	100	12221308	1	-1	-1	100	12221309	1	-1	-1	100	12221310	1	-1	-1	100	12221311	1	-1	-1	100	12224015	1	-1	-1	100
154	银币商店	护身符商店	1	1	1	0	0	0	100000	40	0	0	0	12240001	1	-1	-1	100	10340006	1	-1	-1	100	10340007	1	-1	-1	100	10340008	1	-1	-1	100	12041100	1	-1	-1	100	11010014	1	-1	-1	100	11000501	1	-1	-1	100	12054301	1	-1	-1	100	11030635	1	-1	-1	100	11000544	1	-1	-1	100	11010120	1	-1	-1	100	11010122	1	-1	-1	100	11000550	1	-1	-1	100	12030043	1	-1	-1	100	11990015	1	-1	-1	100	11990016	1	-1	-1	100	12030213	1	-1	-1	100	12041102	1	-1	-1	100	11000103	1	-1	-1	100	11000130	1	-1	-1	100	11000131	1	-1	-1	100	11000132	1	-1	-1	100	11000133	1	-1	-1	100	12030204	1	-1	-1	100	12041108	1	-1	-1	100	19010003	1	-1	-1	100	12030001	1	-1	-1	100	12010023	1	-1	-1	100	12030201	1	-1	-1	100	11990400	1	-1	-1	100	11030640	1	-1	-1	100	11010121	1	-1	-1	100	11000598	1	-1	-1	100	11000120	1	-1	-1	100	11000800	1	-1	-1	100	11000110	1	-1	-1	100	11000111	1	-1	-1	100	11000100	1	-1	-1	100	11000101	1	-1	-1	100	11000102	1	-1	-1	100
####以下是	王城商店																																																																																																																																																																																																																				
155	帮贡商店	1级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	1	1	-1	500	100	2	1	-1	175	100	3	1	-1	175	100	4	1	-1	175	100	5	1	-1	350	100	25	1	-1	150	100	26	1	-1	150	100	27	1	-1	150	100	28	1	-1	150	100	29	1	-1	150	100	30	1	-1	150	100	77	1	-1	150	100	78	1	-1	150	100	79	1	-1	150	100	80	1	-1	150	100	81	1	-1	150	100	82	1	-1	150	100	31	1	-1	150	100	32	1	-1	150	100	33	1	-1	150	100	34	1	-1	150	100	35	1	-1	150	100	36	1	-1	150	100	83	1	-1	150	100	84	1	-1	150	100	85	1	-1	150	100	86	1	-1	150	100	87	1	-1	150	100	88	1	-1	150	100	37	1	-1	320	100	38	1	-1	180	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
156	帮贡商店	2级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	6	1	-1	1600	100	7	1	-1	700	100	8	1	-1	350	100	9	1	-1	350	100	10	1	-1	350	100	11	1	-1	700	100	12	1	-1	700	100	39	1	-1	220	100	40	1	-1	250	100	41	1	-1	250	100	42	1	-1	250	100	43	1	-1	250	100	44	1	-1	250	100	45	1	-1	250	100	89	1	-1	250	100	90	1	-1	250	100	91	1	-1	250	100	92	1	-1	250	100	93	1	-1	250	100	94	1	-1	250	100	46	1	-1	250	100	47	1	-1	250	100	48	1	-1	250	100	49	1	-1	250	100	50	1	-1	250	100	51	1	-1	250	100	95	1	-1	250	100	96	1	-1	250	100	97	1	-1	250	100	98	1	-1	250	100	99	1	-1	250	100	100	1	-1	250	100	52	1	-1	440	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
157	帮贡商店	3级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	13	1	-1	3600	100	14	1	-1	750	100	15	1	-1	750	100	16	1	-1	750	100	17	1	-1	750	100	18	1	-1	750	100	19	1	-1	750	100	20	1	-1	750	100	21	1	-1	1500	100	53	1	-1	300	100	54	1	-1	350	100	55	1	-1	350	100	56	1	-1	350	100	57	1	-1	350	100	58	1	-1	350	100	59	1	-1	350	100	101	1	-1	350	100	102	1	-1	350	100	103	1	-1	350	100	104	1	-1	350	100	105	1	-1	350	100	106	1	-1	350	100	60	1	-1	350	100	61	1	-1	350	100	62	1	-1	350	100	63	1	-1	350	100	64	1	-1	350	100	65	1	-1	350	100	107	1	-1	350	100	108	1	-1	350	100	109	1	-1	350	100	110	1	-1	350	100	111	1	-1	350	100	112	1	-1	350	100	66	1	-1	600	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
158	帮贡商店	4级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	22	1	-1	10000	100	23	1	-1	1500	100	67	1	-1	700	100	68	1	-1	1400	100	69	1	-1	900	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
159	帮贡商店	5级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	24	1	-1	18500	100	70	1	-1	1200	100	71	1	-1	1200	100	72	1	-1	1200	100	73	1	-1	1200	100	74	1	-1	2000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
160	荣誉商店	武士70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000020	1	-1	9000	100	14000021	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
161	荣誉商店	剑侠70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000126	1	-1	9000	100	14000127	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
162	荣誉商店	骑射70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000225	1	-1	9000	100	14000226	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
163	荣誉商店	火枪70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000326	1	-1	9000	100	14000327	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
164	荣誉商店	先知70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000429	1	-1	9000	100	14000430	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
165	荣誉商店	萨满70荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000527	1	-1	9000	100	14000528	1	-1	9000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
167	帮贡商店	6级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	75	1	-1	35000	100	113	1	-1	2500	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
168	帮贡商店	7级帮会商店	1	6	1	0	0	0	100000	40	0	0	0	76	1	-1	70000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
200	行脚商人的店铺	王城10，20级白装	1	1	1	0	0	0	100000	40	0	0	0	12010001	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
201	金币商店	转职道具金币商店	0	3	1	0	0	0	100000	40	0	0	0	12250001	1	-1	10000	100	11000599	1	-1	500	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
202	银币商店	国传灵魂印店	1	1	1	0	0	0	100000	40	0	0	0	11000302	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
203	银币商店	五耀之证商店	1	1	1	0	0	0	100000	40	0	0	0	12030027	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
####以下是	皇城商店																																																																																																																																																																																																																				
