INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING
296	1201	50	王国-[10级]王城中心广场	127.95	118	1119	1	25	x:0.2 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
297	1202	104	王国迷宫-[25级]迷宫一层	201.5	64	1119	1	25	x:0.2 y:0.55	0	-1	1492	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
298	1203	105	王国迷宫-[40级]迷宫二层	45	80	1119	1	25	x:0.3 y:0.6	0	-1	1493	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
299	1204	106	王国迷宫-[50级]迷宫三层	66	197	1119	1	25	x:0.4 y:0.65	0	-1	1494	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
300	1205	107	王国迷宫-[60级]迷宫四层	109	204	1119	1	25	x:0.5 y:0.6	0	-1	1495	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
301	1206	108	王国迷宫-[70级]迷宫五层	178	41	1119	1	25	x:0.6 y:0.7	0	-1	1496	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
302	1207	109	王国迷宫-[80级]迷宫六层	170	74	1119	1	25	x:0.7 y:0.4	0	-1	1497	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
303	1208	110	王国迷宫-[90级]迷宫七层	102	65	1119	1	25	x:0.75 y:0.5	0	-1	1498	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
304	1209	111	王国迷宫-[100级]迷宫八层	190	205	1119	1	25	x:0.7 y:0.6	0	-1	1499	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	111	190	205	王国迷宫-[100级]迷宫八层
305	203	187	王国-[1级]天山猎场	57	71	300	1	1	x:0.8 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
306	200	150	王国-[10级]王城中心广场	127.95	118	300	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
307	204	189	王国-[10级]天山马场	214.2	132.2	300	1	1	x:0.4 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
308	201	158	王国-[10级]天山外城	128	76	300	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
309	202	186	王国-[20级]天山古道	94	141.699997	300	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
310	203	187	王国-[1级]天山猎场	57	71	301	1	1	x:0.8 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	158	128	76	王城外城
311	200	150	王国-[10级]王城中心广场	127.95	118	301	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	158	128	76	王城外城
312	204	189	王国-[10级]天山马场	214.2	132.2	301	1	1	x:0.4 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	158	128	76	王城外城
313	201	158	王国-[10级]天山外城	128	76	301	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	158	128	76	王城外城
314	202	186	王国-[20级]天山古道	94	141.699997	301	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	158	128	76	王城外城
315	203	187	王国-[1级]天山猎场	57	71	302	1	1	x:0.8 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	186	94	141.699997	天山古道
316	200	150	王国-[10级]王城中心广场	127.95	118	302	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	186	94	141.699997	天山古道
317	204	189	王国-[10级]天山马场	214.2	132.2	302	1	1	x:0.4 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	186	94	141.699997	天山古道
318	201	158	王国-[10级]天山外城	128	76	302	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	186	94	141.699997	天山古道
319	202	186	王国-[20级]天山古道	94	141.699997	302	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	186	94	141.699997	天山古道
320	203	187	王国-[1级]天山猎场	57	71	303	1	1	x:0.8 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	187	57	71	天山猎场
321	200	150	王国-[10级]王城中心广场	127.95	118	303	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	187	57	71	天山猎场
322	204	189	王国-[10级]天山马场	214.2	132.2	303	1	1	x:0.4 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	187	57	71	天山猎场
323	201	158	王国-[10级]天山外城	128	76	303	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	187	57	71	天山猎场
324	202	186	王国-[20级]天山古道	94	141.699997	303	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	187	57	71	天山猎场
325	203	187	王国-[1级]天山猎场	57	71	304	1	1	x:0.8 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	189	214.2	132.2	天山马场
326	200	150	王国-[10级]王城中心广场	127.95	118	304	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	189	214.2	132.2	天山马场
327	204	189	王国-[10级]天山马场	214.2	132.2	304	1	1	x:0.4 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	189	214.2	132.2	天山马场
328	201	158	王国-[10级]天山外城	128	76	304	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	189	214.2	132.2	天山马场
329	202	186	王国-[20级]天山古道	94	141.699997	304	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	189	214.2	132.2	天山马场
330	211	0	大都-[40级]大都·中心城	126.8	173	305	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
331	216	0	大都-[40级]大都·崇天门	127	81	305	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
332	214	0	大都-[40级]大都·大相国寺	43	92	305	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
333	219	0	大都-[40级]大都·赵王府	210	76	305	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
334	215	38	大都-[40级]大都·西	157	135	305	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
335	212	37	大都-[40级]大都·东	128.5	123	305	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
336	213	36	大都-[40级]大都·南	128	98	305	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
337	217	2	大都-[40级]泰山	168	145	305	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
338	218	4	大都-[40级]太行山	144	38	305	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
339	211	0	大都-[40级]大都·中心城	126.8	173	306	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
340	216	0	大都-[40级]大都·崇天门	127	81	306	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
341	214	0	大都-[40级]大都·大相国寺	43	92	306	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
342	219	0	大都-[40级]大都·赵王府	210	76	306	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
343	215	38	大都-[40级]大都·西	157	135	306	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
344	212	37	大都-[40级]大都·东	128.5	123	306	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
345	213	36	大都-[40级]大都·南	128	98	306	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
346	217	2	大都-[40级]泰山	168	145	306	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[41级]大都·东
347	218	4	大都-[40级]太行山	144	38	306	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[42级]大都·东
348	211	0	大都-[40级]大都·中心城	126.8	173	307	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
349	216	0	大都-[40级]大都·崇天门	127	81	307	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
350	214	0	大都-[40级]大都·大相国寺	43	92	307	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
351	219	0	大都-[40级]大都·赵王府	210	76	307	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
352	215	38	大都-[40级]大都·西	157	135	307	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
353	212	37	大都-[40级]大都·东	128.5	123	307	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
354	213	36	大都-[40级]大都·南	128	98	307	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
355	217	2	大都-[40级]泰山	168	145	307	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
356	218	4	大都-[40级]太行山	144	38	307	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
357	220	150	王国-[10级]王城中心广场	127.95	118	322	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
358	221	198	王国草原-[10级]罕难河	141	56	322	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
359	222	199	王国草原-[15级]乞颜部	97	150	322	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
360	223	200	王国草原-[20级]塔塔尔	200	200	322	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
361	225	201	王国草原-[25级]克烈部	181	173	322	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
362	224	202	王国草原-[30级]乃蛮部	80	131	322	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城
363	226	203	王国草原-[35级]居庸关外	133	127	322	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	150	127.95	118	王城
364	220	150	王国-[10级]王城中心广场	127.95	118	323	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	198	141	56	蒙古罕难河
365	221	198	王国草原-[10级]罕难河	141	56	323	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	198	141	56	蒙古罕难河
366	222	199	王国草原-[15级]乞颜部	97	150	323	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	198	141	56	蒙古罕难河
367	223	200	王国草原-[20级]塔塔尔	200	200	323	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	198	141	56	蒙古罕难河
368	225	201	王国草原-[25级]克烈部	181	173	323	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	198	141	56	蒙古罕难河
369	224	202	王国草原-[30级]乃蛮部	80	131	323	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	198	141	56	蒙古罕难河
370	226	203	王国草原-[35级]居庸关外	133	127	323	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	198	141	56	蒙古罕难河
371	220	150	王国-[10级]王城中心广场	127.95	118	324	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	199	97	150	蒙古乞颜部
372	221	198	王国草原-[10级]罕难河	141	56	324	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	199	97	150	蒙古乞颜部
373	222	199	王国草原-[15级]乞颜部	97	150	324	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	199	97	150	蒙古乞颜部
374	223	200	王国草原-[20级]塔塔尔	200	200	324	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	199	97	150	蒙古乞颜部
375	225	201	王国草原-[25级]克烈部	181	173	324	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	199	97	150	蒙古乞颜部
376	224	202	王国草原-[30级]乃蛮部	80	131	324	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	199	97	150	蒙古乞颜部
377	226	203	王国草原-[35级]居庸关外	133	127	324	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	199	97	150	蒙古乞颜部
378	231	15	大都-[40级]威海怒威号	177.399994	135.300003	325	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
379	232	26	领地-[110级]对马岛	100	100	325	1	999	x:0.6 y:0.4	2300	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
380	233	33	领地-[130级]婆罗洲	100	100	325	1	999	x:0.5 y:0.8	2900	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
381	231	15	大都-[40级]威海怒威号	177.399994	135.300003	326	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
382	232	26	领地-[110级]对马岛	100	100	326	1	1	x:0.5 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
383	231	15	大都-[40级]威海怒威号	177.399994	135.300003	327	1	1	x:0.2 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	33	100	100	婆罗洲
384	233	33	领地-[130级]婆罗洲	100	100	327	1	1	x:0.9 y:0.6	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	33	100	100	婆罗洲
385	241	150	王国-[10级]王城中心广场	127.95	118	328	1	1	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
386	242	0	大都-[40级]大都·中心城	126.8	173	328	1	1	x:0.7 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	150	127.95	118	王城-中心广场
387	241	150	王国-[10级]王城中心广场	127.95	118	329	1	1	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
388	242	0	大都-[40级]大都·中心城	126.8	173	329	1	1	x:0.7 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
389	211	0	大都-[40级]大都·中心城	126.8	173	330	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[41级]大都·西
390	216	0	大都-[40级]大都·崇天门	127	81	330	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[42级]大都·西
391	214	0	大都-[40级]大都·大相国寺	43	92	330	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[43级]大都·西
392	219	0	大都-[40级]大都·赵王府	210	76	330	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[44级]大都·西
393	215	38	大都-[40级]大都·西	157	135	330	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
394	212	37	大都-[40级]大都·东	128.5	123	330	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
395	213	36	大都-[40级]大都·南	128	98	330	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
396	217	2	大都-[40级]泰山	168	145	330	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
397	218	4	大都-[40级]太行山	144	38	330	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
398	220	150	王国-[10级]王城中心广场	127.95	118	331	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	200	200	200	王国草原-塔塔尔
399	221	198	王国草原-[10级]罕难河	141	56	331	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	200	200	200	王国草原-塔塔尔
400	222	199	王国草原-[15级]乞颜部	97	150	331	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	200	200	200	王国草原-塔塔尔
401	223	200	王国草原-[20级]塔塔尔	200	200	331	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	200	200	200	王国草原-塔塔尔
402	225	201	王国草原-[25级]克烈部	181	173	331	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	200	200	200	王国草原-塔塔尔
403	224	202	王国草原-[30级]乃蛮部	80	131	331	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	200	200	200	王国草原-塔塔尔
404	226	203	王国草原-[35级]居庸关外	133	127	331	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	200	200	200	王国草原-塔塔尔
405	220	150	王国-[10级]王城中心广场	127.95	118	332	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	202	80	131	王国草原-乃蛮部
406	221	198	王国草原-[10级]罕难河	141	56	332	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	202	80	131	王国草原-乃蛮部
407	222	199	王国草原-[15级]乞颜部	97	150	332	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	202	80	131	王国草原-乃蛮部
408	223	200	王国草原-[20级]塔塔尔	200	200	332	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	202	80	131	王国草原-乃蛮部
409	225	201	王国草原-[25级]克烈部	181	173	332	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	202	80	131	王国草原-乃蛮部
410	224	202	王国草原-[30级]乃蛮部	80	131	332	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	202	80	131	王国草原-乃蛮部
411	226	203	王国草原-[35级]居庸关外	133	127	332	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	202	80	131	王国草原-乃蛮部
412	220	150	王国-[10级]王城中心广场	127.95	118	333	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	201	181	173	王国草原-克列部
413	221	198	王国草原-[10级]罕难河	141	56	333	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	201	181	173	王国草原-克列部
414	222	199	王国草原-[15级]乞颜部	97	150	333	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	201	181	173	王国草原-克列部
415	223	200	王国草原-[20级]塔塔尔	200	200	333	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	201	181	173	王国草原-克列部
416	225	201	王国草原-[25级]克烈部	181	173	333	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	201	181	173	王国草原-克列部
417	224	202	王国草原-[30级]乃蛮部	80	131	333	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	201	181	173	王国草原-克列部
418	226	203	王国草原-[35级]居庸关外	133	127	333	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	201	181	173	王国草原-克列部
419	220	150	王国-[10级]王城中心广场	127.95	118	334	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	203	133	127	居庸关外
420	221	198	王国草原-[10级]罕难河	141	56	334	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	203	133	127	居庸关外
421	222	199	王国草原-[15级]乞颜部	97	150	334	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	203	133	127	居庸关外
422	223	200	王国草原-[20级]塔塔尔	200	200	334	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	203	133	127	居庸关外
