INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	FLOAT	INT	STRING	STRING	INT	INT	CNC	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	FLOAT
513	4	暴击增强	先知技能	被动技能#r#cF9BA11永久增加暴击1点|被动技能#r#cF9BA11永久增加暴击2点|被动技能#r#cF9BA11永久增加暴击3点|被动技能#r#cF9BA11永久增加暴击4点|被动技能#r#cF9BA11永久增加暴击5点|被动技能#r#cF9BA11永久增加暴击6点|被动技能#r#cF9BA11永久增加暴击7点|被动技能#r#cF9BA11永久增加暴击8点|被动技能#r#cF9BA11永久增加暴击9点|被动技能#r#cF9BA11永久增加暴击15点|		CJSH_skill_player_2_10	0	10	-1	-1	-1	-1	-1	0	0	0	0	1	0	3	13		-1	0	0	1	2	2	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|	1	0	0	0	0	|生效一次的附加效果1	5131|5132|5133|5134|5135|5136|5137|5138|5139|5140|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	-1	0	-1	-1	1	-1	360	1	-1	0	0	0	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
514	4	魔攻增强	先知技能	被动技能#r#cF9BA11永久增加基础魔攻10%|被动技能#r#cF9BA11永久增加基础魔攻20%|被动技能#r#cF9BA11永久增加基础魔攻30%|被动技能#r#cF9BA11永久增加基础魔攻40%|被动技能#r#cF9BA11永久增加基础魔攻50%|被动技能#r#cF9BA11永久增加基础魔攻60%|被动技能#r#cF9BA11永久增加基础魔攻70%|被动技能#r#cF9BA11永久增加基础魔攻80%|被动技能#r#cF9BA11永久增加基础魔攻90%|被动技能#r#cF9BA11永久增加基础魔攻100%|		CJSH_skill_player_4_16	0	10	-1	-1	-1	-1	-1	0	0	0	0	1	0	3	14		-1	0	0	1	2	2	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|	1	0	0	0	0	|生效一次的附加效果1	5141|5142|5143|5144|5145|5146|5147|5148|5149|5150|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	-1	0	-1	-1	1	-1	360	1	-1	0	0	0	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
515	4	闪避增强	先知技能	被动技能#r#cF9BA11永久增加闪避1点|被动技能#r#cF9BA11永久增加闪避2点|被动技能#r#cF9BA11永久增加闪避3点|被动技能#r#cF9BA11永久增加闪避4点|被动技能#r#cF9BA11永久增加闪避5点|被动技能#r#cF9BA11永久增加闪避6点|被动技能#r#cF9BA11永久增加闪避7点|被动技能#r#cF9BA11永久增加闪避8点|被动技能#r#cF9BA11永久增加闪避9点|被动技能#r#cF9BA11永久增加闪避10点|		CJSH_skill_player_5_1	0	10	-1	-1	-1	-1	-1	0	0	0	0	1	0	3	15		-1	0	0	1	2	2	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|	1	0	0	0	0	|生效一次的附加效果1	5151|5152|5153|5154|5155|5156|5157|5158|5159|5160|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	-1	0	-1	-1	1	-1	360	1	-1	0	0	0	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
516	-2	法之惩戒子技能	先知技能	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放		Ability_Food_226	0	10	800|800|800|800|800|800|800|800|800|800|	-1	-1	-1	-1	0	0	0	0	1	0	2	16		-1	0	0	0	1	-1	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	-1	0	0	15	0	|生效一次的附加效果1	5201|5202|5203|5204|5205|5206|5207|5208|5209|5210|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	999	-1	1	-1	360	1	-1	0	300	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
517	-2	冰甲术减速	先知技能	消耗魔攻值4#r#cF9BA11对目标造成160%魔攻伤害，如果目标被禁锢则产生3倍伤害|消耗魔攻值4#r#cF9BA11对目标造成170%魔攻伤害，如果目标被禁锢则产生3倍伤害|消耗魔攻值4#r#cF9BA11对目标造成180%魔攻伤害，如果目标被禁锢则产生3倍伤害|消耗魔攻值4#r#cF9BA11对目标造成190%魔攻伤害，如果目标被禁锢则产生3倍伤害|消耗魔攻值4#r#cF9BA11对目标造成200%魔攻伤害，如果目标被禁锢则产生3倍伤害|		Ability_Food_261	0	10	800|800|800|800|800|800|800|800|800|800|	-1	-1	-1	-1	0	1	1	0	1	0	2	17		-1	0	0	0	1	-1	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	-1	0	0	0	0	|生效一次的附加效果1	5231|5232|5233|5234|5235|5236|5237|5238|5239|5240|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	999	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
518	-2	驱散	先知技能	消耗怒气值25#r#cF9BA11生命上限增加30%，持续1分钟，每2秒回复生命5%，持续10秒|消耗怒气值25#r#cF9BA11生命上限增加35%，持续1分钟，每2秒回复生命10%，持续10秒|消耗怒气值25#r#cF9BA11生命上限增加40%，持续1分钟，每2秒回复生命15%，持续10秒|消耗怒气值25#r#cF9BA11生命上限增加45%，持续1分钟，每2秒回复生命20%，持续10秒|消耗怒气值25#r#cF9BA11生命上限增加50%，持续1分钟，每2秒回复生命25%，持续10秒|		Ability_Food_216	0	10	800|800|800|800|800|800|800|800|800|800|	-1	-1	-1	-1	0	0	0	0	1	0	2	254		-1	0	0	0	0	-1	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|	1	0	0	0	-1	|生效一次的附加效果1	5241|5241|5241|5241|5241|5241|5241|5241|5241|5241|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	-1	0	999	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
519	-2	天之惩戒子技能	先知技能	#cF9BA11对目标造成120%魔攻伤害，同时令目标燃烧，每秒产生6点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成140%魔攻伤害，同时令目标燃烧，每秒产生12点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成160%魔攻伤害，同时令目标燃烧，每秒产生18点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成180%魔攻伤害，同时令目标燃烧，每秒产生24点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成200%魔攻伤害，同时令目标燃烧，每秒产生30点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成220%魔攻伤害，同时令目标燃烧，每秒产生36点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成240%魔攻伤害，同时令目标燃烧，每秒产生42点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成260%魔攻伤害，同时令目标燃烧，每秒产生48点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成280%魔攻伤害，同时令目标燃烧，每秒产生54点伤害持续6秒，自身伤害计算10%|#cF9BA11对目标造成300%魔攻伤害，同时令目标燃烧，每秒产生60点伤害持续6秒，自身伤害计算10%|		CJSH_skill_xianzhi_1_2	0	10	800|800|800|800|800|800|800|800|800|800|	-1	-1	-1	-1	1	1	1	0	1	0	2	18		-1	0	0	0	1	0	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	-1	0	0	0	1	|生效一次的附加效果1	5191|5192|5193|5194|5195|5196|5197|5198|5199|5200|	-1	-1			0	-1		16	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	1	-1	0	300	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
#	萨满技能	#	分隔符	#	#	#	#	5	#	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#|#|#|#|#|#|#|#|#|#|	#	#	#	#	#	#	#VALUE!	-1	#		#	#	-1	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	#	800	#	-1	#	-1	#	#	#	#	#	#	#	0	#	#	#	5	100	#	-1	#	#	#	#	#VALUE!	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#				-1
#	萨满技能	#	分隔符	#	#	#	#	5	#	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#|#|#|#|#|#|#|#|#|#|	#	#	#	#	#	#	6041|6042|6043|6044|6045|6046|6047|6048|6049|6050|	-1	#		#	#	-1	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	#	800	#	-1	#	-1	#	#	#	#	#	#	#	0	#	#	#	5	100	#	-1	#	#	#	#	#VALUE!	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#				-1
#	萨满技能	#	分隔符	#	#	#	#	5	300000|300000|300000|300000|300000|300000|300000|300000|300000|300000|	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#|#|#|#|#|#|#|#|#|#|	#	#	#	#	#	#	#VALUE!	-1	#		#	#	-1	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	#	800	#	-1	#	-1	#	#	#	#	#	#	#	0	#	#	#	5	100	#	-1	#	#	#	#	#VALUE!	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#				-1
#	萨满技能	#	分隔符	#	#	#	#	5	#	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#|#|#|#|#|#|#|#|#|#|	#	#	#	#	#	#	#VALUE!	-1	#		#	#	-1	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	#	800	#	-1	#	-1	#	#	#	#	#	#	#	0	#	#	#	5	100	#	-1	#	#	#	#	#VALUE!	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#				-1
601	5	烈犬之舞	萨满技能	#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在1只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在2只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在2只，技能级别越高，召唤兽能力越强|#cF9BA11召唤猎狗为你作战，召唤兽最多可共同存在2只，技能级别越高，召唤兽能力越强|		CJSH_skill_player_5_2	0	10	30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|	10000|10000|10000|10000|10000|10000|10000|10000|10000|10000	-1	-1	-1	0	1	1	0	1	0	0	1	132	126	0	0	0	0	3	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|	1	0	0	0	0	|生效一次的附加效果1	6011|6012|6013|6014|6015|6016|6017|6018|6019|6020|	-1	-1			11	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	0	800	0	-1	0	999	-1	1	-1	360	1	-1	0	0	0	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	1	10	100	-1
602	5	黑鸦蛊惑	萨满技能	#cF9BA11每2秒对目标造成自身魔攻比率10%的伤害，目标魔防计算比率6%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率15%的伤害，目标魔防计算比率9%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率20%的伤害，目标魔防计算比率12%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率25%的伤害，目标魔防计算比率15%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率30%的伤害，目标魔防计算比率18%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率35%的伤害，目标魔防计算比率21%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率40%的伤害，目标魔防计算比率24%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率45%的伤害，目标魔防计算比率27%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率50%的伤害，目标魔防计算比率30%，持续20秒|#cF9BA11每2秒对目标造成自身魔攻比率55%的伤害，目标魔防计算比率33%，持续20秒|		CJSH_skill_player_5_3	0	10	5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|	-1	-1	52	-40	1	1	1	0	1	0	2	2		123	0	0	0	1	0	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	-1	0	0	0	1	|生效一次的附加效果1	6021|6022|6023|6024|6025|6026|6027|6028|6029|6030|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
604	5	小巫医术	萨满技能	#cF9BA11治疗目标250点生命值，自身魔攻计算比率120%|#cF9BA11治疗目标300点生命值，自身魔攻计算比率140%|#cF9BA11治疗目标350点生命值，自身魔攻计算比率160%|#cF9BA11治疗目标400点生命值，自身魔攻计算比率180%|#cF9BA11治疗目标450点生命值，自身魔攻计算比率200%|#cF9BA11治疗目标500点生命值，自身魔攻计算比率220%|#cF9BA11治疗目标550点生命值，自身魔攻计算比率240%|#cF9BA11治疗目标600点生命值，自身魔攻计算比率260%|#cF9BA11治疗目标650点生命值，自身魔攻计算比率280%|#cF9BA11治疗目标700点生命值，自身魔攻计算比率300%|		CJSH_skill_player_5_4	0	10	800|800|800|800|800|800|800|800|800|800|	2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|	-1	50	-10	1	1	1	0	1	0	0	3	134	129	0	0	0	1	1	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	1	0	0	0	0	|生效一次的附加效果1	6041|6042|6043|6044|6045|6046|6047|6048|6049|6050|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	-1	0	999	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	10527|10505	20|25	1	10	100	-1
605	5	火凤之舞	萨满技能	#cF9BA11对自身周围半径8米内最多6个目标造成200%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成220%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成240%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成260%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成280%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成300%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成320%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成340%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成360%魔攻伤害|#cF9BA11对自身周围半径8米内最多6个目标造成380%魔攻伤害|		CJSH_skill_player_5_5	0	10	30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|	-1	-1	100	20	1	1	1	0	1	0	2	4		125	0	0	0	0	0	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0	-1	0	0	8	1	|生效一次的附加效果1	6051|6052|6053|6054|6055|6056|6057|6058|6059|6060|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	300	0	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	1	10	100	-1
606	5	回春之光	萨满技能	#cF9BA11回春效果，每3秒回复72点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复96点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复120点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复144点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复168点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复192点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复216点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复240点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复264点生命值，持续15秒，自身魔攻影响30%|#cF9BA11回春效果，每3秒回复288点生命值，持续15秒，自身魔攻影响30%|		CJSH_skill_player_5_6	0	10	800|800|800|800|800|800|800|800|800|800|	-1	-1	50	-10	0	1	1	0	1	0	2	5		124	0	0	0	1	1	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	1	0	0	0	0	|生效一次的附加效果1	6121|6122|6123|6124|6125|6126|6127|6128|6129|6130|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	-1	0	999	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
609	5	白蟒蛊惑	萨满技能	#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续2秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续2.5秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续3秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续3.5秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续4秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续4.5秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续5秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续5.5秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续6秒|#cF9BA11对自身周围半径6米内最多6个目标附加恐惧效果，持续6.5秒|		CJSH_skill_player_5_7	0	10	60000|60000|60000|60000|60000|60000|60000|60000|60000|60000|	-1	-1	100	20	0	1	1	0	1	0	2	6		121	0	0	0	0	0	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0	-1	0	0	6	0	|生效一次的附加效果1	6091|6092|6093|6094|6095|6096|6097|6098|6099|6100|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	1	-1	0	999	-1	1	-1	360	6	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
610	5	冥神附体	萨满技能	#cF9BA11对自身周围半径12米内最多6个队友增加体质21点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质38点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质55点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质72点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质89点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质106点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质123点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质140点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质157点，持续20分钟|#cF9BA11对自身周围半径12米内最多6个队友增加体质174点，持续20分钟|		CJSH_skill_player_5_8	0	10	30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|	-1	-1	0	0	0	1	1	0	1	0	2	7		131	0	0	0	0	1	0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0	1	0	0	12	0	|生效一次的附加效果1	6101|6102|6103|6104|6105|6106|6107|6108|6109|6110|	-1	-1			0	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	0	-1	1	999	-1	1	-1	360	9	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
611	5	大巫医术	萨满技能	#cF9BA11瞬间回复目标基础生命上限100%生命值|#cF9BA11瞬间回复目标基础生命上限200%生命值|#cF9BA11瞬间回复目标基础生命上限300%生命值|#cF9BA11瞬间回复目标基础生命上限400%生命值|#cF9BA11瞬间回复目标基础生命上限500%生命值|#cF9BA11瞬间回复目标基础生命上限600%生命值|#cF9BA11瞬间回复目标基础生命上限700%生命值|#cF9BA11瞬间回复目标基础生命上限800%生命值|#cF9BA11瞬间回复目标基础生命上限900%生命值|#cF9BA11瞬间回复目标基础生命上限1000%生命值|		CJSH_skill_player_5_9	0	10	90000|90000|90000|90000|90000|90000|90000|90000|90000|90000|	-1	-1	100	20	1	1	1	0	1	0	2	8		122	0	0	0	1	1	0|0|0|0|0|0|0|0|0|0	16|16|16|16|16|16|16|16|16|16|	1	0	0	0	0	|生效一次的附加效果1	6111|6112|6113|6114|6115|6116|6117|6118|6119|6120|	-1	-1			0	-1		18	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	3	0	999	-1	1	-1	360	1	-1	0	0	1	0	0	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1
