INT	INT	STRING	STRING	STRING	STRING	STRING
803	0	“安乐窝”这个词中“窝”原指？	狗窝	鸟巢	牛栏	人的住宅
804	0	我们常说的“耳边风”在原出处里是指什么？	春风	秋风	台风	西北风
805	0	世界上第一部长动画片是？	《白雪公主和七个小矮人》	《米老鼠和唐老鸭》	《葫芦娃》	《大闹天宫》
806	0	欧洲历史上有一个不仅是著名画家、也是杰出科学家，他是？	达芬奇	毕加索	米开朗琪罗	拉斐尔
807	0	现代第一届夏季奥运会在哪举行？	罗马	雅典	悉尼	东京
808	0	第27届奥运会中，我国在奖牌大国中位居第几位？	一	二	三	四
809	0	冬季奥运会共举办过多少届？	12	14	16	18
810	0	在2000年第27届奥运会上中国获得了哪一个项目历史上的第一块金牌？	女子团体体操	女子团体排球	男子团体体操	男子团体排球
811	0	国际奥委会最高领导人任期为几年？	4	6	8	10
812	0	自1894年起共有多少人被受任为奥委会主席？	4	7	10	12
813	0	连续获得三届奥运会冠军的中国运动员是哪一位？	伏明霞	刘翔	邓亚萍	郭晶晶
814	0	古代第一届奥林匹克运动会是哪一年举行的？	公元前773年	公元前774年	公元前775年	公元前776年
815	0	至今为止共举办了多少届夏季伤残人奥运会？	9	10	11	12
816	0	苏伊士运河是那个国家的？	中国	美国	日本	埃及
817	0	以下能从月球上看到的建筑物有？	万里长城	厕所	公园	学校
818	0	北伐前锋“独立团”的领导人是谁？	胡汉三	叶挺	小明	王小二
819	0	甲骨文是写在什么上面的？	龟骨	贝壳	石头	人骨
820	0	以“无字碑”名扬天下的是谁？	武则天	秦始皇	岳飞	张飞
821	0	“玄武”是什么东西？	龟	麻雀	公鸡	狗
822	0	“朱雀”是什么东西？	小鸡	凤凰	狮子	猫
823	0	“青龙”是什么东西？	鱼	虾	龙	螃蟹
824	0	“白虎”是什么东西？	豹	乌鸦	老鼠	虎
825	0	世界上最长的山脉是？	安第斯山	长白山	黄山	武夷山
826	0	加拿大的领土面积在世界上排第几位?	第一	第二	第三	第四
827	0	李寻欢在考试中考了第几名？	第三	第一	第一百	第十
828	0	最轻的金属是什么？	锂	镉	镍	铁
829	0	在九大行星中，被称为最小最冷的是哪颗？	土星	彗星	流星	冥王星
830	0	司马迁受腐刑是在哪个皇帝统治下？	蒋介石	汉武帝	秦始皇	小泉
831	0	哪个国家有“千湖国”的称号呢？	美国	非洲	芬兰	中国
832	0	东帝汶的首都在？	帝力	北京	上海	广岛
833	0	东南亚著名的矿产是？	金和银	锡和石油	酱油和醋	花生和油
834	0	伊斯兰会议召开于哪一年？	1999	2008	1900	1971
835	0	塔里木盆地中心生长着那种树被誉为我国的“沙漠英雄”？	杨树	胡杨	柳树	杏树
836	0	哪种行为会给人类生存带来一系列危害，例如导致水土流失、导致大气条件恶化、导致物种绝灭。	垃圾清洁处理	植树造林 	滥砍乱伐森林	白色污染
837	0	世界上最小的花是？	樱桃	无花果	海棠	石榴
838	0	森林有哪三大效益？	环境、社会、经济	环境、科学、经济	科学、自然 、经济	科学、社会、经济
839	0	藏羚羊是国家一级保护动物，是哪里特有的动物？	青藏高原 	新疆 	青海	香格里拉
840	0	全国统一的环境问题举报免费热线电话是？	12530	110	12369	119
841	0	下列哪种树被誉为“三个一千年”是指:生而不死一千年，死而不倒一千年，倒而不朽一千年？	柳树	杨树	胡杨林	云杉
842	0	世界四大洋中面积最小的是？	太平洋	大西洋	印度洋 	北冰洋
843	0	下列旅游景点中，属于我国自然风光旅游资源的是？	长江三峡	北京故宫	秦陵兵马俑	万里长城
844	0	“飞流直下三千尺，疑是银河落九天”出自谁的诗句？	李清照	杜甫	李白	杜牧
845	0	下列各旅游景点中不属于世界文化遗产的是？	长城	平遥古城	龙门石窟	杭州西湖
846	0	我国四大名砚之冠是哪一个？	端砚	歙砚	洮砚	澄泥砚
847	0	欧洲最长的河流是？	伏尔加河	莱茵河	多瑙河	顿河
848	0	少林寺位于五岳中的哪一岳？	东岳	西岳	中岳	南岳
849	0	"《西游记》中的""火焰山""位于我国的哪个地方？"	天津	新疆 	北京	青海
850	0	世界上流经国家最多的河流是？	多瑙河	尼罗河	莱茵河	亚马逊河
851	0	玫瑰是哪个国家的象征？	日本	挪威	丹麦	英国
852	0	哪一个不属于四大名茶之一？	西湖龙井	云南普洱茶	洞庭碧螺春	黄山毛峰
853	0	世界上最大的宫殿是？	故宫	白宫	爱丽舍宫	克里姆林宫
854	0	中国面积最大的省份是哪一个？	四川	新疆	山西	河北
855	0	我国第一大岛是？	台湾岛	济州岛	崇明岛	舟山群岛
856	0	山东山西的“山”是指？	云蒙山	太行山	沂蒙山	香山
857	0	泼水节是我国哪个少数民族的传统节日？	彝族	回族	壮族	傣族
858	0	奥运五环中蓝色代表哪个大洲？	亚洲	欧洲	非洲	美洲
859	0	咖啡的故乡是哪里？	亚洲	美洲	大洋洲	非洲
860	0	世界上最长的运河是哪一条？	中国京杭大运河	苏伊士运河	巴拿马运河	多瑙运河
861	0	奥运五环中黑色代表哪个大洲？	亚洲	欧洲	非洲	美洲
862	0	下列哪个国家一般不准女性在生人面前露面？	沙特阿拉伯	印度	越南	孟加拉
863	0	"许多国家的人都有属相,其中有一个国家与我国基本相同,只是以猫代兔,这个国家是？"	日本	越南	德国	法国
864	0	下列少数民族中哪个民族不忌吃猪肉？	满族	哈萨克族	回族	乌孜别克族
865	0	我国少数民族中人口最多的是？	壮族	彝族	傣族	苗族
866	0	下列国家中哪一个国家的人口还不够一亿人？	印度	印尼	朝鲜	巴西
867	0	我国古代著名书院白鹿洞书院位于？	湖南长沙	江西庐山	湖南衡阳 	河南商丘
868	0	下列世界奇迹哪个位于埃及？	空中花园	金字塔	宙斯神像	太阳神像
869	0	我国卫星火箭发射基地“西昌”位于？	西藏	新疆	四川	青海
870	0	我国有一个专门进行核试验的“原子城”，它位于？	新疆	河北	青海	四川 
871	0	我国第一座国家森林公园是？	武夷山	长白山	张家界	九寨沟
872	0	我国最大的佛像是哪一座？	潼南金佛	屏山大佛	荣成大佛	乐山大佛
873	0	奥运五环中黄色代表哪个大洲？	亚洲	欧洲	非洲	美洲
874	0	下列五岳中哪座称为东岳？	泰山	嵩山	华山	衡山 
875	0	下列著名宫殿哪个位于英国？	凡尔赛宫	白金汉宫	故宫	克里姆林宫
876	0	下列哪一个城市不是我国的“三大火炉”之一？	重庆	河北	武汉	南京
877	0	下列哪个国家被称为“袋鼠之国”？	索马里	新西兰	澳大利亚	肯尼亚
878	0	世界最大的内陆国是？	阿富汗 	哈萨克斯坦	瑞士	阿拉伯
879	0	“鲁”是我国哪个省份的简称？	河北	吉林	山东	山西
880	0	“山城”是我国哪座城市的雅号？	洛阳	西安	重庆	福州
881	0	石头城是对我国哪座城市的美称？	南昌	南京	拉萨	西安
882	0	下列我国名茶中哪一种是产于杭州西湖？	龙井	碧螺春	武夷岩茶	铁观音 
883	0	下列哪一个湖泊是在我国江西省的境内？	洞庭湖	鄱阳湖	太湖	洪泽湖
884	0	自由女神像位于哪个国家？	埃及	美国	法国	德国
885	0	“晋”是我国哪个省份的简称？	吉林	山东	山西	上海
886	0	下列海洋中哪一个是我国最大的海？	南海	北海	红海	黑海 
887	0	世界上海拔最高的山峰是哪一座？	乔戈里峰	珠穆朗玛峰 	干城章嘉峰	公格尔山峰
888	0	世界四大洋中面积最小的是？	太平洋 	大西洋	印度洋	北冰洋
889	0	“沪”是我国哪个省份的简称？	吉林	山东	山西	上海
890	0	当长江发生特大洪水时，下列城市受威胁最大的是？	重庆	郑州 	武汉	杭州
891	0	下列哪一个不属于中国六大古都？	北京	广州	洛阳	开封
892	0	下面哪座山是中国佛教四大名山之一？	百花山	云蒙山	峨眉山	香山
893	0	"下列城市中,不属于严重缺水的城市是？"	北京	西安	深圳	九江
894	0	马拉松赛跑中的“马拉松”一词是指？	食物	药物	地名	语言
895	0	著名的水利工程都江堰建造者是？	李冰	李冰冰	詹天佑	袁世凯
896	0	世界贸易组织的英文缩写是什么？	UN	WTO	OPEC	ASEAN
897	0	以下几条河流中，哪条河流入印度洋？	黄河	珠江	长江	雅鲁藏布江
898	0	盐度最低的海是？	死海	波罗的海 	红海	地中海
899	0	地球表层由大气圈、水圈、生物圈和什么组成？	臭氧	岩石圈	地壳	地幔
900	0	我国重点治理的“三湖”是指？	鄱阳湖、滇池和博斯腾湖	太湖、滇池和巢湖	鄱阳湖、洞庭湖、太湖	滇池、洞庭湖、太湖
901	0	在下列东欧诸国中，哪一国家地势低平，四周多强邻，因而在过去两百多年中，疆界多变，并屡遭瓜分？	奥地利	捷克	匈牙利	波兰
902	0	夏威夷是属于哪个国家管辖？	加拿大	美国	冰岛	丹麦
903	0	下列哪一个不属于五岳？	泰山	衡山	华山	百花山
904	0	我国第一大淡水湖是？	洞庭湖	鄱阳湖	巢湖	洪泽湖
905	0	世界上森林覆盖率最高的国家？	日本	加拿大	芬兰	巴西
906	0	地跨两大洲，首都在西半球的是？	埃及	俄罗斯	美国	土耳其
907	0	巴西人最喜爱的一种舞蹈是？	华尔兹	桑巴	探戈	踢踏
908	0	沙暴的形成条件是？	强风、沙源	沙源、风暴 	强风、沙源、不稳定大气	沙源、不稳定大气
909	0	噪声是哪种病的祸根？	高血压	心绞痛	中风	脑血栓
910	0	下列物质能够对臭氧层产生破坏的是？	碳化物	硫化物	氟化物	氯化物
911	0	“白山黑水”中“黑水”是指哪条江河？	潮白河	长江	黑龙江	松花江
912	0	“五岳”中的南岳指？	泰山	衡山	黄山	嵩山
913	0	下列哪一个不属于中国四大名关？	山海关	上海海关	玉门关	嘉峪关
914	0	菠萝在哪里生长？	树上	地下	地上	水里
915	0	在中国六大古都中论建都时间最久的是？	天津	上海 	四川	西安
916	0	世界上最大的稀土矿在我国的？	西藏	新疆	内蒙 	青海
917	0	以积雪和洋川融水补给的河流，影响其流量大小最重要的因素是？	气温	季节	气候	降水量
918	0	国鸟是公鸡的国家是？	法国	西班牙	美国	朝鲜
919	0	第一个实施三权分立的国家是？ 	英国	法国	美国	德国
920	0	下列哪一个不属于中国三大古楼？	岳阳楼	黄鹤楼	鼓楼	滕王阁
921	0	哪一个不属于中国五大名山？	黄山	庐山	峨眉山	小汤山
922	0	“飞流直下三千尺，疑是银河落九天”描述的是哪里的风光？	黄果树	庐山	泰山	黄山
923	0	被称为“国际会议之都”的城市是？	日内瓦	北京	南京	东京
924	0	变脸是哪个剧种的绝活？	豫剧	黄梅戏	川剧	二人转
925	0	草莓在哪里生长？	树上	地底	地上	水里
926	0	9、10月，大马哈鱼逆流游到黑龙江是为了什么？	产卵	找吃的	旅游	运动
927	0	下列半岛哪个以出产石油著称？	亚平宁半岛	山东半岛	阿拉伯半岛	半岛电视台
928	0	秦始皇陵在现在的哪座城市被发现的？	南昌	怀化	绵阳	西安
929	0	我国古迹龙门石窟位于哪个城市？	洛阳	沈阳	安阳	朝阳
930	0	许多人都喜欢到低于海平面410公尺的死海去做日光浴是因为？	周围风光好	水产丰富	紫外线最弱	居民热情
931	0	四大名茶之一的龙井茶产地是？	浙江杭州 	江苏南京	湖北武汉	湖南长沙
932	0	七大洲中面积最小的是？	亚洲	欧洲	大洋洲	南极洲
933	0	世界上最大的冰川在哪个洲？	亚洲	欧洲	大洋洲	南极洲
934	0	双喜临门是我国哪个省市的名字？	西安	南昌	重庆	天津
935	0	为什么会发生月食？	天狗吃月	月亮转到了地球阴影里	月亮消失了	月亮被太阳挡住了
936	0	大气中起吸收紫外线，保护地球生命作用的是哪种成分？	臭氧	氢	氮	氟
937	0	安哥拉兔由何得名？	形状	饮食	原产地	发现它的人
938	0	大象被哪个国家视为国宝？	越南	柬埔寨	荷兰	泰国
939	0	"人们管美国叫""山姆大叔""的原因？"	简写相同	美国人显老	叫山姆的人先来到美国	为纪念名人山姆
940	0	世界上最大最贵的钻石藏在哪里？	北京故宫	克里姆林宫	水晶宫	英国王室
941	0	黄山在我国的什么省份？	河南	湖南	四川	安徽
942	0	美国自由女神像位于哪里？	加州	纽约	旧金山	休斯顿
943	0	百慕大三角海区引人关注的原因是什么？	风景秀丽	海产丰富	发生种种神秘事故	港口众多
944	0	下列不属于行星的是？	海王星	流星	火星	水星
945	0	狮身人面像是哪个国家的景观？	印度	越南	埃及	老挝
946	0	埃菲尔铁塔是哪个国家的建筑？	英国	德国	法国	美国
947	0	比萨斜塔是哪个国家的建筑？	意大利	德国	法国	美国
948	0	巴黎圣母院是哪个国家的建筑？	意大利	德国	法国	美国
949	0	柏林大教堂是哪个国家的建筑？	意大利	德国	法国	美国
950	0	中国民间的“冬九九”是从哪一天开始的？	清明	小满	芒种	冬至
951	0	西班牙的首都是哪里？	巴西利亚	马德里	瓦伦西亚	塞维利亚
952	0	以下哪里是大熊猫的产地？	北京	天津	上海	甘肃
953	0	“五台山”是中国佛教四大名山之一，它位于哪个省？	山西	浙江	四川	安徽
954	0	不属于汉族四大节日之一的是？	春节	清明节	泼水节	中秋节
955	0	以下哪个节日是纪念屈原的？	春节	泼水节	端午节	清明节
956	0	下列哪个是蒙古族的节日？	那达慕大会	泼水节	端午节	芦笙节
957	0	下列哪个是彝族的节日？	春节	火把节	端午节	泼水节
958	0	元宵节又被称为什么节？	粽子节	灯节	火把节	赛马节
959	0	下列哪个景点不属于四川？	都江堰	黄龙	九寨沟	布达拉宫
960	0	下列哪个景点不属于云南？	西双版纳	香格里拉	丽江	故宫
961	0	下列哪个瓜不能吃？	冬瓜	西瓜	南瓜	傻瓜
962	0	北京奥运会的会徽名称是什么？	天、地、人	祥云	中国印·舞动的北京	心心相印
963	0	奥林匹克运动的格言是什么？	更快、更高、更强	友谊、团结、公平竞争	天、地、人 	敢于胜利、不断超越
964	0	北京奥运会的开幕时间是什么时候？	2008.8.4	2008.8.8	2008.8.1	2008.8.24
965	0	中国最珍稀的动物是什么？	清官	大熊猫	东北虎	黑猩猩
966	0	下列著名宫殿哪个位于英国？	故宫 	凡尔赛宫	白金汉宫	克里姆林宫
967	0	下列著名建筑物哪个不属于法国？	凯旋门	比萨斜塔	埃菲尔铁塔	卢浮宫
968	0	最大的群岛国家是？	中国	法国	印尼	美国
969	0	世界石油储量（出产、输出）最多地区是？	中东	西欧	东亚	南美
970	0	世界面积最大的国家是？	中国	法国	俄罗斯	美国
971	0	世界上使用人数最多的语言是哪一种？	汉语	希伯来语	西班牙语	英语
972	0	世界拥有牛数量最多的国家是？	美国 	日本	韩国	印度
973	0	世界上面积最大的半岛是？	阿拉伯半岛	胶东半岛	亚平宁半岛	半岛铁盒
974	0	世界上出产黄金最多的国家是？	日本	南非	中国	美国
975	0	世界上工业发展最早的国家是？	中国	越南	日本	英国
976	0	中国的首都是？	北京	南京	东京	台北
977	0	亚洲耕地面积最大的国家是？	中国	日本	印度	韩国
978	0	“海的女儿”是哪个城市的城徽？	卢森堡	斯德哥尔摩	哥本哈根	赤峰
979	0	称为“数学之神”的科学家是？	阿基米德	鲁迅	冼星海	普京
980	0	产生海水潮汐的主要原因是？	地震	月球引力	飓风	太阳
981	0	天文学是研究什么的科学？	天体	星系	数学	物理
982	0	面临江上大风大雨时，吴六奇唱的是哪一出戏？	红灯记	大西厢	沉江	老鼠爱大米
983	0	“杀龟大会”的“龟”是指？	巴西龟	王八	海龟	吴三桂
984	0	被誉为“风车之国”是哪个国家？	日本	荷兰	中国	瑞典
985	0	千佛坛是哪个国家的？	日本	印尼	西班牙	法国
986	0	青海湖蒙古语为“库库诺尔”，意为？	青色的海	蓝色的天	绿色的树	红色的衣服
987	0	三星堆位于哪里？	天津	四川	北京	韩国
988	0	世界最重要的IT高科技产业基地硅谷位于美国的哪个州？	加利弗尼亚州	宾夕法尼亚州	卡罗来纳州	加州
989	0	云冈石窟位于我国哪个省？	武汉	河北	北京	山西
990	0	为了表演的需要，芭蕾鞋的鞋尖内塞有一小块什么？	铁块	塑料	钉子	木头
991	0	俄罗斯议会“杜马”在俄文中原意是？	思维	钱	扯皮	游戏
992	0	唐卡是什么文化中一种著名的表现形式？	回族	藏族	傣族	满族
993	0	世界上最大的洋是？	太平洋	印度洋	北冰洋	大西洋
994	0	“卧薪尝胆”讲的是谁的故事？	邯郸姬	勾践	秦始皇	张学友
995	0	孔子在家里的排名是？	老大	老二	独生子女	老六
996	0	“枪杆子里出政权”是谁提出的？	毛泽东	邓小平	蒋介石	李大钊
997	0	白求恩是哪国人？	加拿大	新西兰	美国	西班牙
998	0	荷兰的官方语言是？	法语	荷兰语	汉语	希伯来语
999	0	琥珀属于什么物质？	无机物	有机塑料	有机宝石 	化学合成物
1000	0	世界上第一颗人造卫星是？	长江七号	东方红号	斯普特尼克号	和平号
1001	0	“回眸一笑百媚生”是指哪个美女？	秋香	杨贵妃	芙蓉姐姐	东施
1002	0	美国微软公司的总部设在？	美国西部	欧洲东部	中国南部	欧洲西部
1003	0	现存世界上最早的钞币是？	美元	清代的铜钱	元代的中统钞	人民币
1004	0	以“无字碑”名扬天下的是？	潘金莲	杨贵妃	孟获	武则天
1005	0	瑞士首都是？	苏黎世	苏轼离	洛桑	苏东坡
1006	0	约旦的首都是哪里？	阿迪	阿曼	阿甘	阿拉蕾
1007	0	地球的血是什么？	岩浆	雨水	露珠	小溪
1008	0	世界上会发光的动物叫什么？	大马猴	蜥蜴	电鳗	响尾蛇
1009	0	法国的首都是哪里？	东京	巴黎	巴拿马	加州
1010	0	鸟类的祖先是什么鸟？	古鸟	始祖鸟	鸭嘴兽	凤凰
1011	0	下列哪条河不属于中国？	莱茵河	黄河	松花江	长江
1012	0	下列哪座山不属于中国？	嵩山	泰山	衡山	富士山
1013	0	下列哪座山是日本第一高峰？	珠穆朗玛峰	富士山	百花山	黄山
1014	0	柏林是哪个国家的首都？	美国	法国	德国	日本
1015	0	西班牙的首都是哪里？	东京	柏林	马德里	瑞士
1016	0	哪个国家的军刀闻名世界？	法国	瑞士	瑞典	西伯利亚
1017	0	以下哪座城市被称为“泉城”？	上海	广州	天津	济南
1018	0	《三国演义》中的“凤雏”是谁？	诸葛亮	周瑜	孙策	庞统
1019	0	近来被人们津津乐道的以长度单位为名称的技术叫做什么？	纳米技术	微米技术	毫米技术	分米技术
1020	0	世界上被称为水上世界的城市是哪里？	香格里拉	威尼斯	夏威夷	冰岛
1021	0	为什么先看见闪电后听到雷声？	眼睛长在前面，耳朵长在后面	闪电亮雷声小	光波在空气中的传播速度比声速快 	耳朵被堵住了
1022	0	汤圆是在哪个节日吃的？	中秋节	元宵节	春节	重阳节
1023	0	过桥米线源自哪里？	云南	陕西	四川	湖北
1024	0	中国第一位登上太空的宇航员是谁？	杨伟名	杨利伟	杨立明	杨明为
1025	0	陆游是哪个朝代的爱国诗人？	元朝	明朝	清朝	宋朝
1026	0	以下哪个不属于树的器官？	泥土	叶	茎	根
1027	0	大理三塔位于哪个地方？	广东	广西	云南	山东
1028	0	歇后语：小葱拌豆腐的后句是什么？	好吃	一清二白	节节高	摸不着头脑
1029	0	亚马逊河位于哪里？	美国	巴西	爱尔兰	法国
1030	0	姚明效力于NBA的哪支球队？	湖人	爵士	火箭	森林狼
1031	0	清政府被迫与英国侵略者签订的第一个不平等条约是什么？	马关条约	辛丑条约	南京条约	瑗辉条约
1032	0	在北方城市道路两旁，冬季常看到树干被刷成了白色，这是为什么？	美化城市	整齐划一	保暖	防虫杀菌
1033	0	下列属于鸟类特征的是？	会飞	体表有毛	嘴尖	身体表面覆盖着羽毛
1034	0	谁最擅长画马？	张大千	徐悲鸿	齐白石	郑板桥
1035	0	齐白石最擅长画什么？	虾	鱼	花	树
1036	0	伦敦是哪里的首都？	日本	泰国	英国	巴西
1037	0	首尔是哪里是首都？	日本	泰国	英国	韩国
1038	0	汶川地震的汶川位于哪个省？	四川	重庆	江西	陕西
1039	0	我国的国土面积是多少万平方公里？	450	960	780	1520
1040	0	有“热带大陆”之称的是？	大洋洲	非洲	南极洲	欧洲 
1041	0	在分层设色地形图上，蓝色一般表示什么？	山地	高原	平原	海洋
1042	0	宫保鸡丁属于哪个菜系的菜别？	鲁菜	徽菜	川菜	湘菜
1043	0	下列不属于八大菜系的是？	鲁菜	越南菜	川菜	湘菜
1044	0	武术起源在哪个国家？	中国	印度 	泰国	越南
1045	0	少林寺在我国哪个省市？	河南	西安	四川	天津
1046	0	茶叶分为绿茶、红茶、乌龙茶依据是什么？	颜色	制作工艺	产地	生长环境
1047	0	我们常吃的菠菜属于什么类蔬菜？	叶菜类	茄果类	瓜菜类	水生菜类
1048	0	我们常吃的辣椒属于什么类蔬菜？	叶菜类	茄果类	瓜菜类	水生菜类
1049	0	我们常吃的黄瓜属于什么类蔬菜？	叶菜类	茄果类	瓜菜类	水生菜类
1050	0	下列哪个是形容英国国旗？	米字旗	星条旗	黑红黄	五星旗
1051	0	下列哪个是形容美国国旗？	米字旗	星条旗	黑红黄	五星旗
1052	0	经常食用哪种食物容易引起铅中毒？	土豆	酸菜鱼	松花蛋	竹笋
1053	0	下列我国哪个估计被称谓“世界第八大奇迹”？	万里长城	乐山大佛	秦始皇兵马俑	故宫
1054	0	下列著名建筑物哪个不属于法国？	凯旋门	金字塔	埃菲尔铁塔	卢浮宫
1055	0	安徒生童话《海的女儿》里，小美人鱼变成人是为了见到谁？	渔夫	皇后	王子	公主
1056	0	神话《白蛇传》中“白娘娘盗仙草”盗的是什么？	灵芝	冬虫夏草	人参	断肠草
1057	0	神话《白蛇传》中白娘子被法海困在了哪里？	雷峰塔	观音庙	少室山	情人谷
1058	0	神话《白蛇传》中白娘子水淹的是哪座寺庙？	少林寺	广济寺	白马寺	金山寺
1059	0	在“夸父逐日”中，“夸父”是怎样追逐太阳的？	驾车	骑马	奔跑	飞行
1060	0	京剧中，饰演性格活泼、开朗的青年女性的应是什么？	老生	花旦	花脸	小生
1061	0	下列哪个是著名画家达·芬奇所画的肖像画作品？	蒙娜丽莎	帮厨女工	道林·格雷的肖像画	阿尔诺芬尼夫妇像
1062	0	谁发明的蒸汽机？	瓦特	冼星海	王昌龄	李清照
1063	0	《最后的晚餐》是谁的著名画作？	达芬奇	梵高	马萨乔	弗洛伊德
1064	0	"酒精灯点燃后,最合理的熄灭方法是？"	直接用嘴吹灭	将灯帽盖上	撒上一层细沙	往酒精灯上浇水
1065	0	下列哪个概念不符合温带沙漠环境特征？	日温差大	水源丰富	植物根长叶小	年降雨量少
1066	0	在下列四种感觉中，哪一种感觉所接受的信息约占全部感觉所接受的信息总和的80％？	听觉	味觉	视觉	嗅觉
1067	0	乘坐两排轮子的大型客车，坐在哪里最颠簸？	车头处	车尾处	车中部	都一样
1068	0	联合国的总部位于哪里？	英国伦敦	中国北京	瑞士日内瓦	美国纽约
1069	0	中国在世界上不属于？	联合国成员国	发达国家	发展中国家	世界贸易组织成员国
1070	0	下列有关学习地理的方法，不正确的是？	学会看地图	只要记忆无需理解	学会欣赏大自然	学会收集地理信息
1071	0	中国正式对香港恢复行使主权是？	1996.7.1	1997.7.1	1998.7.1	1999.7.1
1072	0	为中国在奥运会历史上夺的了第一枚金牌的著名运动员是谁？	陈静开	许海峰	李宁	容国团
1073	0	著名高校剑桥大学是在哪个国家？	美国	日本	英国	中国
1074	0	表示一句话中间的停顿要用什么标点符号？	逗号	句号	叹号	分号
1075	0	水上芭蕾又称为？	自由泳	跳水	花样游泳	水球
1076	0	马头琴是我国哪一民族的拉弦乐器？	傣族	彝族	蒙古族	壮族
1077	0	俗称“四不象”的动物是？	羚羊	骡子	麋鹿	狐猴
1078	0	奥林匹克运动会的发源地是哪里？	罗马	古巴比伦	古代中国	古希腊
1079	0	下列哪一个口号不属于奥运会的口号？	更高	更快	更好	更强
1080	0	著名的二胡曲《二泉映月》的作者是谁？	刘天华	冼星海	聂耳	阿炳
1081	0	徐志摩、胡适等作家是属于哪一个文学流派的？	江湖派	崆峒派	新月派	武当派
1082	0	1932年第一个参加奥运会的中国人是谁？	刘长春	邓亚萍	王义夫	李宁
1083	0	下列京剧脸谱中能表现关羽特征的是？	黑色脸谱	白色脸谱	绿色脸谱	红色脸谱
1084	0	以下哪七种颜色是彩虹的颜色？	红、橙、黄、绿、青、黑、紫	红、橙、黄、绿、青、蓝、紫	红、橙、黄、绿、青、白、紫	红、橙、黄、绿、青、白、粉
1085	0	奥运五环由哪几种颜色组成？	红 绿 黑 蓝 黄	白 黑 蓝 黄 紫	白 黑 蓝 紫  绿	蓝 紫  绿 红 橙
1086	0	中国画从范围分为几类？	人物 花鸟 鱼虫	人物 山水 鱼虫	山水 花鸟 鱼虫	人物 山水 花鸟
1087	0	哈夫拉金字塔前的哪座雕像是古埃及最大、最古老的室外雕刻巨像？	书吏凯伊	狮身人面像	老村长像	拉荷切普王子像
1088	0	著名的卢浮宫博物馆在哪里？	法国	德国	英国	美国 
1089	0	《巴黎圣母院》的作者是哪国人？	法国	德国	英国	美国 
1090	0	“芊芊”代表的是一种什么颜色？	紫色	灰色	浓绿色	白色
1091	0	世界上有几个大洋？	3	4	5	6
1092	0	我国一共有多少个民族？	44	38	56	72
1093	0	世界第一高峰珠穆朗玛峰大约有多高？	13000米	3200米	1200米	8848米
1094	0	一年中一共有几个季节？	3	4	5	6
1095	0	圆明园曾经遭谁破坏洗劫？	盟军	英法联军	纳粹	苏联
1096	0	我国哪条河被称为“母亲河”？	长江 	松花江	黄河	清河
1097	0	下列哪一个不属于我国四大直辖市之一？	北京	天津	上海	吉林
1098	0	澳大利亚的首都是哪里？	大阪	加州	堪培拉	伦敦
1099	0	奥地利的首都是哪里？	大阪	维也纳	巴黎	伦敦
1100	0	加拿大的首都是哪里？	大阪	纽约	巴黎	渥太华
1101	0	“其实地上本没有路，走的人多了，也便成了路。”这句话出自谁的文章？	老舍	鲁迅	冰心	朱自清
1102	0	小说《骆驼祥子》的作者是？	老舍	鲁迅	冰心	朱自清
1103	0	《茶馆》的作者是？	老舍	鲁迅	冰心	朱自清
1104	0	“昙花一现”是“现”在什么时候？	早晨	中午	下午	晚上
1105	0	“岁寒三友”分别指哪三种植物？	松树 桃 梅花	桃 杏 李	松树 竹子 梅花	桃 李 竹子
1106	0	列宁是哪国人？	法国	俄国	印度	西班牙
1107	0	美国的首都是哪里？	巴黎	汉堡	华盛顿	东京
1108	0	日本的首都是哪里？	巴黎	汉堡	纽约	东京
1109	0	法国的首都是哪里？	巴黎	汉堡	纽约	东京
1110	0	四川地震的震中在哪里？	成都	汶川	绵阳	九寨沟
1111	0	我国哪个城市被称为“冰城”？	四川	天津	哈尔滨	河北
1112	0	上海的简称是什么？	鲁 	京	沪	豫
1113	0	哪个国家是世界上人口最多的国家？	意大利	印尼	中国	西班牙
1114	0	泰国的首都是哪里？	曼谷	东京	大阪	巴黎
1115	0	荷兰的首都是哪里？	曼谷	东京	大阪	阿姆斯特丹
1116	0	下列城市中不属于日本的是？	大阪	东京	横滨	曼谷
1117	0	下列城市中不属于美国的是？	丹佛	洛杉矶	曼谷	加州
1118	0	下列城市中不属于英国的是？	伦敦	横滨	布莱克本	爱丁堡
1119	0	戛纳电影节在哪国举办？	法国	意大利	美国	英国
1120	0	加拿大的国树是什么？	银杏	枫树	桃树	柏树
1121	0	美国第一任总统是谁？	乔治华盛顿	克林顿	布什	亚当斯
1122	0	既是法国最大的王宫建筑，又是世界上最著名的艺术殿堂的是？	卢浮宫	枫丹白露宫	乾清宫	故宫
1123	0	著名散文集《背影》出自哪个作家？	老舍	鲁迅	朱自清	冰心
1124	0	朱自清的哪篇文章被编入初中语文课本？	背影	儿女	桨声灯影里的秦淮河	毁灭
1125	0	下列哪部作品不是鲁迅创作的？	祝福	阿Q正传	小桔灯	孔乙己
1126	0	“横眉冷对千夫指，俯首甘为孺子牛”出自谁的诗篇？	老舍	鲁迅	李大钊	朱自清
1127	0	顺着东西方向环绕地球一周的线是什么？	子线	经线	纬线	午线
