98	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
99	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
100	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
101	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
102	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
103	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
104	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
105	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
106	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
107	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
108	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
109	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
110	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
111	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
112	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
113	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
114	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
115	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
116	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
117	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
118	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
119	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
120	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
121	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
122	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
123	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
124	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
125	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
126	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
127	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
128	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
129	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
130	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
131	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
132	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
133	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
134	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
135	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
136	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
137	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
138	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
139	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
140	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
141	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
142	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
143	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
144	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
145	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
146	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
147	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
148	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
149	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
150	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
151	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
152	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
153	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
154	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
155	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
156	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
157	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
158	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
159	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
160	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
161	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
162	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
163	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
164	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
165	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
166	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
167	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
168	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
169	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
170	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
171	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
172	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
173	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
174	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
175	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
176	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
177	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
178	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
179	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
180	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
181	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
182	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
183	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
184	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
185	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
186	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
187	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
188	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
189	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
190	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
191	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
192	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
193	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
194	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
195	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
196	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
197	6	420	11010116	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010116	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
