INT	INT	INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT
174	237	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
175	238	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
176	238	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
177	239	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
178	239	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
179	240	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180	240	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
181	240	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	241	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
183	241	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
184	241	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
185	241	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
186	242	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
187	242	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
188	242	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	243	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
190	243	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
191	243	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
192	243	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
193	244	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
194	244	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
195	244	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
196	245	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
197	245	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
198	245	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
199	246	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	14108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
200	246	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	246	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
202	246	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
203	246	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
204	247	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
205	247	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
206	247	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
207	247	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
208	248	-1	Combat	-1	20	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	2003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
209	248	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
210	248	-1	Combat	-1	3	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	58	2	-1	-1	-1	-1	-1	-1	-1	-1	-1
211	249	-1	Combat	-1	-1	20	-1	-1	-1	-1	1	BehaviorStateToSkill	3004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
212	249	-1	-1	OnDamage	-1	20	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
213	249	-1	Combat	-1	-1	70	-1	-1	-1	-1	1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
214	249	-1	Combat	-1	-1	70	-1	-1	-1	-1	2	BehaviorStateToSkill	3004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
215	249	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
216	249	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	4015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
217	249	-1	Combat	-1	-1	-1	-1	-1	-1	-1	2	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
218	249	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
219	250	-1	Combat	-1	-1	10	-1	-1	-1	-1	2	BehaviorStateToSkill	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
220	250	-1	Combat	-1	-1	25	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
221	250	-1	Approach	-1	-1	25	-1	-1	-1	-1	1	BehaviorStateToSpeak	63	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
222	250	-1	Combat	-1	-1	50	-1	-1	-1	-1	2	BehaviorStateToSkill	2000	-1	-1	BehaviorStateToFlee	0	-1	-1	-1	-1	-1	-1
223	250	-1	Combat	-1	-1	60	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
224	250	-1	Combat	-1	-1	80	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
225	250	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
226	250	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
227	250	-1	Approach	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	62	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
228	251	-1	Combat	-1	2	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
229	251	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	251	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	55	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
231	252	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	3002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
232	252	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
233	252	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
234	252	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
235	252	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	56	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
236	253	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
237	253	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	3005	-1	-1	BehaviorStateToSpeak	57	1	-1	-1	-1	-1	-1
238	253	-1	Combat	-1	15	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
239	253	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
240	254	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	4008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
241	254	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
242	254	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	3005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
243	254	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
244	255	-1	Combat	-1	-1	5	-1	-1	-1	-1	-1	BehaviorStateToSkill	2104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
245	255	-1	Combat	-1	-1	35	-1	-1	-1	-1	-1	BehaviorStateToSkill	2204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
246	255	-1	Combat	-1	-1	65	-1	-1	-1	-1	-1	BehaviorStateToSkill	2104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
247	255	-1	Combat	-1	-1	95	-1	-1	-1	-1	-1	BehaviorStateToSkill	2204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
248	255	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
249	256	-1	Combat	-1	-1	5	-1	-1	-1	-1	-1	BehaviorStateToSkill	2104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	256	-1	Combat	-1	-1	15	-1	-1	-1	-1	-1	BehaviorStateToSkill	2300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
251	256	-1	Combat	-1	-1	65	-1	-1	-1	-1	-1	BehaviorStateToSkill	2104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	256	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
253	300	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
254	301	-1	Combat	-1	-1	25	-1	-1	-1	-1	-1	BehaviorStateToSkill	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
255	301	-1	Combat	-1	-1	25	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
256	301	-1	Combat	-1	-1	25	-1	-1	-1	-1	1	BehaviorStateToSpeak	63	1		-1	-1	-1	-1	-1	-1	-1	-1
257	301	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	3003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
258	301	-1	Combat	-1	-1	60	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
259	301	-1	Combat	-1	-1	80	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
260	301	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	9201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
261	301	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
262	302	-1	Combat	-1	-1	10	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
263	302	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	4010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
264	302	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	3005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
265	302	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	2005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
266	302	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
267	302	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
268	302	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
269	303	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
270	303	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	3002	-1	-1	BehaviorStateToSpeak	72	1	-1	-1	-1	-1	-1
271	303	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
272	303	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
273	303	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
274	399	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	9000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
275	400	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	4016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
276	400	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
277	401	-1	Combat	-1	-1	5	-1	-1	-1	-1	1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
278	401	-1	Combat	-1	-1	30	-1	-1	-1	-1	4	BehaviorStateToSkill	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
279	401	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
280	401	-1	Combat	-1	-1	50	-1	-1	-1	-1	9	BehaviorStateToSkill	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
281	401	-1	Combat	-1	-1	65	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
282	401	-1	Combat	-1	-1	95	-1	-1	-1	-1	-1	BehaviorStateToSkill	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
283	401	-1	Combat	-1	-1	95	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
284	402	-1	Combat	-1	-1	5	-1	-1	-1	-1	1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
285	402	-1	Combat	-1	-1	15	-1	-1	-1	-1	6	BehaviorStateToSkill	1006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
286	402	-1	Combat	-1	-1	45	-1	-1	-1	-1	-1	BehaviorStateToSkill	1006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
287	402	-1	Combat	-1	-1	55	-1	-1	-1	-1	5	BehaviorStateToSkill	2003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
288	402	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	1006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
289	402	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
290	403	-1	Combat	-1	-1	25	-1	-1	-1	-1	2	BehaviorStateToSkill	2004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
291	403	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	1002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
292	403	-1	Combat	-1	-1	65	-1	-1	-1	-1	2	BehaviorStateToSkill	4005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
293	403	-1	Combat	-1	-1	90	-1	-1	-1	-1	10	BehaviorStateToSkill	1002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
294	403	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	903	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
295	404	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	4011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
296	404	-1	Combat	-1	-1	40	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
297	404	-1	Combat	-1	-1	45	-1	-1	-1	-1	1	BehaviorStateToSkill	4008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
298	404	-1	Combat	-1	-1	60	-1	-1	-1	-1	2	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
299	404	-1	Combat	-1	-1	95	-1	-1	-1	-1	5	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
300	404	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
301	405	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	7000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
302	405	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	4010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
303	405	-1	Combat	-1	-1	95	-1	-1	-1	-1	1	BehaviorStateToSkill	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
304	405	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
305	406	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	4007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
306	406	-1	Combat	-1	-1	40	-1	-1	-1	-1	-1	BehaviorStateToSkill	1015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
307	406	-1	Combat	-1	-1	70	-1	-1	-1	-1	1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
308	406	-1	Combat	-1	-1	95	-1	-1	-1	-1	1	BehaviorStateToSkill	1012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
309	406	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSkill	905	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
310	407	-1	Combat	-1	-1	9	-1	-1	-1	-1	1	BehaviorStateToSkill	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
311	407	-1	Combat	-1	-1	39	-1	-1	-1	-1	1	BehaviorStateToSkill	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
312	407	-1	Combat	-1	-1	59	-1	-1	-1	-1	1	BehaviorStateToSkill	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
313	407	-1	Combat	-1	-1	79	-1	-1	-1	-1	1	BehaviorStateToSkill	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
314	407	-1	Combat	-1	-1	99	-1	-1	-1	-1	1	BehaviorStateToSkill	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
315	407	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
316	408	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	2300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
317	408	-1	Combat	-1	-1	20	-1	-1	-1	-1	1	BehaviorStateToSkill	2300	-1	-1	BehaviorStateToSpeak	124	1	-1	-1	-1	-1	-1
318	408	-1	Combat	-1	-1	30	-1	-1	-1	-1	1	BehaviorStateToSkill	2104	-1	-1	BehaviorStateToSpeak	124	1	-1	-1	-1	-1	-1
319	408	-1	Combat	-1	-1	40	-1	-1	-1	-1	1	BehaviorStateToSkill	2104	-1	-1	BehaviorStateToSpeak	123	1	-1	-1	-1	-1	-1
320	408	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	2104	-1	-1	BehaviorStateToSpeak	122	1	-1	-1	-1	-1	-1
321	408	-1	Combat	-1	-1	60	-1	-1	-1	-1	1	BehaviorStateToSkill	2300	-1	-1	BehaviorStateToSpeak	124	1	-1	-1	-1	-1	-1
322	408	-1	Combat	-1	-1	70	-1	-1	-1	-1	1	BehaviorStateToSkill	2300	-1	-1	BehaviorStateToSpeak	123	1	-1	-1	-1	-1	-1
323	408	-1	Combat	-1	-1	80	-1	-1	-1	-1	1	BehaviorStateToSkill	2104	-1	-1	BehaviorStateToSpeak	122	1	-1	-1	-1	-1	-1
324	408	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
325	409	-1	Combat	-1	-1	5	-1	-1	-1	-1	1	BehaviorStateToSkill	2104	-1	-1	BehaviorStateToSpeak	128	1	-1	-1	-1	-1	-1
326	409	-1	Combat	-1	-1	15	-1	-1	-1	-1	1	BehaviorStateToSkill	2103	-1	-1	BehaviorStateToSpeak	127	1	-1	-1	-1	-1	-1
327	409	-1	Combat	-1	-1	35	-1	-1	-1	-1	1	BehaviorStateToSkill	2204	-1	-1	BehaviorStateToSpeak	126	1	-1	-1	-1	-1	-1
328	409	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	2102	-1	-1	BehaviorStateToSpeak	125	1	-1	-1	-1	-1	-1
329	409	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
330	410	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2264	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
331	410	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2291	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
332	410	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
333	500	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
334	500	-1	Combat	-1	5	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
335	500	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
336	501	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
337	501	-1	Combat	-1	5	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
338	501	-1	Combat	-1	5	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
339	501	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
340	502	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
341	502	-1	Combat	-1	3	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2544	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
342	502	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
343	503	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
344	503	-1	Combat	-1	-1	20	-1	-1	-1	-1	1	BehaviorStateToSkill	3004	-1	-1	BehaviorStateToSpeak	102	1	-1	-1	-1	-1	-1
345	503	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	3004	-1	-1	BehaviorStateToSpeak	102	1	-1	-1	-1	-1	-1
346	503	-1	Combat	-1	-1	80	-1	-1	-1	-1	1	BehaviorStateToSkill	3004	-1	-1	BehaviorStateToSpeak	102	1	-1	-1	-1	-1	-1
347	503	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	2104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
