INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
108	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
109	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
110	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
111	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
112	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
113	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
114	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
115	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
116	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
117	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
118	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
119	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
120	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
121	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
122	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
123	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
124	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
125	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
126	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
127	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
128	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
129	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
130	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
131	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
132	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
133	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
134	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
135	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
136	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
137	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
138	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
139	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
140	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
141	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
142	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
143	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
144	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
145	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
146	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
147	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
148	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
149	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
150	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
151	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
152	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
153	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
154	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
155	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
156	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
157	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
158	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
159	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
160	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
