INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
4550	700022	10	1272	25	29	Ðé¿Õ¹Ö_07		55469	-1			0	9	962	1	14	1	0	2	0	0	0
4551	700022	11	1273	25	29	Ðé¿Õ¹Ö_08		55497	-1			0	9	962	1	14	1	0	2	0	0	0
4552	700022	13	1274	25	29	Ðé¿Õ¹Ö_09		55525	-1			0	9	962	1	14	1	0	2	0	0	0
4553	700022	14	1275	25	29	Ðé¿Õ¹Ö_10		55553	-1			0	9	962	1	14	1	0	2	0	0	0
4554	700022	16	1276	25	29	Ðé¿Õ¹Ö_11		55581	-1			0	9	962	1	14	1	0	2	0	0	0
4555	700022	17	1277	25	29	Ðé¿Õ¹Ö_12		55609	-1			0	9	962	1	14	1	0	2	0	0	0
4556	700022	19	1278	25	29	Ðé¿Õ¹Ö_13		56085	-1			0	9	962	1	14	1	0	3	0	0	0
4557	700022	20	1279	25	29	Ðé¿Õ¹Ö_14		56113	-1			0	9	962	1	14	1	0	3	0	0	0
4558	700022	22	1280	25	29	Ðé¿Õ¹Ö_15		56141	-1			0	9	962	1	14	1	0	3	0	0	0
4559	700022	23	1281	25	29	Ðé¿Õ¹Ö_16		56169	-1			0	9	962	1	14	1	0	3	0	0	0
4560	700022	25	1282	25	29	Ðé¿Õ¹Ö_17		56197	-1			0	9	962	1	14	1	0	3	0	0	0
4561	700022	26	1283	25	29	Ðé¿Õ¹Ö_18		56225	-1			0	9	962	1	14	1	0	3	0	0	0
4562	700022	28	1284	25	29	Ðé¿Õ¹Ö_19		56253	-1			0	9	962	1	14	1	0	4	0	0	0
4563	700022	29	1285	25	29	Ðé¿Õ¹Ö_20		56281	-1			0	9	962	1	14	1	0	4	0	0	0
4564	700022	31	1286	25	29	Ðé¿Õ¹Ö_21		56309	-1			0	9	962	1	14	1	0	4	0	0	0
4565	700022	32	1287	25	29	Ðé¿Õ¹Ö_22		56337	-1			0	9	962	1	14	1	0	4	0	0	0
4566	700022	34	1288	25	29	Ðé¿Õ¹Ö_23		56365	-1			0	9	962	1	14	1	0	4	0	0	0
4567	700022	35	1289	25	29	Ðé¿Õ¹Ö_24		56393	-1			0	9	962	1	14	1	0	4	0	0	0
4568	700022	37	1290	25	29	¿ìËÙ¹Ö		56057	-1			0	8	962	1	-1	1	0	1	0	0	0
4569	700022	38	1291	25	29	¿ìËÙ¹Ö		56057	-1			0	8	962	1	-1	1	0	1	0	0	0
4570	700022	1	1292	30	34	Ðé¿Õ¹Ö_01		55302	-1			0	9	962	1	14	1	0	1	0	0	0
4571	700022	2	1293	30	34	Ðé¿Õ¹Ö_02		55330	-1			0	9	962	1	14	1	0	1	0	0	0
4572	700022	4	1294	30	34	Ðé¿Õ¹Ö_03		55358	-1			0	9	962	1	14	1	0	1	0	0	0
4573	700022	5	1295	30	34	Ðé¿Õ¹Ö_04		55386	-1			0	9	962	1	14	1	0	1	0	0	0
4574	700022	7	1296	30	34	Ðé¿Õ¹Ö_05		55414	-1			0	9	962	1	14	1	0	1	0	0	0
4575	700022	8	1297	30	34	Ðé¿Õ¹Ö_06		55442	-1			0	9	962	1	14	1	0	1	0	0	0
4576	700022	10	1298	30	34	Ðé¿Õ¹Ö_07		55470	-1			0	9	962	1	14	1	0	2	0	0	0
4577	700022	11	1299	30	34	Ðé¿Õ¹Ö_08		55498	-1			0	9	962	1	14	1	0	2	0	0	0
4578	700022	13	1300	30	34	Ðé¿Õ¹Ö_09		55526	-1			0	9	962	1	14	1	0	2	0	0	0
4579	700022	14	1301	30	34	Ðé¿Õ¹Ö_10		55554	-1			0	9	962	1	14	1	0	2	0	0	0
4580	700022	16	1302	30	34	Ðé¿Õ¹Ö_11		55582	-1			0	9	962	1	14	1	0	2	0	0	0
4581	700022	17	1303	30	34	Ðé¿Õ¹Ö_12		55610	-1			0	9	962	1	14	1	0	2	0	0	0
4582	700022	19	1304	30	34	Ðé¿Õ¹Ö_13		56086	-1			0	9	962	1	14	1	0	3	0	0	0
4583	700022	20	1305	30	34	Ðé¿Õ¹Ö_14		56114	-1			0	9	962	1	14	1	0	3	0	0	0
4584	700022	22	1306	30	34	Ðé¿Õ¹Ö_15		56142	-1			0	9	962	1	14	1	0	3	0	0	0
4585	700022	23	1307	30	34	Ðé¿Õ¹Ö_16		56170	-1			0	9	962	1	14	1	0	3	0	0	0
4586	700022	25	1308	30	34	Ðé¿Õ¹Ö_17		56198	-1			0	9	962	1	14	1	0	3	0	0	0
4587	700022	26	1309	30	34	Ðé¿Õ¹Ö_18		56226	-1			0	9	962	1	14	1	0	3	0	0	0
4588	700022	28	1310	30	34	Ðé¿Õ¹Ö_19		56254	-1			0	9	962	1	14	1	0	4	0	0	0
4589	700022	29	1311	30	34	Ðé¿Õ¹Ö_20		56282	-1			0	9	962	1	14	1	0	4	0	0	0
4590	700022	31	1312	30	34	Ðé¿Õ¹Ö_21		56310	-1			0	9	962	1	14	1	0	4	0	0	0
4591	700022	32	1313	30	34	Ðé¿Õ¹Ö_22		56338	-1			0	9	962	1	14	1	0	4	0	0	0
4592	700022	34	1314	30	34	Ðé¿Õ¹Ö_23		56366	-1			0	9	962	1	14	1	0	4	0	0	0
4593	700022	35	1315	30	34	Ðé¿Õ¹Ö_24		56394	-1			0	9	962	1	14	1	0	4	0	0	0
4594	700022	37	1316	30	34	¿ìËÙ¹Ö		56058	-1			0	8	962	1	-1	1	0	1	0	0	0
4595	700022	38	1317	30	34	¿ìËÙ¹Ö		56058	-1			0	8	962	1	-1	1	0	1	0	0	0
4596	700022	1	1318	35	39	Ðé¿Õ¹Ö_01		55303	-1			0	9	962	1	14	1	0	1	0	0	0
4597	700022	2	1319	35	39	Ðé¿Õ¹Ö_02		55331	-1			0	9	962	1	14	1	0	1	0	0	0
4598	700022	4	1320	35	39	Ðé¿Õ¹Ö_03		55359	-1			0	9	962	1	14	1	0	1	0	0	0
4599	700022	5	1321	35	39	Ðé¿Õ¹Ö_04		55387	-1			0	9	962	1	14	1	0	1	0	0	0
4600	700022	7	1322	35	39	Ðé¿Õ¹Ö_05		55415	-1			0	9	962	1	14	1	0	1	0	0	0
4601	700022	8	1323	35	39	Ðé¿Õ¹Ö_06		55443	-1			0	9	962	1	14	1	0	1	0	0	0
4602	700022	10	1324	35	39	Ðé¿Õ¹Ö_07		55471	-1			0	9	962	1	14	1	0	2	0	0	0
4603	700022	11	1325	35	39	Ðé¿Õ¹Ö_08		55499	-1			0	9	962	1	14	1	0	2	0	0	0
4604	700022	13	1326	35	39	Ðé¿Õ¹Ö_09		55527	-1			0	9	962	1	14	1	0	2	0	0	0
4605	700022	14	1327	35	39	Ðé¿Õ¹Ö_10		55555	-1			0	9	962	1	14	1	0	2	0	0	0
4606	700022	16	1328	35	39	Ðé¿Õ¹Ö_11		55583	-1			0	9	962	1	14	1	0	2	0	0	0
4607	700022	17	1329	35	39	Ðé¿Õ¹Ö_12		55611	-1			0	9	962	1	14	1	0	2	0	0	0
4608	700022	19	1330	35	39	Ðé¿Õ¹Ö_13		56087	-1			0	9	962	1	14	1	0	3	0	0	0
4609	700022	20	1331	35	39	Ðé¿Õ¹Ö_14		56115	-1			0	9	962	1	14	1	0	3	0	0	0
4610	700022	22	1332	35	39	Ðé¿Õ¹Ö_15		56143	-1			0	9	962	1	14	1	0	3	0	0	0
4611	700022	23	1333	35	39	Ðé¿Õ¹Ö_16		56171	-1			0	9	962	1	14	1	0	3	0	0	0
4612	700022	25	1334	35	39	Ðé¿Õ¹Ö_17		56199	-1			0	9	962	1	14	1	0	3	0	0	0
4613	700022	26	1335	35	39	Ðé¿Õ¹Ö_18		56227	-1			0	9	962	1	14	1	0	3	0	0	0
4614	700022	28	1336	35	39	Ðé¿Õ¹Ö_19		56255	-1			0	9	962	1	14	1	0	4	0	0	0
4615	700022	29	1337	35	39	Ðé¿Õ¹Ö_20		56283	-1			0	9	962	1	14	1	0	4	0	0	0
4616	700022	31	1338	35	39	Ðé¿Õ¹Ö_21		56311	-1			0	9	962	1	14	1	0	4	0	0	0
4617	700022	32	1339	35	39	Ðé¿Õ¹Ö_22		56339	-1			0	9	962	1	14	1	0	4	0	0	0
4618	700022	34	1340	35	39	Ðé¿Õ¹Ö_23		56367	-1			0	9	962	1	14	1	0	4	0	0	0
4619	700022	35	1341	35	39	Ðé¿Õ¹Ö_24		56395	-1			0	9	962	1	14	1	0	4	0	0	0
4620	700022	37	1342	35	39	¿ìËÙ¹Ö		56059	-1			0	8	962	1	-1	1	0	1	0	0	0
4621	700022	38	1343	35	39	¿ìËÙ¹Ö		56059	-1			0	8	962	1	-1	1	0	1	0	0	0
4622	700022	1	1344	40	44	Ðé¿Õ¹Ö_01		55304	-1			0	9	962	1	14	1	0	1	0	0	0
4623	700022	2	1345	40	44	Ðé¿Õ¹Ö_02		55332	-1			0	9	962	1	14	1	0	1	0	0	0
4624	700022	4	1346	40	44	Ðé¿Õ¹Ö_03		55360	-1			0	9	962	1	14	1	0	1	0	0	0
4625	700022	5	1347	40	44	Ðé¿Õ¹Ö_04		55388	-1			0	9	962	1	14	1	0	1	0	0	0
4626	700022	7	1348	40	44	Ðé¿Õ¹Ö_05		55416	-1			0	9	962	1	14	1	0	1	0	0	0
4627	700022	8	1349	40	44	Ðé¿Õ¹Ö_06		55444	-1			0	9	962	1	14	1	0	1	0	0	0
4628	700022	10	1350	40	44	Ðé¿Õ¹Ö_07		55472	-1			0	9	962	1	14	1	0	2	0	0	0
4629	700022	11	1351	40	44	Ðé¿Õ¹Ö_08		55500	-1			0	9	962	1	14	1	0	2	0	0	0
4630	700022	13	1352	40	44	Ðé¿Õ¹Ö_09		55528	-1			0	9	962	1	14	1	0	2	0	0	0
4631	700022	14	1353	40	44	Ðé¿Õ¹Ö_10		55556	-1			0	9	962	1	14	1	0	2	0	0	0
4632	700022	16	1354	40	44	Ðé¿Õ¹Ö_11		55584	-1			0	9	962	1	14	1	0	2	0	0	0
4633	700022	17	1355	40	44	Ðé¿Õ¹Ö_12		55612	-1			0	9	962	1	14	1	0	2	0	0	0
4634	700022	19	1356	40	44	Ðé¿Õ¹Ö_13		56088	-1			0	9	962	1	14	1	0	3	0	0	0
4635	700022	20	1357	40	44	Ðé¿Õ¹Ö_14		56116	-1			0	9	962	1	14	1	0	3	0	0	0
4636	700022	22	1358	40	44	Ðé¿Õ¹Ö_15		56144	-1			0	9	962	1	14	1	0	3	0	0	0
4637	700022	23	1359	40	44	Ðé¿Õ¹Ö_16		56172	-1			0	9	962	1	14	1	0	3	0	0	0
4638	700022	25	1360	40	44	Ðé¿Õ¹Ö_17		56200	-1			0	9	962	1	14	1	0	3	0	0	0
4639	700022	26	1361	40	44	Ðé¿Õ¹Ö_18		56228	-1			0	9	962	1	14	1	0	3	0	0	0
4640	700022	28	1362	40	44	Ðé¿Õ¹Ö_19		56256	-1			0	9	962	1	14	1	0	4	0	0	0
4641	700022	29	1363	40	44	Ðé¿Õ¹Ö_20		56284	-1			0	9	962	1	14	1	0	4	0	0	0
4642	700022	31	1364	40	44	Ðé¿Õ¹Ö_21		56312	-1			0	9	962	1	14	1	0	4	0	0	0
4643	700022	32	1365	40	44	Ðé¿Õ¹Ö_22		56340	-1			0	9	962	1	14	1	0	4	0	0	0
4644	700022	34	1366	40	44	Ðé¿Õ¹Ö_23		56368	-1			0	9	962	1	14	1	0	4	0	0	0
4645	700022	35	1367	40	44	Ðé¿Õ¹Ö_24		56396	-1			0	9	962	1	14	1	0	4	0	0	0
4646	700022	37	1368	40	44	¿ìËÙ¹Ö		56060	-1			0	8	962	1	-1	1	0	1	0	0	0
4647	700022	38	1369	40	44	¿ìËÙ¹Ö		56060	-1			0	8	962	1	-1	1	0	1	0	0	0
4648	700022	1	1370	45	49	Ðé¿Õ¹Ö_01		55305	-1			0	9	962	1	14	1	0	1	0	0	0
4649	700022	2	1371	45	49	Ðé¿Õ¹Ö_02		55333	-1			0	9	962	1	14	1	0	1	0	0	0
4650	700022	4	1372	45	49	Ðé¿Õ¹Ö_03		55361	-1			0	9	962	1	14	1	0	1	0	0	0
4651	700022	5	1373	45	49	Ðé¿Õ¹Ö_04		55389	-1			0	9	962	1	14	1	0	1	0	0	0
4652	700022	7	1374	45	49	Ðé¿Õ¹Ö_05		55417	-1			0	9	962	1	14	1	0	1	0	0	0
4653	700022	8	1375	45	49	Ðé¿Õ¹Ö_06		55445	-1			0	9	962	1	14	1	0	1	0	0	0
4654	700022	10	1376	45	49	Ðé¿Õ¹Ö_07		55473	-1			0	9	962	1	14	1	0	2	0	0	0
4655	700022	11	1377	45	49	Ðé¿Õ¹Ö_08		55501	-1			0	9	962	1	14	1	0	2	0	0	0
4656	700022	13	1378	45	49	Ðé¿Õ¹Ö_09		55529	-1			0	9	962	1	14	1	0	2	0	0	0
4657	700022	14	1379	45	49	Ðé¿Õ¹Ö_10		55557	-1			0	9	962	1	14	1	0	2	0	0	0
4658	700022	16	1380	45	49	Ðé¿Õ¹Ö_11		55585	-1			0	9	962	1	14	1	0	2	0	0	0
4659	700022	17	1381	45	49	Ðé¿Õ¹Ö_12		55613	-1			0	9	962	1	14	1	0	2	0	0	0
4660	700022	19	1382	45	49	Ðé¿Õ¹Ö_13		56089	-1			0	9	962	1	14	1	0	3	0	0	0
4661	700022	20	1383	45	49	Ðé¿Õ¹Ö_14		56117	-1			0	9	962	1	14	1	0	3	0	0	0
4662	700022	22	1384	45	49	Ðé¿Õ¹Ö_15		56145	-1			0	9	962	1	14	1	0	3	0	0	0
4663	700022	23	1385	45	49	Ðé¿Õ¹Ö_16		56173	-1			0	9	962	1	14	1	0	3	0	0	0
4664	700022	25	1386	45	49	Ðé¿Õ¹Ö_17		56201	-1			0	9	962	1	14	1	0	3	0	0	0
4665	700022	26	1387	45	49	Ðé¿Õ¹Ö_18		56229	-1			0	9	962	1	14	1	0	3	0	0	0
4666	700022	28	1388	45	49	Ðé¿Õ¹Ö_19		56257	-1			0	9	962	1	14	1	0	4	0	0	0
4667	700022	29	1389	45	49	Ðé¿Õ¹Ö_20		56285	-1			0	9	962	1	14	1	0	4	0	0	0
4668	700022	31	1390	45	49	Ðé¿Õ¹Ö_21		56313	-1			0	9	962	1	14	1	0	4	0	0	0
4669	700022	32	1391	45	49	Ðé¿Õ¹Ö_22		56341	-1			0	9	962	1	14	1	0	4	0	0	0
4670	700022	34	1392	45	49	Ðé¿Õ¹Ö_23		56369	-1			0	9	962	1	14	1	0	4	0	0	0
4671	700022	35	1393	45	49	Ðé¿Õ¹Ö_24		56397	-1			0	9	962	1	14	1	0	4	0	0	0
4672	700022	37	1394	45	49	¿ìËÙ¹Ö		56061	-1			0	8	962	1	-1	1	0	1	0	0	0
4673	700022	38	1395	45	49	¿ìËÙ¹Ö		56061	-1			0	8	962	1	-1	1	0	1	0	0	0
4674	700022	1	1396	50	54	Ðé¿Õ¹Ö_01		55306	-1			0	9	962	1	14	1	0	1	0	0	0
4675	700022	2	1397	50	54	Ðé¿Õ¹Ö_02		55334	-1			0	9	962	1	14	1	0	1	0	0	0
4676	700022	4	1398	50	54	Ðé¿Õ¹Ö_03		55362	-1			0	9	962	1	14	1	0	1	0	0	0
4677	700022	5	1399	50	54	Ðé¿Õ¹Ö_04		55390	-1			0	9	962	1	14	1	0	1	0	0	0
4678	700022	7	1400	50	54	Ðé¿Õ¹Ö_05		55418	-1			0	9	962	1	14	1	0	1	0	0	0
4679	700022	8	1401	50	54	Ðé¿Õ¹Ö_06		55446	-1			0	9	962	1	14	1	0	1	0	0	0
4680	700022	10	1402	50	54	Ðé¿Õ¹Ö_07		55474	-1			0	9	962	1	14	1	0	2	0	0	0
4681	700022	11	1403	50	54	Ðé¿Õ¹Ö_08		55502	-1			0	9	962	1	14	1	0	2	0	0	0
4682	700022	13	1404	50	54	Ðé¿Õ¹Ö_09		55530	-1			0	9	962	1	14	1	0	2	0	0	0
4683	700022	14	1405	50	54	Ðé¿Õ¹Ö_10		55558	-1			0	9	962	1	14	1	0	2	0	0	0
4684	700022	16	1406	50	54	Ðé¿Õ¹Ö_11		55586	-1			0	9	962	1	14	1	0	2	0	0	0
4685	700022	17	1407	50	54	Ðé¿Õ¹Ö_12		55614	-1			0	9	962	1	14	1	0	2	0	0	0
4686	700022	19	1408	50	54	Ðé¿Õ¹Ö_13		56090	-1			0	9	962	1	14	1	0	3	0	0	0
4687	700022	20	1409	50	54	Ðé¿Õ¹Ö_14		56118	-1			0	9	962	1	14	1	0	3	0	0	0
4688	700022	22	1410	50	54	Ðé¿Õ¹Ö_15		56146	-1			0	9	962	1	14	1	0	3	0	0	0
4689	700022	23	1411	50	54	Ðé¿Õ¹Ö_16		56174	-1			0	9	962	1	14	1	0	3	0	0	0
4690	700022	25	1412	50	54	Ðé¿Õ¹Ö_17		56202	-1			0	9	962	1	14	1	0	3	0	0	0
4691	700022	26	1413	50	54	Ðé¿Õ¹Ö_18		56230	-1			0	9	962	1	14	1	0	3	0	0	0
4692	700022	28	1414	50	54	Ðé¿Õ¹Ö_19		56258	-1			0	9	962	1	14	1	0	4	0	0	0
4693	700022	29	1415	50	54	Ðé¿Õ¹Ö_20		56286	-1			0	9	962	1	14	1	0	4	0	0	0
4694	700022	31	1416	50	54	Ðé¿Õ¹Ö_21		56314	-1			0	9	962	1	14	1	0	4	0	0	0
4695	700022	32	1417	50	54	Ðé¿Õ¹Ö_22		56342	-1			0	9	962	1	14	1	0	4	0	0	0
4696	700022	34	1418	50	54	Ðé¿Õ¹Ö_23		56370	-1			0	9	962	1	14	1	0	4	0	0	0
4697	700022	35	1419	50	54	Ðé¿Õ¹Ö_24		56398	-1			0	9	962	1	14	1	0	4	0	0	0
4698	700022	37	1420	50	54	¿ìËÙ¹Ö		56062	-1			0	8	962	1	-1	1	0	1	0	0	0
4699	700022	38	1421	50	54	¿ìËÙ¹Ö		56062	-1			0	8	962	1	-1	1	0	1	0	0	0
4700	700022	1	1422	55	59	Ðé¿Õ¹Ö_01		55307	-1			0	9	962	1	14	1	0	1	0	0	0
4701	700022	2	1423	55	59	Ðé¿Õ¹Ö_02		55335	-1			0	9	962	1	14	1	0	1	0	0	0
4702	700022	4	1424	55	59	Ðé¿Õ¹Ö_03		55363	-1			0	9	962	1	14	1	0	1	0	0	0
4703	700022	5	1425	55	59	Ðé¿Õ¹Ö_04		55391	-1			0	9	962	1	14	1	0	1	0	0	0
4704	700022	7	1426	55	59	Ðé¿Õ¹Ö_05		55419	-1			0	9	962	1	14	1	0	1	0	0	0
4705	700022	8	1427	55	59	Ðé¿Õ¹Ö_06		55447	-1			0	9	962	1	14	1	0	1	0	0	0
4706	700022	10	1428	55	59	Ðé¿Õ¹Ö_07		55475	-1			0	9	962	1	14	1	0	2	0	0	0
4707	700022	11	1429	55	59	Ðé¿Õ¹Ö_08		55503	-1			0	9	962	1	14	1	0	2	0	0	0
4708	700022	13	1430	55	59	Ðé¿Õ¹Ö_09		55531	-1			0	9	962	1	14	1	0	2	0	0	0
4709	700022	14	1431	55	59	Ðé¿Õ¹Ö_10		55559	-1			0	9	962	1	14	1	0	2	0	0	0
4710	700022	16	1432	55	59	Ðé¿Õ¹Ö_11		55587	-1			0	9	962	1	14	1	0	2	0	0	0
4711	700022	17	1433	55	59	Ðé¿Õ¹Ö_12		55615	-1			0	9	962	1	14	1	0	2	0	0	0
4712	700022	19	1434	55	59	Ðé¿Õ¹Ö_13		56091	-1			0	9	962	1	14	1	0	3	0	0	0
4713	700022	20	1435	55	59	Ðé¿Õ¹Ö_14		56119	-1			0	9	962	1	14	1	0	3	0	0	0
4714	700022	22	1436	55	59	Ðé¿Õ¹Ö_15		56147	-1			0	9	962	1	14	1	0	3	0	0	0
4715	700022	23	1437	55	59	Ðé¿Õ¹Ö_16		56175	-1			0	9	962	1	14	1	0	3	0	0	0
4716	700022	25	1438	55	59	Ðé¿Õ¹Ö_17		56203	-1			0	9	962	1	14	1	0	3	0	0	0
4717	700022	26	1439	55	59	Ðé¿Õ¹Ö_18		56231	-1			0	9	962	1	14	1	0	3	0	0	0
4718	700022	28	1440	55	59	Ðé¿Õ¹Ö_19		56259	-1			0	9	962	1	14	1	0	4	0	0	0
4719	700022	29	1441	55	59	Ðé¿Õ¹Ö_20		56287	-1			0	9	962	1	14	1	0	4	0	0	0
4720	700022	31	1442	55	59	Ðé¿Õ¹Ö_21		56315	-1			0	9	962	1	14	1	0	4	0	0	0
4721	700022	32	1443	55	59	Ðé¿Õ¹Ö_22		56343	-1			0	9	962	1	14	1	0	4	0	0	0
4722	700022	34	1444	55	59	Ðé¿Õ¹Ö_23		56371	-1			0	9	962	1	14	1	0	4	0	0	0
4723	700022	35	1445	55	59	Ðé¿Õ¹Ö_24		56399	-1			0	9	962	1	14	1	0	4	0	0	0
4724	700022	37	1446	55	59	¿ìËÙ¹Ö		56063	-1			0	8	962	1	-1	1	0	1	0	0	0
4725	700022	38	1447	55	59	¿ìËÙ¹Ö		56063	-1			0	8	962	1	-1	1	0	1	0	0	0
4726	700022	1	1448	60	64	Ðé¿Õ¹Ö_01		55308	-1			0	9	962	1	14	1	0	1	0	0	0
4727	700022	2	1449	60	64	Ðé¿Õ¹Ö_02		55336	-1			0	9	962	1	14	1	0	1	0	0	0
4728	700022	4	1450	60	64	Ðé¿Õ¹Ö_03		55364	-1			0	9	962	1	14	1	0	1	0	0	0
4729	700022	5	1451	60	64	Ðé¿Õ¹Ö_04		55392	-1			0	9	962	1	14	1	0	1	0	0	0
4730	700022	7	1452	60	64	Ðé¿Õ¹Ö_05		55420	-1			0	9	962	1	14	1	0	1	0	0	0
4731	700022	8	1453	60	64	Ðé¿Õ¹Ö_06		55448	-1			0	9	962	1	14	1	0	1	0	0	0
4732	700022	10	1454	60	64	Ðé¿Õ¹Ö_07		55476	-1			0	9	962	1	14	1	0	2	0	0	0
4733	700022	11	1455	60	64	Ðé¿Õ¹Ö_08		55504	-1			0	9	962	1	14	1	0	2	0	0	0
4734	700022	13	1456	60	64	Ðé¿Õ¹Ö_09		55532	-1			0	9	962	1	14	1	0	2	0	0	0
4735	700022	14	1457	60	64	Ðé¿Õ¹Ö_10		55560	-1			0	9	962	1	14	1	0	2	0	0	0
4736	700022	16	1458	60	64	Ðé¿Õ¹Ö_11		55588	-1			0	9	962	1	14	1	0	2	0	0	0
4737	700022	17	1459	60	64	Ðé¿Õ¹Ö_12		55616	-1			0	9	962	1	14	1	0	2	0	0	0
4738	700022	19	1460	60	64	Ðé¿Õ¹Ö_13		56092	-1			0	9	962	1	14	1	0	3	0	0	0
4739	700022	20	1461	60	64	Ðé¿Õ¹Ö_14		56120	-1			0	9	962	1	14	1	0	3	0	0	0
4740	700022	22	1462	60	64	Ðé¿Õ¹Ö_15		56148	-1			0	9	962	1	14	1	0	3	0	0	0
4741	700022	23	1463	60	64	Ðé¿Õ¹Ö_16		56176	-1			0	9	962	1	14	1	0	3	0	0	0
4742	700022	25	1464	60	64	Ðé¿Õ¹Ö_17		56204	-1			0	9	962	1	14	1	0	3	0	0	0
4743	700022	26	1465	60	64	Ðé¿Õ¹Ö_18		56232	-1			0	9	962	1	14	1	0	3	0	0	0
4744	700022	28	1466	60	64	Ðé¿Õ¹Ö_19		56260	-1			0	9	962	1	14	1	0	4	0	0	0
4745	700022	29	1467	60	64	Ðé¿Õ¹Ö_20		56288	-1			0	9	962	1	14	1	0	4	0	0	0
4746	700022	31	1468	60	64	Ðé¿Õ¹Ö_21		56316	-1			0	9	962	1	14	1	0	4	0	0	0
4747	700022	32	1469	60	64	Ðé¿Õ¹Ö_22		56344	-1			0	9	962	1	14	1	0	4	0	0	0
4748	700022	34	1470	60	64	Ðé¿Õ¹Ö_23		56372	-1			0	9	962	1	14	1	0	4	0	0	0
4749	700022	35	1471	60	64	Ðé¿Õ¹Ö_24		56400	-1			0	9	962	1	14	1	0	4	0	0	0
4750	700022	37	1472	60	64	¿ìËÙ¹Ö		56064	-1			0	8	962	1	-1	1	0	1	0	0	0
4751	700022	38	1473	60	64	¿ìËÙ¹Ö		56064	-1			0	8	962	1	-1	1	0	1	0	0	0
4752	700022	1	1474	65	69	Ðé¿Õ¹Ö_01		55309	-1			0	9	962	1	14	1	0	1	0	0	0
4753	700022	2	1475	65	69	Ðé¿Õ¹Ö_02		55337	-1			0	9	962	1	14	1	0	1	0	0	0
4754	700022	4	1476	65	69	Ðé¿Õ¹Ö_03		55365	-1			0	9	962	1	14	1	0	1	0	0	0
4755	700022	5	1477	65	69	Ðé¿Õ¹Ö_04		55393	-1			0	9	962	1	14	1	0	1	0	0	0
4756	700022	7	1478	65	69	Ðé¿Õ¹Ö_05		55421	-1			0	9	962	1	14	1	0	1	0	0	0
4757	700022	8	1479	65	69	Ðé¿Õ¹Ö_06		55449	-1			0	9	962	1	14	1	0	1	0	0	0
4758	700022	10	1480	65	69	Ðé¿Õ¹Ö_07		55477	-1			0	9	962	1	14	1	0	2	0	0	0
4759	700022	11	1481	65	69	Ðé¿Õ¹Ö_08		55505	-1			0	9	962	1	14	1	0	2	0	0	0
4760	700022	13	1482	65	69	Ðé¿Õ¹Ö_09		55533	-1			0	9	962	1	14	1	0	2	0	0	0
4761	700022	14	1483	65	69	Ðé¿Õ¹Ö_10		55561	-1			0	9	962	1	14	1	0	2	0	0	0
4762	700022	16	1484	65	69	Ðé¿Õ¹Ö_11		55589	-1			0	9	962	1	14	1	0	2	0	0	0
4763	700022	17	1485	65	69	Ðé¿Õ¹Ö_12		55617	-1			0	9	962	1	14	1	0	2	0	0	0
4764	700022	19	1486	65	69	Ðé¿Õ¹Ö_13		56093	-1			0	9	962	1	14	1	0	3	0	0	0
4765	700022	20	1487	65	69	Ðé¿Õ¹Ö_14		56121	-1			0	9	962	1	14	1	0	3	0	0	0
4766	700022	22	1488	65	69	Ðé¿Õ¹Ö_15		56149	-1			0	9	962	1	14	1	0	3	0	0	0
4767	700022	23	1489	65	69	Ðé¿Õ¹Ö_16		56177	-1			0	9	962	1	14	1	0	3	0	0	0
4768	700022	25	1490	65	69	Ðé¿Õ¹Ö_17		56205	-1			0	9	962	1	14	1	0	3	0	0	0
4769	700022	26	1491	65	69	Ðé¿Õ¹Ö_18		56233	-1			0	9	962	1	14	1	0	3	0	0	0
4770	700022	28	1492	65	69	Ðé¿Õ¹Ö_19		56261	-1			0	9	962	1	14	1	0	4	0	0	0
4771	700022	29	1493	65	69	Ðé¿Õ¹Ö_20		56289	-1			0	9	962	1	14	1	0	4	0	0	0
4772	700022	31	1494	65	69	Ðé¿Õ¹Ö_21		56317	-1			0	9	962	1	14	1	0	4	0	0	0
4773	700022	32	1495	65	69	Ðé¿Õ¹Ö_22		56345	-1			0	9	962	1	14	1	0	4	0	0	0
4774	700022	34	1496	65	69	Ðé¿Õ¹Ö_23		56373	-1			0	9	962	1	14	1	0	4	0	0	0
4775	700022	35	1497	65	69	Ðé¿Õ¹Ö_24		56401	-1			0	9	962	1	14	1	0	4	0	0	0
4776	700022	37	1498	65	69	¿ìËÙ¹Ö		56065	-1			0	8	962	1	-1	1	0	1	0	0	0
4777	700022	38	1499	65	69	¿ìËÙ¹Ö		56065	-1			0	8	962	1	-1	1	0	1	0	0	0
4778	700022	1	1500	70	74	Ðé¿Õ¹Ö_01		55310	-1			0	9	962	1	14	1	0	1	0	0	0
4779	700022	2	1501	70	74	Ðé¿Õ¹Ö_02		55338	-1			0	9	962	1	14	1	0	1	0	0	0
4780	700022	4	1502	70	74	Ðé¿Õ¹Ö_03		55366	-1			0	9	962	1	14	1	0	1	0	0	0
4781	700022	5	1503	70	74	Ðé¿Õ¹Ö_04		55394	-1			0	9	962	1	14	1	0	1	0	0	0
