INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
27	副手	12287	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
28	副手	24575	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
29	副手	49151	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
30	头	1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1
31	头	5	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1
32	头	11	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1
33	头	23	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
34	头	47	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
35	头	95	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
36	头	191	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
37	头	383	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
38	头	767	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
39	头	1535	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
40	头	3071	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
41	头	6143	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
42	头	12287	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
43	头	24575	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
44	头	49151	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1
45	颈	1	12	50|51	-1	-1	-1	-1	-1	-1	12	50|51	-1	-1	-1	-1	-1	-1	14	50|51	-1	-1	-1	-1	-1	-1	14	50|51	-1	-1	-1	-1	-1	-1	10	50|51	-1	-1	-1	-1	-1	-1	10	50|51	-1	-1	-1	-1	-1	-1	12	50|51	-1	-1	-1	-1	-1	-1	12	50|51	-1	-1	-1	-1	-1	-1	14	50|51	-1	-1	-1	-1	-1	-1	14	50|51	-1	-1	-1	-1	-1	-1	10	50|51	-1	-1	-1	-1	-1	-1	10	50|51	-1	-1	-1	-1	-1	-1
46	颈	5	12	50|51	12	-1	-1	-1	-1	-1	12	50|51	12	-1	-1	-1	-1	-1	14	50|51	14	-1	-1	-1	-1	-1	14	50|51	14	-1	-1	-1	-1	-1	10	50|51	10	-1	-1	-1	-1	-1	10	50|51	10	-1	-1	-1	-1	-1	12	50|51	12	-1	-1	-1	-1	-1	12	50|51	12	-1	-1	-1	-1	-1	14	50|51	14	-1	-1	-1	-1	-1	14	50|51	14	-1	-1	-1	-1	-1	10	50|51	10	-1	-1	-1	-1	-1	10	50|51	10	-1	-1	-1	-1	-1
47	颈	11	12	50|51	12	50|51	-1	-1	-1	-1	12	50|51	12	50|51	-1	-1	-1	-1	14	50|51	14	50|51	-1	-1	-1	-1	14	50|51	14	50|51	-1	-1	-1	-1	10	50|51	10	50|51	-1	-1	-1	-1	10	50|51	10	50|51	-1	-1	-1	-1	12	50|51	12	50|51	-1	-1	-1	-1	12	50|51	12	50|51	-1	-1	-1	-1	14	50|51	14	50|51	-1	-1	-1	-1	14	50|51	14	50|51	-1	-1	-1	-1	10	50|51	10	50|51	-1	-1	-1	-1	10	50|51	10	50|51	-1	-1	-1	-1
48	颈	23	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
49	颈	47	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
50	颈	95	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
51	颈	191	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
52	颈	383	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
53	颈	767	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
54	颈	1535	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
55	颈	3071	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
56	颈	6143	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
57	颈	12287	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
58	颈	24575	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	12	50|51	12	50|51	12|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	14	50|51	14	50|51	14|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1	10	50|51	10	50|51	10|50|51	-1	-1	-1
