INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
63	100000	1	10011106|10021106|10031106|10041106|10051106|10061106|10071106|10081106|10091106|10101106|10111106|10121106|10201106|10231106|10251106|10261106|10271106|10281106|10291106	50000	1	10010070|10020070|10030070|10040070|10050070|10060070|10070070|10080070|10090070|10100070|10110070|10120070|10200070|10230070|10250070|10260070|10270070|10280070|10290070	1458000	1	11020014|11020015|11030005	300000	1	11960007	150000	0	12090007	60000	1	11000202	300000	1	10351007|10361007|10371007|10381007|10391007|10401007|10411006|10421006|10431006|10441006|10451006|10461006	50000	1	10350007|10360007|10370007|10380007|10390007|10400007|10410007|10420007|10430007|10440007|10450007|10460007	-1	-1	-1	-1	-1	-1
64	100000	1	10011106|10021106|10031106|10041106|10051106|10061106|10071106|10081106|10091106|10101106|10111106|10121106|10201106|10231106|10251106|10261106|10271106|10281106|10291106	50000	1	10010070|10020070|10030070|10040070|10050070|10060070|10070070|10080070|10090070|10100070|10110070|10120070|10200070|10230070|10250070|10260070|10270070|10280070|10290070	1458000	1	11020014|11020015|11030005	300000	1	11960007	150000	0	12090007	60000	1	11000202	300000	1	10351007|10361007|10371007|10381007|10391007|10401007|10411006|10421006|10431006|10441006|10451006|10461006	50000	1	10350007|10360007|10370007|10380007|10390007|10400007|10410007|10420007|10430007|10440007|10450007|10460007	-1	-1	-1	-1	-1	-1
65	100000	1	10011107|10021107|10031107|10041107|10051107|10061107|10071107|10081107|10091107|10101107|10111107|10121107|10201107|10231107|10251107|10261107|10271107|10281107|10291107	50000	1	10010080|10020080|10030080|10040080|10050080|10060080|10070080|10080080|10090080|10100080|10110080|10120080|10200080|10230080|10250080|10260080|10270080|10280080|10290080	1312200	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090008	60000	1	11000202	300000	1	10351008|10361008|10371008|10381008|10391008|10401008|10411007|10421007|10431007|10441007|10451007|10461007	50000	1	10350008|10360008|10370008|10380008|10390008|10400008|10410008|10420008|10430008|10440008|10450008|10460008	-1	-1	-1	-1	-1	-1
66	100000	1	10011107|10021107|10031107|10041107|10051107|10061107|10071107|10081107|10091107|10101107|10111107|10121107|10201107|10231107|10251107|10261107|10271107|10281107|10291107	50000	1	10010080|10020080|10030080|10040080|10050080|10060080|10070080|10080080|10090080|10100080|10110080|10120080|10200080|10230080|10250080|10260080|10270080|10280080|10290080	1312200	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090008	60000	1	11000202	300000	1	10351008|10361008|10371008|10381008|10391008|10401008|10411007|10421007|10431007|10441007|10451007|10461007	50000	1	10350008|10360008|10370008|10380008|10390008|10400008|10410008|10420008|10430008|10440008|10450008|10460008	-1	-1	-1	-1	-1	-1
67	100000	1	10011108|10021108|10031108|10041108|10051108|10061108|10071108|10081108|10091108|10101108|10111108|10121108|10201108|10231108|10251108|10261108|10271108|10281108|10291108	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1180980	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090009	60000	1	11000203	300000	1	10351009|10361009|10371009|10381009|10391009|10401009|10411008|10421008|10431008|10441008|10451008|10461008	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
68	100000	1	10011108|10021108|10031108|10041108|10051108|10061108|10071108|10081108|10091108|10101108|10111108|10121108|10201108|10231108|10251108|10261108|10271108|10281108|10291108	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1180980	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090009	60000	1	11000203	300000	1	10351009|10361009|10371009|10381009|10391009|10401009|10411008|10421008|10431008|10441008|10451008|10461008	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
69	100000	1	10011109|10021109|10031109|10041109|10051109|10061109|10071109|10081109|10091109|10101109|10111109|10121109|10201109|10231109|10251109|10261109|10271109|10281109|10291109	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090010	60000	1	11000203	300000	1	10351010|10361010|10371010|10381010|10391010|10401010|10411009|10421009|10431009|10441009|10451009|10461009	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
70	100000	1	10011109|10021109|10031109|10041109|10051109|10061109|10071109|10081109|10091109|10101109|10111109|10121109|10201109|10231109|10251109|10261109|10271109|10281109|10291109	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	300000	1	11960008	150000	0	12090010	60000	1	11000203	300000	1	10351010|10361010|10371010|10381010|10391010|10401010|10411009|10421009|10431009|10441009|10451009|10461009	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
71	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
72	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
73	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
74	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
75	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
76	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
77	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
78	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960009	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
79	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960010	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
80	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960010	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
81	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960010	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
82	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	150000	1	11960010	150000	0	12090010	30000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	50000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1
#	副本boss附加掉落组（101-110）																													
101	100000000	1	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010|10350001|10360001|10370001|10380001|10390001|10400001	50000000	4	11960001	20000000	0	12100001	50000000	0	11020001|11020002|11030001	30000000	2	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	100000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10200020|10230020|10250020|10260020|10270020|10350002|10360002|10370002|10380002|10390002|10400002	50000000	4	11960002	20000000	0	12100002	50000000	0	11020001|11020002|11030001	30000000	2	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	100000000	1	10010030|10020030|10030030|10040030|10050030|10060030|10200030|10230030|10250030|10260030|10270030|10280030|10290030|10350003|10360003|10370003|10380003|10390003|10400003	50000000	4	11960003	20000000	0	12100003	50000000	4	11020001|11020002	30000000	2	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	100000000	1	10010040|10020040|10030040|10040040|10050040|10060040|10200040|10230040|10250040|10260040|10270040|10280040|10290040|10350004|10360004|10370004|10380004|10390004|10400004	50000000	4	11960004	30000000	0	12090004	50000000	4	11020001|11020002|11030001	30000000	2	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	100000000	1	10010050|10020050|10030050|10040050|10050050|10060050|10200050|10230050|10250050|10260050|10270050|10280050|10290050|10350005|10360005|10370005|10380005|10390005|10400005	50000000	4	11960005	30000000	0	12090005	50000000	4	11020006|11020007|11030001	30000000	2	12010003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	100000000	1	10010060|10020060|10030060|10040060|10050060|10060060|10200060|10230060|10250060|10260060|10270060|10280060|10290060|10350006|10360006|10370006|10380006|10390006|10400006	50000000	4	11960006	30000000	0	12090006	50000000	4	11020010|11020011|11030003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	100000000	1	10010070|10020070|10030070|10040070|10050070|10060070|10200070|10230070|10250070|10260070|10270070|10280070|10290070|10350007|10360007|10370007|10380007|10390007|10400007	50000000	4	11960007	30000000	0	12090007	50000000	4	11020014|11020015|11030005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	100000000	1	10010080|10020080|10030080|10040080|10050080|10060080|10200080|10230080|10250080|10260080|10270080|10280080|10290080|10350008|10360008|10370008|10380008|10390008|10400008	50000000	4	11960008	30000000	0	12090008	50000000	4	11020014|11020015|11030007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	100000000	1	10010090|10020090|10030090|10040090|10050090|10060090|10200090|10230090|10250090|10260090|10270090|10280090|10290090|10350009|10360009|10370009|10380009|10390009|10400009	50000000	4	11960008	30000000	0	12090009	50000000	4	11020014|11020015|11030007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	100000000	1	10010090|10020090|10030090|10040090|10050090|10060090|10200090|10230090|10250090|10260090|10270090|10280090|10290090|10350009|10360009|10370009|10380009|10390009|10400009	50000000	4	11960008	30000000	0	12090010	50000000	4	11020014|11020015|11030007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#	副本第一环最终boss掉落组（111-140），20级开始每5级一个掉落ID																													
111	30000000	1	12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	30000000	1	12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	30000000	1	12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	30000000	1	12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	20000000	1	12052451|12052461|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	20000000	1	12052451|12052461|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	20000000	1	12052451|12052461|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	20000000	1	12052451|12052461|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	10000000	1	12052431|12052441|12052171|12052451|12052461|12052061|12052071|12052401|12052411|12052421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#	副本第二环最终boss掉落组（141-160），20级开始每5级一个掉落ID																													
141	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	150000	1	10294001|10294011|10294021|10294031|10294041|10294051|10298018|10298022|10298026|10298030|10298034|10298038|10284001|10284011|10284021|10284031|10284041|10284051|10288018|10288022|10288026|10288030|10288034|10288038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	100000	1	10294002|10294012|10294022|10294032|10294042|10294052|10298019|10298023|10298027|10298031|10298035|10298039|10284002|10284012|10284022|10284032|10284042|10284052|10288019|10288023|10288027|10288031|10288035|10288039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	100000	1	10294002|10294012|10294022|10294032|10294042|10294052|10298019|10298023|10298027|10298031|10298035|10298039|10284002|10284012|10284022|10284032|10284042|10284052|10288019|10288023|10288027|10288031|10288035|10288039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	100000	1	10294002|10294012|10294022|10294032|10294042|10294052|10298019|10298023|10298027|10298031|10298035|10298039|10284002|10284012|10284022|10284032|10284042|10284052|10288019|10288023|10288027|10288031|10288035|10288039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	100000	1	10294003|10294013|10294023|10294033|10294043|10294053|10298020|10298024|10298028|10298032|10298036|10298040|10284003|10284013|10284023|10284033|10284043|10284053|10288020|10288024|10288028|10288032|10288036|10288040	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
