INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
index	name	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
77	天降宝箱删除	310015	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
78	仙人谷随机BOSS	305031	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
79	仙人谷随机BOSS	305031	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
80	仙人谷随机BOSS	305031	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
81	仙人谷随机BOSS	305031	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
82	仙人谷随机BOSS	305031	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
83	粮仓随机BOSS	305030	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
84	粮仓随机BOSS	305030	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
85	粮仓随机BOSS	305030	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
86	粮仓随机BOSS	305030	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
87	粮仓随机BOSS	305030	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
88	国王争夺战	-1	0	2	1345	1701	1345	1701	0	0	-1	-1	-1	-1	4|1	900	国王战场报名时间将在14：00开始，请参加报名的帮会做好准备！	1358	120	国王战场报名开始，请参加的帮会前往本国王城国家管理员处报名！	1401	5400	国王战场报名进行中，请参加报名的帮会前往国家管理员处报名参加！	1532	1800	国王战场报名进行中，请参加报名的帮会前往国家管理员处报名参加！	1603	3420	国王战场报名结束！	1701	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
89	乌龙辞典结束触发	310185	0	2	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	180		71400	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
90	排行榜挑战赛	-1	1	1	30	2331	30	2331	0	0	1	-1	-1	-1	4|1	1440	排行榜挑战赛火热角逐中！欢迎各位勇士到王国排行榜挑战赛主持人处了解详情！	2331	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
91	年兽活动1	310801	1	1	1459	1500	1459	1500	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
92	年兽活动2	310801	1	1	1859	1900	1859	1900	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
93	公车bus	310081	1	1	1205	1216	1215	1245	0	0	-1	-1	-1	-1	4|1	601	神兽玄武就要从马场驶出，请希望观光旅游的乘客到车站等候。	1214	60	神兽玄武已经从王国马场驶出，请希望观光旅游的乘客到车站乘车。	1216	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
94	公车bus结束	310082	1	1	1245	1246	1245	1246	0	0	-1	-1	-1	-1	4|1	61	神兽玄武已经结束发车，请等待下一次开车。	1246	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
95	公车bus	310081	1	1	1405	1416	1415	1445	0	0	-1	-1	-1	-1	4|1	601	神兽玄武就要从马场驶出，请希望观光旅游的乘客到车站等候。	1414	60	神兽玄武已经从王国马场驶出，请希望观光旅游的乘客到车站乘车。	1416	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
96	公车bus结束	310082	1	1	1445	1446	1445	1446	0	0	-1	-1	-1	-1	4|1	61	神兽玄武已经结束发车，请等待下一次开车。	1446	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
97	公车bus	310081	1	1	1605	1616	1615	1645	0	0	-1	-1	-1	-1	4|1	601	神兽玄武就要从马场驶出，请希望观光旅游的乘客到车站等候。	1614	60	神兽玄武已经从王国马场驶出，请希望观光旅游的乘客到车站乘车。	1616	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
98	公车bus结束	310082	1	1	1645	1646	1645	1646	0	0	-1	-1	-1	-1	4|1	61	神兽玄武已经结束发车，请等待下一次开车。	1646	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
99	公车bus	310081	1	1	1805	1816	1815	1845	0	0	-1	-1	-1	-1	4|1	601	神兽玄武就要从马场驶出，请希望观光旅游的乘客到车站等候。	1814	60	神兽玄武已经从王国马场驶出，请希望观光旅游的乘客到车站乘车。	1816	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
100	公车bus结束	310082	1	1	1845	1846	1845	1846	0	0	-1	-1	-1	-1	4|1	61	神兽玄武已经结束发车，请等待下一次开车。	1846	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
101	公车bus	-1	1	1	1215	1216	-1	-1	0	0	-1	-1	-1	-1	5	61	神兽玄武从王国马场驶出	1216	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
102	公车bus	-1	1	1	1415	1416	-1	-1	0	0	-1	-1	-1	-1	5	61	神兽玄武从王国马场驶出	1416	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
103	公车bus	-1	1	1	1615	1616	-1	-1	0	0	-1	-1	-1	-1	5	61	神兽玄武从王国马场驶出	1616	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
104	公车bus	-1	1	1	1815	1816	-1	-1	0	0	-1	-1	-1	-1	5	61	神兽玄武从王国马场驶出	1816	-1		-1	-1		-1	-1		-1	-1		-1	0	99	89|1	189|1	289|1	389|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
105	守护争夺战	-1	0	2	1930	2101	1930	2101	0	0	-1	-1	-1	-1	4|1	900	朱雀战场、青龙战场报名时间将在20：25开始，请参加报名的帮会做好准备！	2014	660	朱雀战场、青龙战场报名开始，请参加的帮会前往本国王城国家守护管理员处报名！	2026	300	朱雀战场、青龙战场报名进行中，请参加报名的帮会前往国家守护管理员处报名参加！	2035	300	朱雀战场、青龙战场报名进行中，请参加报名的帮会前往国家守护管理员处报名参加！	2035	300	朱雀战场、青龙战场报名结束！	2041	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
106	领地争夺战	-1	0	2	61230	61231	61300	61431	0	0	-1	-1	-1	-1	4|1	900	领地争夺战报名将于13：00 开始，请大家踊跃参加！	61231	1740	领地争夺战报名火热进行中，您可以在本国的领地管理员处进行报名！	61301	1740	领地争夺战报名火热进行中，您可以在本国的领地管理员处进行报名！	61331	1740	领地争夺战报名火热进行中，您可以在本国的领地管理员处进行报名！	61401	1740	领地争夺战报名火热进行中，您可以在本国的领地管理员处进行报名！	61431	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
107	领地争夺战	-1	0	2	61500	61701	61500	61701	0	0	-1	-1	-1	-1	4|1	900	领地争夺战报名时间已经结束，领地争夺战将于16：00开始，请参加帮会做好准备！	61501	1740	领地争夺战报名时间已经结束，领地争夺战将于16：00开始，请参加帮会做好准备！	61531	1740	领地争夺战已经开始	61601	840	领地争夺战火热进行中	61616	2640	领地争夺战已经结束	61701	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
108	据点定时BOSS	305040	1	1	1030	1100	1030	1100	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
109	据点定时BOSS	-1	1	1	1030	1031	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
110	据点定时BOSS消失	-1	1	1	1100	1101	1100	1101	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
111	据点定时BOSS	305040	1	1	1230	1300	1230	1300	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
112	据点定时BOSS	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
113	据点定时BOSS消失	-1	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
114	据点定时BOSS	305040	1	1	1430	1500	1430	1500	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
115	据点定时BOSS	-1	1	1	1430	1431	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
116	据点定时BOSS消失	-1	1	1	1500	1501	1500	1501	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
117	据点定时BOSS	305040	1	1	1630	1700	1630	1700	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
118	据点定时BOSS	-1	1	1	1630	1631	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
119	据点定时BOSS消失	-1	1	1	1700	1701	1700	1701	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
120	据点定时BOSS	305040	1	1	1830	1900	1830	1900	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
121	据点定时BOSS	-1	1	1	1830	1831	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
122	据点定时BOSS消失	-1	1	1	1900	1901	1900	1901	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
123	据点定时BOSS	305040	1	1	2130	2200	2130	2200	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、婆罗洲等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
124	据点定时BOSS	-1	1	1	2130	2131	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
125	据点定时BOSS消失	-1	1	1	2200	2201	2200	2201	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
126	世界杯	300837	0	2	61629	61629	61629	61630	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
127	游乐场-暴龙开始	-1	0	2	61150	61151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
128	游乐场-暴龙大作战	310320	0	2	61200	61201	61200	61201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
129	游乐场-暴龙结束	-1	0	2	61210	61211	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
130	游乐场-暴龙开始	-1	0	2	61250	61251	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
131	游乐场-暴龙大作战	310320	0	2	61300	61301	61300	61301	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61301	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
132	游乐场-暴龙结束	-1	0	2	61310	61311	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
133	游乐场-暴龙开始	-1	0	2	61350	61351	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61351	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
134	游乐场-暴龙大作战	310320	0	2	61400	61401	61400	61401	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61401	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
135	游乐场-暴龙结束	-1	0	2	61410	61411	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
136	游乐场-暴龙开始	-1	0	2	61450	61451	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61451	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
137	游乐场-暴龙大作战	310320	0	2	61500	61501	61500	61501	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61501	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
138	游乐场-暴龙结束	-1	0	2	61510	61511	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
139	游乐场-暴龙开始	-1	0	2	61550	61551	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61551	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
140	游乐场-暴龙大作战	310320	0	2	61600	61601	61600	61601	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61601	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
141	游乐场-暴龙结束	-1	0	2	61610	61611	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
142	游乐场-暴龙开始	-1	0	2	61650	61651	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61651	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
143	游乐场-暴龙大作战	310320	0	2	61700	61701	61700	61701	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61701	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
144	游乐场-暴龙结束	-1	0	2	61710	61711	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
145	游乐场-暴龙开始	-1	0	2	61750	61751	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61751	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
146	游乐场-暴龙大作战	310320	0	2	61800	61801	61800	61801	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61801	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
147	游乐场-暴龙结束	-1	0	2	61810	61811	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
148	游乐场-暴龙开始	-1	0	2	61850	61851	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61851	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
149	游乐场-暴龙大作战	310320	0	2	61900	61901	61900	61901	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61901	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
150	游乐场-暴龙结束	-1	0	2	61910	61911	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
151	游乐场-暴龙开始	-1	0	2	61950	61951	-1	-1	0	0	-1	-1	-1	-1	4|1	61	#G暴龙大作战#R即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61951	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
