INT	STRING	STRING	STRING	STRING	STRING	INT
216	请耐心思考再作答：\n\t#G下列古都哪个被称为“六朝古都”：	洛阳	西安	南京	北京	1
217	请耐心思考再作答：\n\t#G拜佛时香客送上的“香火钱、香油钱”是用来	捐赠给寺庙	购买灯油	作为拜师费用	请和尚颂经	1
218	请耐心思考再作答：\n\t#G在寺庙里总管各项事务的一位僧人称为	主持方丈	方丈总管	护法禅师	护法长老	1
219	请耐心思考再作答：\n\t#G“五台山”是中国佛教四大名山之一，它位于哪个省	山西	浙江	四川	安徽	1
220	请耐心思考再作答：\n\t#G佛教中人所用的“钵”是一种	餐具	乐器	装饰品	茶具	1
221	请耐心思考再作答：\n\t#G著名的《女史箴图》是哪位画家的作品	顾恺之	王熙之	吴道子	阎立本	1
222	请耐心思考再作答：\n\t#G被誉为“书圣”的是哪位书法名家	王羲之	吴道子	顾恺之	阎立本	1
223	请耐心思考再作答：\n\t#G有“画圣”美誉的吴道子是哪朝人	唐朝	隋朝	西晋	北魏	1
224	请耐心思考再作答：\n\t#G以草书见长，人称“草圣”的书法家是	张旭	欧阳询	王羲之	王献之	1
225	请耐心思考再作答：\n\t#G被称为“文房四宝”的是	笔墨纸砚	棋琴画书	诗画茶琴	琴棋茶书	1
226	请耐心思考再作答：\n\t#G被称为“天下第一行书”的是	王羲之的《兰亭序》	苏轼的《寒诗帖》	苏轼的《兰亭序》	王羲之的《寒诗帖》	1
227	请耐心思考再作答：\n\t#G唐朝的“唐”字由多少笔画组成？	十画	八画	十二画	九画	1
228	请耐心思考再作答：\n\t#G唐朝的“朝”字由多少笔画组成？	十二画	十画	十一画	九画	1
229	请耐心思考再作答：\n\t#G“长安”两字一共由多少笔画组成	十画	八画	十二画	九画	1
230	请耐心思考再作答：\n\t#G传说中谁创造了汉字？	黄帝	炎帝	仓颉	秦始皇	3
231	请耐心思考再作答：\n\t#G我国第一部系统分析字形和考求字的本义的字典是	说文解字	康熙字典	辞源	辞海	1
232	请耐心思考再作答：\n\t#G古代名画“洛神赋图”的作者是	顾恺之	吴道子	阎立本	王献之	1
233	请耐心思考再作答：\n\t#G古代名画“步辇图”的作者是	阎立本	吴道子	顾恺之	王献之	1
234	请耐心思考再作答：\n\t#G隋朝的“隋”字由多少笔画组成？	十一画	八画	十画	九画	1
235	请耐心思考再作答：\n\t#G以画竹子著称的书画家郑板桥是哪个朝代的人	清朝	明朝	唐朝	北宋	1
236	请耐心思考再作答：\n\t#G下列哪个字具有汉字的八种基本笔画“点、横、竖、撇、捺、折、钩、提”	永	俗	松	宝	1
237	请耐心思考再作答：\n\t#G古代书画按风格来讲，“工笔”绘画注重	细致写实	挥洒随意	场面宏大	用笔简练	1
238	请耐心思考再作答：\n\t#G我国唯一的两个皇帝合葬在一起的是唐高宗跟：	唐高祖	唐太宗	武则天	唐中宗	3
239	请耐心思考再作答：\n\t#G古诗名句“黄鹤一去不复返”的下句是	白云千载空悠悠	芳草萋萋鹦鹉洲	此地空余黄鹤楼	烟波江上使人愁	1
240	请耐心思考再作答：\n\t#G古诗名句“两个黄鹂鸣翠柳”的下句是	一行白鹭上青天	一条大河波浪宽	一骑红尘妃子笑	一枝红艳露凝香	1
241	请耐心思考再作答：\n\t#G古诗名句“几处早莺争暖树”的下句是	谁家新燕啄春泥	谁家柴门闻犬吠	何人倚剑白云天	不胜清怨却飞回	1
242	请耐心思考再作答：\n\t#G古诗名句“千山鸟飞绝”的下句是	万径人踪灭	万里人踪灭	万径人烟灭	万里人烟灭	1
243	请耐心思考再作答：\n\t#G古诗名句“一骑红尘妃子笑”的下句是	无人知是荔枝来	二月春风似剪刀	笑问客从何处来	半江瑟瑟半江红	1
244	请耐心思考再作答：\n\t#G古诗名句“春风得意马蹄疾”的下句是	一日看尽长安花	随风行遍九万里	浅草才能没马蹄	惟有北风天上来	1
245	请耐心思考再作答：\n\t#G古诗名句“男儿何不带吴钩”的下句是	收取关山五十州	无那金闺万里愁	烟波江上使人愁	且饮美酒登高楼	1
246	请耐心思考再作答：\n\t#G古诗名句“大漠孤烟直”的下句是	长河落日圆	燕山月似钩	白首卧松云	山色有无中	1
247	请耐心思考再作答：\n\t#G古诗名句“仰天大笑出门去”的下句是	我辈岂是蓬蒿人	笑问客从何处来	一生大笑能几回	回眸一笑百媚生	1
248	请耐心思考再作答：\n\t#G古诗名句“乱花渐欲迷人眼”的下句是	浅草才能没马蹄	不知秋思落谁家	不见人影空见花	牧马群嘶边草绿	1
249	请耐心思考再作答：\n\t#G古诗名句“千里莺啼绿映红”的下句是	水村山郭酒旗风	万国兵前草木风	半江瑟瑟半江红	道是无睛还有晴	1
250	请耐心思考再作答：\n\t#G古诗名句“可怜九月初三夜”的下句是	露似真珠月似弓	心忧炭贱愿天寒	春愁黯黯独成眠	落花时节又逢君	1
251	请耐心思考再作答：\n\t#G古诗名句“长恨春寻无觅处”的下句是	不知转入此中来	飞入寻常百姓家	不知秋思落谁家	不见人影空见花	1
252	请耐心思考再作答：\n\t#G古诗名句“东边日出西边雨”的下句是	道是无睛还有晴	多少楼台烟雨中	半作障泥半作帆	海上明月共潮生	1
253	请耐心思考再作答：\n\t#G古诗名句“举杯邀明月”的下句是	对影成三人	低头思故乡	日月石上生	共饮女儿红	1
254	请耐心思考再作答：\n\t#G古诗名句“黄河远上白云间”的下句是	一片孤城万仞山	明月何时照我还	碧水东流至此还	夕贬潮阳路八千	1
255	请耐心思考再作答：\n\t#G古诗名句“云横秦岭家何在”的下句是	雪拥蓝关马不前	龙池柳色雨中深	等闲平地起波澜	万国兵前草木风	1
256	请耐心思考再作答：\n\t#G古诗名句“今日听君歌一曲”的下句是	暂凭杯酒长精神	使我三军泪如雨	等闲平地起波澜	赢得青楼薄倖名	1
257	请耐心思考再作答：\n\t#G古诗名句“采菊东篱下”的下句是	悠然见南山	对影成三人	把酒问青天	清泉石上流	1
258	请耐心思考再作答：\n\t#G古诗名句“奇文共欣赏”的下句是	疑义相与析	美酒共品尝	其意耐思量	双泪落君前	1
259	请耐心思考再作答：\n\t#G古诗名句“凭君莫话封侯事”的下句是	一将功成万骨枯	暂凭杯酒长精神	万国兵前草木风	何人倚剑白云天	1
260	请耐心思考再作答：\n\t#G古诗名句“燕山雪花大如席”的下句是	片片吹落轩辕台	牧马群嘶边草绿	惟有北风天上来	纷纷轻薄何须数	1
261	请耐心思考再作答：\n\t#G古诗名句“郎骑竹马来”的下句是	绕床弄青梅	倚窗弄青梅	绕墙弄青梅	倚门弄青梅	1
262	请耐心思考再作答：\n\t#G古诗名句“马上相逢无纸笔”的下句是	凭君传语报平安	山回路转不见君	烟波江上使人愁	呼儿将出换美酒	1
263	请耐心思考再作答：\n\t#G古诗名句“人生得意须尽欢”的下句是	莫使金樽空对月	千金散尽还复来	愁破方知酒有权	与尔同销万古愁	1
264	请耐心思考再作答：\n\t#G“明月几时有？把酒问青天”出自苏轼的	《水调歌头》	《赤壁怀古》	《永遇乐》	《醉花阴》	1
265	请耐心思考再作答：\n\t#G苏轼《赤壁怀古》中的“遥想公瑾当年”一句所指人物是	周瑜	诸葛亮	孙权	刘备	1
266	请耐心思考再作答：\n\t#G李清照《如梦令》中“昨夜雨疏风骤”的下一句是	浓睡不消残酒	却道海棠依旧	人比黄花瘦	半夜凉初透	1
267	请耐心思考再作答：\n\t#G苏轼《赤壁怀古》中“乱石穿空，惊涛拍岸”的下一句是	卷起千堆雪	卷起千层雪	卷起千片雪	卷起千块雪	1
268	请耐心思考再作答：\n\t#G世界最大的内陆国是：	哈萨克斯坦	阿富汗	尼泊尔	蒙古	1
269	请耐心思考再作答：\n\t#G宋词名句“无可奈何花落去”的下一句是	似曾相识燕归来	暗随流水到天涯	无穷无尽是离愁	只有相思无尽处	1
270	请耐心思考再作答：\n\t#G“枯藤老树昏鸦，小桥流水人家”的作者是	马致远	辛弃疾	苏轼	李清照	1
271	请耐心思考再作答：\n\t#G“令尊”指的是对方的	父亲	母亲	儿子	女儿	1
272	请耐心思考再作答：\n\t#G“令堂”指的是对方的	父亲	母亲	儿子	女儿	2
273	请耐心思考再作答：\n\t#G“令郎”指的是对方的	父亲	母亲	儿子	女儿	3
274	请耐心思考再作答：\n\t#G“令爱”指的是对方的	父亲	母亲	妻子	女儿	4
275	请耐心思考再作答：\n\t#G最早的货币是	贝壳	岩石	树叶	兽骨	1
276	请耐心思考再作答：\n\t#G古代战争中的护具“胄”是保护士兵的	头	颈	胸	腹	1
277	请耐心思考再作答：\n\t#G退避三舍的典故发生在 	春秋	战国	商周	西汉	1
278	请耐心思考再作答：\n\t#G让曹操割袍断袖的武将是 	马超	吕布	张飞	关羽	1
279	请耐心思考再作答：\n\t#G关羽使用的兵器是  	青龙偃月刀	丈八蛇矛	日月双剑	方天画戟	1
280	请耐心思考再作答：\n\t#G张飞使用的兵器是  	青龙偃月刀	丈八蛇矛	日月双剑	方天画戟	2
281	请耐心思考再作答：\n\t#G吕布使用的兵器是  	青龙偃月刀	丈八蛇矛	日月双剑	方天画戟	4
282	请耐心思考再作答：\n\t#G五禽戏是一种	健身操	拳法	气功	戏剧	1
283	请耐心思考再作答：\n\t#G吕布，字什么？	奉先	奉后	奉左	奉右	1
284	请耐心思考再作答：\n\t#G曹操的小名叫	阿瞒	阿甘	阿敏	阿娇	1
285	请耐心思考再作答：\n\t#G下列乐器中与葫芦丝演奏方式相同的乐器是	笛子	琵琶	唢呐	吉他	1
286	请耐心思考再作答：\n\t#G古代的镜子是用什么打磨的？	金	银	铜	铁	3
287	请耐心思考再作答：\n\t#G纸鸯指的是 	风筝	剪纸	河灯	情书	1
288	请耐心思考再作答：\n\t#G皮影戏所用的材料主要是 	兽皮	纸	步	铁皮	1
289	请耐心思考再作答：\n\t#G有玉石之王美称的是 	翡翠	玛瑙	黄金	珊瑚	1
290	请耐心思考再作答：\n\t#G以产醋闻名的省为 	山东	山西	河南	河北	2
291	请耐心思考再作答：\n\t#G以瓷器闻名的省为 	江西	湖南	湖北	江苏	1
292	请耐心思考再作答：\n\t#G五台山位于 	山东	山西	河南	河北	2
293	请耐心思考再作答：\n\t#G普陀山位于 	浙江	江苏	江西	上海	1
294	请耐心思考再作答：\n\t#G九华山位于  	安徽	江苏	河南	湖北	1
295	请耐心思考再作答：\n\t#G峨眉山位于 	四川	重庆	湖南	湖北	1
296	请耐心思考再作答：\n\t#G武当山是哪个宗教的圣地？	道教	佛教	基督教	明教	1
297	请耐心思考再作答：\n\t#G泰山位于	山东	山西	河南	河北	1
298	请耐心思考再作答：\n\t#G龙井属于	绿茶	红茶	花茶	咖啡	1
299	请耐心思考再作答：\n\t#G陈皮是用什么晒干制成的 	橘子皮	苹果皮	萝卜皮	香蕉皮	1
300	请耐心思考再作答：\n\t#G古代成语“一鸣惊人”的意思是	歌声嘹亮	歌声动听	痛苦难忍	惊人成绩	4
301	请耐心思考再作答：\n\t#G龙井茶产于	浙江杭州	安徽黄山	安徽六安	江苏太湖	1
302	请耐心思考再作答：\n\t#G猴魁茶产于	浙江杭州	安徽黄山	安徽六安	江苏太湖	2
303	请耐心思考再作答：\n\t#G瓜片茶产于	浙江杭州	安徽黄山	安徽六安	江苏太湖	3
304	请耐心思考再作答：\n\t#G铁观音茶产于	安徽黄山	江苏太湖	河南信阳	福建安溪	4
305	请耐心思考再作答：\n\t#G毛峰茶产于	安徽黄山	江苏太湖	河南信阳	福建安溪	1
306	请耐心思考再作答：\n\t#G碧螺春茶产于	安徽黄山	江苏太湖	河南信阳	福建安溪	2
307	请耐心思考再作答：\n\t#G毛尖茶产于	安徽黄山	江苏太湖	河南信阳	福建安溪	3
308	请耐心思考再作答：\n\t#G岩茶产于	福建武夷	广东潮安	湖南洞庭湖	安徽霍山	1
309	请耐心思考再作答：\n\t#G水仙茶产于	福建武夷	广东潮安	湖南洞庭湖	安徽霍山	2
310	请耐心思考再作答：\n\t#G银针茶产于	福建武夷	广东潮安	湖南洞庭湖	安徽霍山	3
311	请耐心思考再作答：\n\t#G黄芽茶产于	福建武夷	广东潮安	湖南洞庭湖	安徽霍山	4
312	请耐心思考再作答：\n\t#G普洱茶产于	福建武夷	云南普洱	湖南洞庭湖	安徽霍山	2
313	请耐心思考再作答：\n\t#G山海关位于	秦皇岛	葫芦岛	青岛	台湾岛	1
314	请耐心思考再作答：\n\t#G道教创始于	春秋	战国	西汉	东汉	4
315	请耐心思考再作答：\n\t#G古人讲究谦辞礼让 ，谈到自己儿子一般称为	龙子	虎子	犬子	瓜子	3
316	请耐心思考再作答：\n\t#G古人称“拙荆”指	自己的妻子	自己的妈妈	自己的姐姐	自己的妹妹	1
317	请耐心思考再作答：\n\t#G古人称“连襟”指 	姐妹的丈夫	妻子姐妹的丈夫	兄弟的妻子	兄弟的姐妹	2
318	请耐心思考再作答：\n\t#G“令阃”指的是对方的	父亲	母亲	妻子	儿女	3
319	请耐心思考再作答：\n\t#G隋炀帝名叫	杨坚	杨广	杨勇	杨康	2
320	请耐心思考再作答：\n\t#G陈胜吴广起义地点大泽乡在哪个省	山东	山西	河南	安徽	4
321	请耐心思考再作答：\n\t#G不属于二十四史的史书是（史通）	宋史	元史	明史	清史稿	4
322	请耐心思考再作答：\n\t#G唐太宗李世民在位的年号是	武德	贞观	开元	天宝	2
323	请耐心思考再作答：\n\t#G古代音律不包括	宫	商	角	颂	4
324	请耐心思考再作答：\n\t#G古人所称的“锹秤”指的是哪种物品	棋盘	铁锨	秋千	秤砣	1
325	请耐心思考再作答：\n\t#G象棋中没有哪种棋子	帅	将	牛	马	3
326	请耐心思考再作答：\n\t#G围棋开局的落子规则是	执黑先行	执白先行	掷骰决定	猜拳决定	1
327	请耐心思考再作答：\n\t#G围棋棋子紧邻的直线交叉点称为 	穴	气	井	星	2
328	请耐心思考再作答：\n\t#G不属于“文房四宝 ”的是	纸	墨	书	笔	3
329	请耐心思考再作答：\n\t#G有“画圣”美誉的吴道子是哪朝人	隋	唐	宋	元	2
330	请耐心思考再作答：\n\t#G“清水出芙蓉”的下句是	碧血洗银枪	将相本无种	浊汤煮肉烂	天然去雕饰	4
331	请耐心思考再作答：\n\t#G“佛跳墙”是哪个菜系的名菜	闽菜	鲁菜	川菜	苏菜	1
332	请耐心思考再作答：\n\t#G古诗名句“举杯邀明月”的下句是	对影成一人	对影成二人	对影成三人	对影成四人	3
333	请耐心思考再作答：\n\t#G古诗名句“男儿何不带吴钩”的下句是 	收取关山四十州	收取关山十四州	收取关山十五州	收取关山五十州	4
334	请耐心思考再作答：\n\t#G古诗名句“东边日出西边雨”的下句是	道是无晴还有晴	到底是晴还是雨	南山清风北山云	时而风来时而雨	1
335	请耐心思考再作答：\n\t#G表示“情投意合，友谊深厚”的朋友	莫逆之交	生死之交	忘年之交	断袖之交	1
336	请耐心思考再作答：\n\t#G古语所称“按图索骥”的骥是指	马	驴	骡	牛	1
337	请耐心思考再作答：\n\t#G古代文人所称的“怀袖雅物”是	书	扇	玉佩	腰带	2
338	请耐心思考再作答：\n\t#G“五岳”之说自古就有 ，其中被称为东岳的是 	泰山	恒山	衡山	华山	1
339	请耐心思考再作答：\n\t#G“五岳”之说自古就有 ，其中被称为南岳的是 	泰山	恒山	衡山	华山	3
340	请耐心思考再作答：\n\t#G“五岳”之说自古就有 ，其中被称为西岳的是 	泰山	恒山	衡山	华山	4
341	请耐心思考再作答：\n\t#G“五岳”之说自古就有 ，其中被称为北岳的是 	泰山	恒山	衡山	华山	2
342	请耐心思考再作答：\n\t#G“五岳”之说自古就有 ，其中被称为中岳的是 	泰山	恒山	衡山	嵩山	4
343	请耐心思考再作答：\n\t#G古代人所说的“寒舍”是指 	自己家	对方的家	仓库	厕所	1
344	请耐心思考再作答：\n\t#G古代“上元节”是指	春节	元宵节	鬼节	端午节	2
345	请耐心思考再作答：\n\t#G古代“中元节”是指	春节	元宵节	鬼节	端午节	3
346	请耐心思考再作答：\n\t#G“上元节”的日期	正月十五	七月十五	八月十五	十月十五	1
347	请耐心思考再作答：\n\t#G“中元节”的日期	正月十五	七月十五	八月十五	十月十五	2
348	请耐心思考再作答：\n\t#G“下元节”的日期	正月十五	七月十五	八月十五	十月十五	4
349	请耐心思考再作答：\n\t#G我国古代称为“千年冰”的是 	水晶	玛瑙	翡翠	玉石	1
350	请耐心思考再作答：\n\t#G被称为“建筑业鼻祖”的是 	张果老	鲁班	吕洞宾	何仙姑	2
351	请耐心思考再作答：\n\t#G古人泡茶注重用水 ，被视为上等茶水的是 	黄河水	长江水	山泉水	冰雪融水	3
352	请耐心思考再作答：\n\t#G最早在中国出现的酒是  	白酒	红酒	葡萄酒	黄酒	4
353	请耐心思考再作答：\n\t#G“交杯酒”一般出现在哪种场合？	结婚喜宴	战斗之前	祭奠时	结拜时	1
354	请耐心思考再作答：\n\t#G中草药里的“甘草 ”的入药部分实际是植物的 	叶	果实	茎	根	4
355	请耐心思考再作答：\n\t#G提出“望闻问切”等医疗手段的是	扁鹊	李时珍	孙思邈	张仲景	1
356	请耐心思考再作答：\n\t#G古代医学著作《千金方》的作者是	扁鹊	李时珍	孙思邈	张仲景	3
357	请耐心思考再作答：\n\t#G古代医学著作《伤寒杂病论》的作者是	扁鹊	李时珍	孙思邈	张仲景	4
358	请耐心思考再作答：\n\t#G古代医学著作《本草纲目》的作者是	扁鹊	李时珍	孙思邈	张仲景	2
359	请耐心思考再作答：\n\t#G古代所称的“杏林高手”是指 	名医	侠客	棋手	果农	1
360	请耐心思考再作答：\n\t#G唐三藏曾是如来佛祖的弟子，名叫	金蝉子	银蝉子	铜蝉子	铁蝉子	1
361	请耐心思考再作答：\n\t#G唐三藏曾被称为	江流儿	河流儿	湖流儿	海流儿	1
362	请耐心思考再作答：\n\t#G云冈石窟位于	山西大同	河南洛阳	北京西山	河北邯郸	1
363	请耐心思考再作答：\n\t#G龙门石窟位于	山西大同	河南洛阳	北京西山	河北邯郸	2
364	请耐心思考再作答：\n\t#G敦煌石窟位于	山西大同	河南洛阳	甘肃敦煌	河北邯郸	3
365	请耐心思考再作答：\n\t#G刀型货币是战国时期哪国铸造的货币	秦国	齐国	楚国	赵国	4
366	请耐心思考再作答：\n\t#G蚁鼻型货币是战国时期哪国铸造的货币	秦国	齐国	楚国	赵国	3
367	请耐心思考再作答：\n\t#G属于佛教“六道轮回”的是	无间道	道可道	非常道	人间道	4
368	请耐心思考再作答：\n\t#G古代兄弟排行的顺序，长子应该称为	伯	仲	叔	季	1
369	请耐心思考再作答：\n\t#G古代兄弟排行的顺序，次子应该称为	伯	仲	叔	季	2
370	请耐心思考再作答：\n\t#G古代兄弟排行的顺序，三子应该称为	伯	仲	叔	季	3
371	请耐心思考再作答：\n\t#G古代兄弟排行的顺序，四子应该称为	伯	仲	叔	季	4
372	请耐心思考再作答：\n\t#G济公在哪座寺庙出家? 	灵隐寺	万安寺	金山寺	少林寺	1
373	请耐心思考再作答：\n\t#G佛曰：“救人一命，胜造七级浮屠。”其中浮屠的意思指的是 	楼阁	宝塔	台阶	修为	2
374	请耐心思考再作答：\n\t#G古人所称的“顿首”之礼是指	鞠躬	握手	跪而头叩地	告别	3
375	请耐心思考再作答：\n\t#G古人对自己岳父的尊称是	华山	恒山	嵩山	泰山	4
376	请耐心思考再作答：\n\t#G唐朝时六渡日本宣扬佛教为两国邦交做出重大贡献的是	鉴真	玄奘	法显	郑和	1
377	请耐心思考再作答：\n\t#G唐朝时历经艰险去天竺取经的是	鉴真	玄奘	法显	郑和	2
378	请耐心思考再作答：\n\t#G古代四大美女之一的西施，被誉为	沉鱼	落雁	闭月	羞花	1
379	请耐心思考再作答：\n\t#G古代四大美女之一的王昭君，被誉为	沉鱼	落雁	闭月	羞花	2
380	请耐心思考再作答：\n\t#G古代四大美女之一的貂蝉，被誉为	沉鱼	落雁	闭月	羞花	3
381	请耐心思考再作答：\n\t#G古代四大美女之一的杨玉环，被誉为	沉鱼	落雁	闭月	羞花	4
382	请耐心思考再作答：\n\t#G不是古代祭祀常用牲畜的是	牛	羊	猪	马	4
383	请耐心思考再作答：\n\t#G不是古代“祭祀”准备活动的是	赏灯	沐浴	斋戒	更衣	1
384	请耐心思考再作答：\n\t#G佛教所称“圆寂”是指	睡觉	去世	吃饭	念经	2
385	请耐心思考再作答：\n\t#G古代所称“先考”是一种尊敬的称法，指的是	已逝世的叔叔	已逝世的伯父	已逝世的父亲	已逝世的母亲	3
386	"请耐心思考再作答：\n\t#G “不鸣则已,一鸣惊人”这句成语源自于谁的典故"	齐桓公	越王勾践	晋文公	楚庄王	4
387	"请耐心思考再作答：\n\t#G实行“废黜百家,独尊儒术”的皇帝是"	秦始皇	汉武帝	唐太宗	宋太祖	2
388	请耐心思考再作答：\n\t#G“王侯将相，宁有种乎”这句话出自谁之口	陈胜、吴广	刘备	黄巢	宋江	1
389	请耐心思考再作答：\n\t#G在“淝水之战”中战败的君主是	孙坚	杨坚	苻坚	黄庭坚	3
390	请耐心思考再作答：\n\t#G神医扁鹊是哪个朝代人	春秋战国	秦朝	汉朝	晋朝	1
391	请耐心思考再作答：\n\t#G将诸葛亮推荐给刘备的是	关羽	张飞	徐庶	自荐	3
392	请耐心思考再作答：\n\t#G中国第一所寺院是	白马寺	黑马寺	红马寺	灰马寺	1
393	请耐心思考再作答：\n\t#G成语“鸡鸣狗盗”与战国四君子哪位有关？	孟尝君	信陵君	春申君	平原君	1
394	请耐心思考再作答：\n\t#G战国四君子之一孟尝君的是哪国人？	赵国	齐国	魏国	楚国	2
395	请耐心思考再作答：\n\t#G战国四君子之一信陵君的是哪国人？	赵国	齐国	魏国	楚国	3
396	请耐心思考再作答：\n\t#G战国四君子之一春申君 的是哪国人？	赵国	齐国	魏国	楚国	4
397	请耐心思考再作答：\n\t#G战国四君子之一平原君的是哪国人？	赵国	齐国	魏国	楚国	1
398	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“天王”	石达开	洪秀全	杨秀清	韦昌辉	2
399	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“东王”	石达开	洪秀全	杨秀清	韦昌辉	3
400	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“南王”	石达开	洪秀全	杨秀清	冯云山	4
401	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“西王”	石达开	洪秀全	杨秀清	萧朝贵	4
402	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“北王”	石达开	洪秀全	杨秀清	韦昌辉	4
403	请耐心思考再作答：\n\t#G太平天国起义核心人物之一，被称为“翼王”	石达开	洪秀全	杨秀清	韦昌辉	1
404	请耐心思考再作答：\n\t#G春秋战国时期诸子百家不包括	佛家	儒家	道家	法家	1
405	请耐心思考再作答：\n\t#G战国时期，与“合纵连横”这一外交军事政策关联的人物是？	孙膑与庞涓	苏秦与张仪	王翦与王贲	廉颇与蔺相如	2
406	请耐心思考再作答：\n\t#G以下谁不是玄武门之变的参与者 	李建成	李世民	李元吉	李元霸	4
407	请耐心思考再作答：\n\t#G三国时期马谡曾在街亭一战败给哪位魏国大将	张颌	张辽	曹洪	司马懿	1
408	请耐心思考再作答：\n\t#G宋太祖赵匡胤通过哪个事件夺取政权建立宋朝？	陈桥兵变	淮西兵变	官渡之战	巨鹿之战	1
409	请耐心思考再作答：\n\t#G北宋建国时所定的首都是	汴梁	长安	洛阳	金陵	1
410	请耐心思考再作答：\n\t#G《三国演义》的作者是	罗贯中	施耐庵	吴承恩	曹雪芹	1
411	请耐心思考再作答：\n\t#G《西游记》的作者是	罗贯中	施耐庵	吴承恩	曹雪芹	3
412	请耐心思考再作答：\n\t#G《水浒传》的作者是	罗贯中	施耐庵	吴承恩	曹雪芹	2
413	请耐心思考再作答：\n\t#G《红楼梦》的作者是	罗贯中	施耐庵	吴承恩	曹雪芹	4
414	请耐心思考再作答：\n\t#G明代是短篇小说的兴盛时期，著名的短篇小说“三言”的作者是	冯梦龙	凌蒙初	宋应星	罗贯中	1
415	请耐心思考再作答：\n\t#G清代著名小说《儒林外史》的作者是	吴敬梓	罗贯中	施耐庵	吴承恩	1
416	请耐心思考再作答：\n\t#G清代曹雪芹所著的小说《红楼梦》最初时命名为	《石头记》	《宝黛钗》	《宝哥哥和林妹妹》	《贾家大院》	1
417	请耐心思考再作答：\n\t#G雍正是康熙的第几个儿子？	四	八	九	十四	1
418	请耐心思考再作答：\n\t#G“明史案”发生在清朝哪个皇帝在位期间	康熙	雍正	乾隆	嘉庆	1
419	请耐心思考再作答：\n\t#G古代著名的抒情诗《九歌》的作者是	屈原	司马相如	宋玉	孟子	1
420	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的礼是指	驾御车马	练习武术	学习礼仪	学习音乐	3
421	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的乐是指	驾御车马	练习武术	学习礼仪	学习音乐	4
422	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的射是指	驾御车马	练习武术	学习礼仪	学习音乐	2
423	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的御是指	驾御车马	练习武术	学习礼仪	学习音乐	1
424	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的书是指	驾御车马	练习武术	学习文化	学习音乐	3
425	请耐心思考再作答：\n\t#G古代六艺“礼、乐、射、御、书、数”中的数是指	驾御车马	练习武术	学习数学	学习音乐	3
426	请耐心思考再作答：\n\t#G北魏末年贾思勰编写的《齐民要术》所总结的是	农业生产技术	治理国家的要领	百姓的生活现状	各民族的风俗习惯	1
427	请耐心思考再作答：\n\t#G清朝入关后的第一位皇帝是	努尔哈赤	皇太极	多尔衮	顺治	4
428	请耐心思考再作答：\n\t#G著有《徐霞客游记》的徐霞客是哪个朝代的人	唐朝	宋朝	元朝	明朝	4
429	请耐心思考再作答：\n\t#G中国古代历法名著《授时历》的作者是	郭守敬	沈括	张衡	贾思勰	1
430	请耐心思考再作答：\n\t#G俞伯牙摔琴谢知音摔的是什么乐器 	手风琴	瑶琴	小提琴	口风琴	2
431	请耐心思考再作答：\n\t#G下面哪个不是元曲四大家？	马致远	白朴	梅兰芳	郑光祖	3
432	请耐心思考再作答：\n\t#G围棋棋盘由纵横多少条线构成？	16	17	18	19	4
433	请耐心思考再作答：\n\t#G以下乐器与“琵琶”在演奏上属于同一类的是	筝	鼓	箫	笛	1
434	请耐心思考再作答：\n\t#G在围棋的棋盘上标有九个小圆点，这几个小圆点称作	星	穴	叉	位	1
435	请耐心思考再作答：\n\t#G在围棋的棋盘上标有九个小圆点，其中最中间的一个称为	天元	地穴	中央	北斗	1
436	请耐心思考再作答：\n\t#G以下哪种乐器是龟兹乐器	羯鼓	凤阳鼓	水鼓	竹鼓	1
437	请耐心思考再作答：\n\t#G象棋中，只用一子将死对方的是	卧槽马	当头炮	双炮将	拱卒	1
438	请耐心思考再作答：\n\t#G象棋术语“二鬼拍门”是指	两个士卒	两个炮	两个车	两个马	1
439	请耐心思考再作答：\n\t#G象棋术语“炮打双怪”是指	炮打双车	炮打双马	炮打双炮	炮打双相	1
440	请耐心思考再作答：\n\t#G中药药材桂枝的功效是	发汗解表	透表泄热	疏散风热	清热燥湿	1
441	请耐心思考再作答：\n\t#G中药药材柴胡的功效是	发汗解表	透表泄热	疏散风热	清热燥湿	2
442	请耐心思考再作答：\n\t#G中药药材薄荷的功效是	发汗解表	透表泄热	疏散风热	清热燥湿	3
443	请耐心思考再作答：\n\t#G中药药材黄连的功效是	发汗解表	透表泄热	疏散风热	清热燥湿	4
444	请耐心思考再作答：\n\t#G中药药材芍药的功效是	清热凉血	清热解毒，利湿	消痰行水	化痰止咳	1
445	请耐心思考再作答：\n\t#G中药药材蒲公英的功效是	清热凉血	清热解毒，利湿	消痰行水	化痰止咳	2
